source_id,etf_id,ticker,source_owner,source_type,source_document_key,source_title,source_url,published_at,parser_name,parser_version,parse_status,parse_note
issuer:ace:notice:20260713:midmonth,,,ACE,issuer_notice,6442,2026년 7월 ACE 데일리타겟커버드콜 분배금 안내,https://www.aceetf.co.kr/cs/notice/6442,2026-07-13,ace_notice_table_v1_pending,1,pending,공식 공지 원문을 보존. 개별 ETF 행 추출·KRX 대조 전에는 계산용 이벤트로 승격하지 않음.
issuer:ace:notice:20260729:monthend,,,ACE,issuer_notice,6582,2026년 7월 ACE ETF 분배금 지급 안내,https://www.aceetf.co.kr/cs/notice/6582,2026-07-29,ace_notice_table_v1_pending,1,pending,공식 공지 원문을 보존. 개별 ETF 행 추출·KRX 대조 전에는 계산용 이벤트로 승격하지 않음.
issuer:kodex:notice:20260728:monthend,,,KODEX,issuer_notice,78273,2026년 7월 월말 KODEX ETF 분배금 공지 (125종),https://www.samsungfund.com/etf/lounge/notice-view.do?no=78273,2026-07-28,kodex_notice_table_v1_pending,1,pending,공식 공지 원문을 보존. 개별 ETF 행 추출·KRX 대조 전에는 계산용 이벤트로 승격하지 않음.
issuer:plus:489030:20260728:notice,KR7489030007,489030,PLUS ETF,issuer_notice,30823,PLUS ETF 7월 분배금 공지(월말),https://www.plusetf.co.kr/customer/notice/detail?n=30823,2026-07-28,manual_official_notice,1,manual_review,공지 본문의 분배금 표는 이미지이므로 OCR 없이 자동 추출하지 않는다.
issuer:plus:489030:20260728:table,KR7489030007,489030,PLUS ETF,issuer_image_notice,202607281627538301a85b,PLUS ETF 7월 분배금 공지 부속표,https://hwadm.plusetf.co.kr/webapp/upload/202607281627538301a85b-0c66-4c14-a3a1-519aafbc12b4.PNG,2026-07-28,manual_official_notice,1,manual_review,운용사 공식 공지 부속 이미지. 수동 검증된 이벤트만 원장으로 정규화한다.
issuer:registry:ace_notice_list:root,,,ACE ETF,issuer_notice_list,registry:ace_notice_list,ACE ETF 공식 분배금 원천 목록,https://www.aceetf.co.kr/cs/notice,2026-08-16,registry_notice_table_v1,1,pending_registry_parse,레지스트리 공식 목록/상품별 현황 페이지. 같은 호스트의 상세 공지를 증분 발견한다.
issuer:registry:daishin343_notice_pending:root,,,DAISHIN343 ETF,issuer_notice_or_kind_crosscheck,registry:daishin343_notice_pending,DAISHIN343 ETF 공식 분배금 원천 목록,https://asset.daishin.com/,2026-08-16,manual_official_notice_pending,1,pending_registry_parse,레지스트리 공식 목록/상품별 현황 페이지. 같은 호스트의 상세 공지를 증분 발견한다.
issuer:registry:detail:074baf9dc3d06748,,,TIME ETF,issuer_notice_detail,registry:timefolio_notice_list,TIME 미국배당다우존스액티브 ETF(0036D0) 상장폐지 관련 투자 유의 안내,https://timeetf.co.kr/board/board.php?bbsid=notice&idx=95,2026-08-16,registry_notice_detail_text_v1,1,pending_registry_parse,공식 목록에서 키워드 기반으로 발견한 상세 공지. 티커 매칭 전 게시 금지.
issuer:registry:detail:23ccaabdc451de96,,,TIME ETF,issuer_notice_detail,registry:timefolio_notice_list,2025년 12월 말 ETF 분배금 지급 안내 및 소득세법 시행령 개정에 따른 유의사항,https://timeetf.co.kr/board/board.php?bbsid=notice&idx=74,2026-08-16,registry_notice_detail_text_v1,1,pending_registry_parse,공식 목록에서 키워드 기반으로 발견한 상세 공지. 티커 매칭 전 게시 금지.
issuer:registry:detail:2dbc14a2af021e34,,,PLUS ETF,issuer_notice_detail,registry:plus_notice_list,"149 
                                         PLUS ETF 6월 분배금 공지(월말) 
                                         2026.06.25",https://www.plusetf.co.kr/customer/notice/detail?n=30821,2026-08-16,registry_notice_table_v1,1,pending_registry_parse,공식 목록에서 키워드 기반으로 발견한 상세 공지. 티커 매칭 전 게시 금지.
