isin_cd,ticker,name,base_index,asset_family,region_primary,comparison_category,comparison_topic,comparison_subtopic,index_family,strategy_style,payoff_structure,direction,leverage_multiple,fx_hedge,replication_method,concentration_bucket,primary_peer_group_id,alternate_peer_group_ids,classification_status,evidence_basis,official_source_url,review_reason
KR70000D0009,0000D0,TIGER 엔비디아미국채커버드콜밸런스(합성),KEDI 엔비디아미국채30년타겟커버드콜혼합지수(TR),채권,미국,채권,채권,미국 국채 장기 등급미확인,BOND_미국-국채-장기-등급미확인-047cbda7f5,covered_call,bond_coupon,neutral,1X,unhedged,synthetic,unknown,PG-PENDING-0000D0-6e5e0f5383,,needs_review,기초지수 명시; 운용사·공식 출처 URL 존재; 상품명 구조표시(covered_call); 자산군·투자대상 추출(채권/미국 국채 장기 등급미확인),가능,세부 투자대상 또는 만기·구성비율 미확인
KR70000Y0004,0000Y0,HK 26-12 회사채(AA-이상)액티브,KAP 26-12 크레딧 채권 총수익지수(AA-이상),채권,국내,채권,채권,국내 회사채 만기미확인 AA,BOND_국내-회사채-만기미확인-AA-971a2814f8,plain,bond_coupon,neutral,1X,unknown,active,unknown,PG-PENDING-0000Y0-065d0f144a,,needs_review,기초지수 명시; 자산군·투자대상 추출(채권/국내 회사채 만기미확인 AA),,세부 투자대상 또는 만기·구성비율 미확인
KR70002C0008,0002C0,에셋플러스 인도일등기업포커스20액티브,MSCI India IMI Index(PR),주식,인도,기타특수구조,미확인 주식전략,인도 미확인 주식전략,미확인-주식전략-인도-미확인-주식전략-69bd615628,plain,plain,neutral,1X,unhedged,active,unknown,PG-PENDING-0002C0-d549ff062f,,needs_review,기초지수 명시; 자산군·투자대상 추출(주식/인도 미확인 주식전략),,직접 비교에 필요한 주식 전략·투자대상 미확인; 세부 투자대상 또는 만기·구성비율 미확인
KR70007F0000,0007F0,KODEX 27-12 회사채(AA-이상)액티브,KAP 27-12 회사채 총수익 지수(AA-이상),채권,국내,채권,채권,국내 회사채 만기미확인 AA,BOND_국내-회사채-만기미확인-AA-971a2814f8,plain,bond_coupon,neutral,1X,unknown,active,unknown,PG-PENDING-0007F0-bd6f3f8d85,,needs_review,기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(채권/국내 회사채 만기미확인 AA),가능,세부 투자대상 또는 만기·구성비율 미확인
KR70007N0000,0007N0,아이엠에셋 200,코스피 200,주식,국내,기타특수구조,미확인 주식전략,국내 미확인 주식전략,미확인-주식전략-국내-미확인-주식전략-46eed209b8,plain,plain,neutral,1X,unknown,physical_or_unspecified,broad,PG-PENDING-0007N0-0b74fa21c0,,needs_review,기초지수 명시; 자산군·투자대상 추출(주식/국내 미확인 주식전략),,직접 비교에 필요한 주식 전략·투자대상 미확인; 세부 투자대상 또는 만기·구성비율 미확인
KR70008E0000,0008E0,ACE 미국중심중소형제조업,NYSE FactSet US Focus Manufacturing Index(Price Return),주식,미국,기타특수구조,미확인 주식전략,미국 미확인 주식전략,미확인-주식전략-미국-미확인-주식전략-bf6afc4d9f,plain,plain,neutral,1X,unhedged,physical_or_unspecified,unknown,PG-PENDING-0008E0-fab95b1c94,,needs_review,기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(주식/미국 미확인 주식전략),가능,직접 비교에 필요한 주식 전략·투자대상 미확인; 세부 투자대상 또는 만기·구성비율 미확인
KR70013P0000,0013P0,RISE 미국은행TOP10,KEDI 미국 은행 TOP10 지수,원자재,해당없음,원자재,기타원자재,기타원자재 futures,COMMODITY_기타원자재-FUTURES-e9bbd8bb27,plain,futures,neutral,1X,unhedged,physical_or_unspecified,concentrated,PG-PENDING-0013P0-51bb677a97,,conflict,기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(원자재/기타원자재 futures),가능,기존 자산분류와 비교분류 추론값 충돌
KR70013R0008,0013R0,RISE 테슬라미국채타겟커버드콜혼합(합성),KEDI 테슬라미국30년국채15%타겟프리미엄 혼합지수(TR),채권,미국,채권,채권,미국 국채 장기 등급미확인,BOND_미국-국채-장기-등급미확인-047cbda7f5,covered_call,bond_coupon,neutral,1X,unhedged,synthetic,unknown,PG-PENDING-0013R0-922b9c7be7,,needs_review,기초지수 명시; 운용사·공식 출처 URL 존재; 상품명 구조표시(covered_call); 자산군·투자대상 추출(채권/미국 국채 장기 등급미확인),가능,세부 투자대상 또는 만기·구성비율 미확인
KR70015E0001,0015E0,KIWOOM 엔비디아미국30년국채혼합액티브(H),Bloomberg Blended NVIDIA and US Long Treasury Bond Index,채권,미국,채권,채권,미국 국채 장기 등급미확인,BOND_미국-국채-장기-등급미확인-047cbda7f5,plain,bond_coupon,neutral,1X,hedged,active,unknown,PG-PENDING-0015E0-2a4f496583,,needs_review,기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(채권/미국 국채 장기 등급미확인),가능,세부 투자대상 또는 만기·구성비율 미확인
KR70015F0000,0015F0,KIWOOM 팔란티어미국30년국채혼합액티브(H),Bloomberg Blended PALANTIR and US Long Treasury Bond Index,채권,미국,채권,채권,미국 국채 장기 등급미확인,BOND_미국-국채-장기-등급미확인-047cbda7f5,plain,bond_coupon,neutral,1X,hedged,active,unknown,PG-PENDING-0015F0-3afd9aae37,,needs_review,기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(채권/미국 국채 장기 등급미확인),가능,세부 투자대상 또는 만기·구성비율 미확인
