window_id,etf_id,ticker,window_start,window_end,issuer_document_source_ids,issuer_coverage_status,krx_coverage_status,corporate_action_coverage_status,window_status,last_checked_at,note
window:00a21e8b91b83a1d9a34,KR70000D0009,0000D0,2026-05-01,2026-05-31,issuer:tiger:notice:20260527:monthend,issuer_events_observed,pending,pending,blocked,2026-08-28T16:35:50+00:00,공식 운용사 공지에서 분배금 후보를 확보했으나 KIND·무분배·기업행동 검증 전이므로 TR 계산 차단.
window:57467c5a7bc0c2d39e46,KR70000D0009,0000D0,2026-06-01,2026-06-30,issuer:tiger:notice:20260626:monthend,issuer_events_observed,pending,pending,blocked,2026-08-28T16:35:50+00:00,공식 운용사 공지에서 분배금 후보를 확보했으나 KIND·무분배·기업행동 검증 전이므로 TR 계산 차단.
window:2c60b20fb1ebbf4110ca,KR70000H0005,0000H0,2026-07-01,2026-07-31,issuer:kodex:notice:20260728:monthend,issuer_events_observed,pending,pending,blocked,2026-08-28T16:35:50+00:00,공식 운용사 공지에서 분배금 후보를 확보했으나 KIND·무분배·기업행동 검증 전이므로 TR 계산 차단.
window:0809cb1bfd3e4d732ddb,KR70000Z0003,0000Z0,2026-07-01,2026-07-31,issuer:rise:notice:20260728:monthend,issuer_events_observed,pending,pending,blocked,2026-08-28T16:35:50+00:00,공식 운용사 공지에서 분배금 후보를 확보했으나 KIND·무분배·기업행동 검증 전이므로 TR 계산 차단.
window:f3ec9913cefe2c61bbe6,KR70005A0007,0005A0,2026-07-01,2026-07-31,issuer:kodex:notice:20260728:monthend,issuer_events_observed,pending,pending,blocked,2026-08-28T16:35:50+00:00,공식 운용사 공지에서 분배금 후보를 확보했으나 KIND·무분배·기업행동 검증 전이므로 TR 계산 차단.
window:b6a44eeaeaaae5c262ff,KR70008S0004,0008S0,2026-06-01,2026-06-30,issuer:tiger:notice:20260611:midmonth,issuer_events_observed,pending,pending,blocked,2026-08-28T16:35:50+00:00,공식 운용사 공지에서 분배금 후보를 확보했으나 KIND·무분배·기업행동 검증 전이므로 TR 계산 차단.
window:60ff9132e9f8b4ae3c25,KR70008S0004,0008S0,2026-07-01,2026-07-31,issuer:tiger:notice:20260713:midmonth,issuer_events_observed,pending,pending,blocked,2026-08-28T16:35:50+00:00,공식 운용사 공지에서 분배금 후보를 확보했으나 KIND·무분배·기업행동 검증 전이므로 TR 계산 차단.
window:33ef133cbab01a360afa,KR70008S0004,0008S0,2026-08-01,2026-08-31,issuer:tiger:notice:20260812:midmonth,issuer_events_observed,pending,pending,blocked,2026-08-28T16:35:50+00:00,공식 운용사 공지에서 분배금 후보를 확보했으나 KIND·무분배·기업행동 검증 전이므로 TR 계산 차단.
window:3c8b7201899d3aa944d5,KR70013P0000,0013P0,2026-07-01,2026-07-31,issuer:rise:notice:20260728:monthend,issuer_events_observed,pending,pending,blocked,2026-08-28T16:35:50+00:00,공식 운용사 공지에서 분배금 후보를 확보했으나 KIND·무분배·기업행동 검증 전이므로 TR 계산 차단.
window:817f8a91c8d40a0fa18f,KR70013R0008,0013R0,2026-07-01,2026-07-31,issuer:rise:notice:20260728:monthend,issuer_events_observed,pending,pending,blocked,2026-08-28T16:35:50+00:00,공식 운용사 공지에서 분배금 후보를 확보했으나 KIND·무분배·기업행동 검증 전이므로 TR 계산 차단.
window:f8ea5094ff0e3e72fde5,KR70018Z0003,0018Z0,2026-07-01,2026-07-31,issuer:rise:notice:20260728:monthend,issuer_events_observed,pending,pending,blocked,2026-08-28T16:35:50+00:00,공식 운용사 공지에서 분배금 후보를 확보했으나 KIND·무분배·기업행동 검증 전이므로 TR 계산 차단.
window:b86d17b5d4b36fb1b97f,KR70028X0003,0028X0,2026-07-01,2026-07-31,issuer:kodex:notice:20260728:monthend,issuer_events_observed,pending,pending,blocked,2026-08-28T16:35:50+00:00,공식 운용사 공지에서 분배금 후보를 확보했으나 KIND·무분배·기업행동 검증 전이므로 TR 계산 차단.
window:eef569107f2a724b6c34,KR70036R0001,0036R0,2026-07-01,2026-07-31,issuer:rise:notice:20260728:monthend,issuer_events_observed,pending,pending,blocked,2026-08-28T16:35:50+00:00,공식 운용사 공지에서 분배금 후보를 확보했으나 KIND·무분배·기업행동 검증 전이므로 TR 계산 차단.
window:7310c4752271f4ab0e2e,KR70036Z0001,0036Z0,2026-07-01,2026-07-31,issuer:rise:notice:20260728:monthend,issuer_events_observed,pending,pending,blocked,2026-08-28T16:35:50+00:00,공식 운용사 공지에서 분배금 후보를 확보했으나 KIND·무분배·기업행동 검증 전이므로 TR 계산 차단.
window:c81765e1e104fa249783,KR70038A0008,0038A0,2026-07-01,2026-07-31,issuer:kodex:notice:20260728:monthend,issuer_events_observed,pending,pending,blocked,2026-08-28T16:35:50+00:00,공식 운용사 공지에서 분배금 후보를 확보했으나 KIND·무분배·기업행동 검증 전이므로 TR 계산 차단.
window:6ae77d2a1b9d9c50bf5e,KR70041D0000,0041D0,2026-07-01,2026-07-31,issuer:kodex:notice:20260728:monthend,issuer_events_observed,pending,pending,blocked,2026-08-28T16:35:50+00:00,공식 운용사 공지에서 분배금 후보를 확보했으나 KIND·무분배·기업행동 검증 전이므로 TR 계산 차단.
window:24e33281a9ae54d2581c,KR70041E0009,0041E0,2026-07-01,2026-07-31,issuer:kodex:notice:20260728:monthend,issuer_events_observed,pending,pending,blocked,2026-08-28T16:35:50+00:00,공식 운용사 공지에서 분배금 후보를 확보했으나 KIND·무분배·기업행동 검증 전이므로 TR 계산 차단.
window:4da6967a94023996c224,KR70046A0008,0046A0,2026-05-01,2026-05-31,issuer:tiger:notice:20260527:monthend,issuer_events_observed,pending,pending,blocked,2026-08-28T16:35:50+00:00,공식 운용사 공지에서 분배금 후보를 확보했으나 KIND·무분배·기업행동 검증 전이므로 TR 계산 차단.
window:bebe151dac0f4bd640fe,KR70046A0008,0046A0,2026-06-01,2026-06-30,issuer:tiger:notice:20260626:monthend,issuer_events_observed,pending,pending,blocked,2026-08-28T16:35:50+00:00,공식 운용사 공지에서 분배금 후보를 확보했으나 KIND·무분배·기업행동 검증 전이므로 TR 계산 차단.
window:c21138617fd759b9d83a,KR70048J0007,0048J0,2026-07-01,2026-07-31,issuer:kodex:notice:20260728:monthend,issuer_events_observed,pending,pending,blocked,2026-08-28T16:35:50+00:00,공식 운용사 공지에서 분배금 후보를 확보했으나 KIND·무분배·기업행동 검증 전이므로 TR 계산 차단.
