event_id,etf_id,ticker,etf_name,issuer_ex_date,krx_apply_date,ex_date,record_date,pay_date,distribution_per_share_krw,distribution_type,event_status,currency,ex_rights_reference_price_krw,issuer_source_id,krx_source_id,issuer_amount_verified,krx_ex_date_verified,verification_status,verification_note,supersedes_event_id,source_collected_at,updated_at
KR70073X0007:2026-07-30:ordinary_cash:kind-v1,KR70073X0007,0073X0,FOCUS 알리바바미국채커버드콜혼합,,2026-07-30,2026-07-30,2026-07-31,2026-08-04,95,ordinary_cash,announced,KRW,9615,,krx:kind:0073X0:20260729:20260729001466,false,true,krx_verified,KIND 공식 분배금 일괄공시의 95원·기준일·지급일과 KIND 공식 분배락 공시의 적용일·기준가격을 대조함. 운용사별 별도 공지 원문 미연결로 TR 계산은 보류.,,2026-08-16T08:22:28+00:00,2026-08-28T16:35:49+00:00
KR70176P0003:2026-07-30:ordinary_cash:kind-v1,KR70176P0003,0176P0,FOCUS AI반도체위클리고정커버드콜,,2026-07-30,2026-07-30,2026-07-31,2026-08-04,165,ordinary_cash,announced,KRW,9765,,krx:kind:0176P0:20260729:20260729001422,false,true,krx_verified,KIND 공식 분배금 일괄공시의 165원·기준일·지급일과 KIND 공식 분배락 공시의 적용일·기준가격을 대조함. 운용사별 별도 공지 원문 미연결로 TR 계산은 보류.,,2026-08-16T08:22:28+00:00,2026-08-28T16:35:49+00:00
KR70189Z0006:2026-07-30:ordinary_cash:kind-v1,KR70189Z0006,0189Z0,DAISHIN343 금융&지주고배당,,2026-07-30,2026-07-30,2026-07-31,2026-08-04,10,ordinary_cash,announced,KRW,9425,,krx:kind:0189Z0:20260729:20260729001415,false,true,krx_verified,KIND 공식 분배금 일괄공시의 10원·기준일·지급일과 KIND 공식 분배락 공시의 적용일·기준가격을 대조함. 운용사별 별도 공지 원문 미연결로 TR 계산은 보류.,,2026-08-16T08:22:28+00:00,2026-08-28T16:35:49+00:00
KR7192720001:2026-07-30:ordinary_cash:kind-v1,KR7192720001,192720,파워 고배당저변동성,,2026-07-30,2026-07-30,2026-07-31,2026-08-04,151,ordinary_cash,announced,KRW,55275,,krx:kind:192720:20260729:20260729001366,false,true,krx_verified,KIND 공식 분배금 일괄공시의 151원·기준일·지급일과 KIND 공식 분배락 공시의 적용일·기준가격을 대조함. 운용사별 별도 공지 원문 미연결로 TR 계산은 보류.,,2026-08-16T08:22:28+00:00,2026-08-28T16:35:49+00:00
KR7266160001:2026-01-30:ordinary_cash:issuer-v1,KR7266160001,266160,RISE 고배당,,2026-01-30,,2026-01-30,2026-02-03,90,ordinary_cash,paid,KRW,,issuer:rise:266160:20260816:table,,false,false,issuer_notice,RISE 공식 상품 상세페이지의 최근 3년 분배금 지급현황에서 2026-01-30 기준일·2026-02-03 실지급일·주당분배금 90원을 확인함. KIND 분배락 공시 미연결로 TR 계산은 보류.,,2026-08-16T09:05:00+00:00,2026-08-28T16:35:49+00:00
KR7266160001:2026-04-30:ordinary_cash:issuer-v1,KR7266160001,266160,RISE 고배당,,2026-04-30,,2026-04-30,2026-05-06,400,ordinary_cash,paid,KRW,,issuer:rise:266160:20260816:table,,false,false,issuer_notice,RISE 공식 상품 상세페이지의 최근 3년 분배금 지급현황에서 2026-04-30 기준일·2026-05-06 실지급일·주당분배금 400원을 확인함. KIND 분배락 공시 미연결로 TR 계산은 보류.,,2026-08-16T09:05:00+00:00,2026-08-28T16:35:49+00:00
KR7266160001:2026-07-31:ordinary_cash:issuer-v1,KR7266160001,266160,RISE 고배당,,2026-07-31,,2026-07-31,2026-08-04,80,ordinary_cash,paid,KRW,,issuer:rise:266160:20260816:table,,false,false,issuer_notice,RISE 공식 상품 상세페이지의 최근 3년 분배금 지급현황에서 2026-07-31 기준일·2026-08-04 실지급일·주당분배금 80원을 확인함. KIND 분배락 공시 미연결로 TR 계산은 보류.,,2026-08-16T09:05:00+00:00,2026-08-28T16:35:49+00:00
KR7419420005:2026-07-30:ordinary_cash:v1,KR7419420005,419420,KODEX 미국클린에너지나스닥,,2026-07-30,2026-07-30,2026-07-31,2026-08-04,8,ordinary_cash,announced,KRW,9045,issuer:kodex:notice:20260728:monthend,krx:kind:419420:20260729:20260729001258,true,true,verified,운용사 공식 공지의 좌당 분배금과 KRX KIND의 분배락 적용일·기준가격을 종목코드 및 14일 이내 공시-적용일 규칙으로 대조함. 기준일·지급일은 원문 미확보로 공란 유지.,,2026-08-28T16:35:50+00:00,2026-08-28T16:35:50+00:00
KR7441640000:legacy:2026-07-15:ordinary_cash:v1,KR7441640000,441640,KODEX 미국배당커버드콜액티브,,,,2026-07-15,,103,ordinary_cash,announced,KRW,,legacy:e3aa6f873f12d7b0,,false,false,partial,기존 원장에서 이관됨. 분배락일·지급일·원문 해시 확인 전 TR 계산 금지.,,2026-08-13T09:56:19+00:00,2026-08-13T09:56:19+00:00
KR7489030007:2026-07-30:ordinary_cash:kind-v1,KR7489030007,489030,PLUS 고배당주위클리커버드콜,,2026-07-30,2026-07-30,2026-07-31,2026-08-04,103,ordinary_cash,announced,KRW,6505,,krx:kind:489030:20260729:20260729000622,false,true,krx_verified,"KIND 공식 분배금 일괄공시(2026-07-29)의 103원·기준일·지급일과 KIND 공식 분배락 기준가격 안내(2026-07-29)의 적용일 2026-07-30·기준가격 6,505원을 대조함. 운용사 공식 공지 원문 미연결로 TR 계산은 보류.",,2026-08-16T08:55:00+00:00,2026-08-28T16:35:49+00:00
