"etf_id","ticker","etf_name","base_index","aum","priority_tier","candidate_reason","collection_status","issuer_source_status","krx_source_status","note"
"KR7498400001","498400","KODEX 200타겟위클리커버드콜","코스피 200 타겟 15% 위클리 커버드콜 지수","5929464371020","P1","커버드콜 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7458730009","458730","TIGER 미국배당다우존스","Dow Jones U.S. Dividend 100 Price Return Index","4288960144946","P1","배당 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7486290000","486290","TIGER 미국나스닥100타겟데일리커버드콜","NASDAQ 100 Daily Covered Call Target Premium 15% 지수(TR)","2385933374003","P1","커버드콜 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7161510003","161510","PLUS 고배당주","FnGuide 배당주 지수","2380590564529","P1","고배당 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7472150002","472150","TIGER 배당커버드콜액티브","코스피 200 커버드콜 5% OTM","2338806027316","P1","커버드콜 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7441640000","441640","KODEX 미국배당커버드콜액티브","S&P 500","1710926822235","P1","커버드콜 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7446720005","446720","SOL 미국배당다우존스","Dow Jones U.S. Dividend 100 Price Return Index","1051498619726","P1","배당 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7494300007","494300","KODEX 미국나스닥100데일리커버드콜OTM","NASDAQ-100 Daily Covered Call 101 Index(TR)","989414770667","P1","커버드콜 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7402970008","402970","ACE 미국배당다우존스","Dow Jones U.S. Dividend 100 Price Return Index","971634174950","P1","배당 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR70177R0000","0177R0","TIGER 반도체TOP10커버드콜액티브","FnGuide 반도체 TOP10 Capped 지수(Price Return)","872187583944","P1","커버드콜 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7475720009","475720","RISE 200위클리커버드콜","코스피 200 위클리 커버드콜 ATM 지수","804882932061","P1","커버드콜 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7490590007","490590","RISE 미국AI밸류체인데일리고정커버드콜","KEDI 미국 AI밸류체인 90%참여+데일리옵션 프리미엄 지수(TR)","789688726535","P1","커버드콜 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7498410000","498410","KODEX 금융고배당TOP10타겟위클리커버드콜","코스피 200 금융 고배당 TOP 10 타겟 15%분배 위클리 커버드콜 지수","785316048364","P1","커버드콜 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7466940004","466940","TIGER 은행고배당플러스TOP10","FnGuide 은행고배당플러스TOP10 지수(시장가격 지수)","782716083307","P1","고배당 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7476550009","476550","TIGER 미국30년국채커버드콜액티브(H)","KEDI 미국채30년 위클리 커버드콜30 지수(Total Return)","776370621304","P1","커버드콜 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7481060002","481060","KODEX 미국30년국채타겟커버드콜(합성 H)","Bloomberg U.S.Treasury 20+ Year(TLT)+ 12% Premium Covered Call index(TR)","767209636885","P1","커버드콜 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7458760006","458760","TIGER 미국배당다우존스타겟커버드콜2호","DowJones U.S. Dividend 100 7% Premium Covered Call 지수 (TR)","711624391115","P1","커버드콜 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR70167B0000","0167B0","SOL 200타겟위클리커버드콜","코스피 200 타겟 15% 위클리 커버드콜 지수","675331213415","P1","커버드콜 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7482730009","482730","TIGER 미국S&P500타겟데일리커버드콜","S&P500 10% Daily Premium Covered Call Index(TR)","657433900017","P1","커버드콜 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7489250001","489250","KODEX 미국배당다우존스","Dow Jones U.S. Dividend 100 Price Return Index","595890604564","P1","배당 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
