normalized_index_family,alias,index_family,canonical_category,canonical_topic,source_type
KEDI-엔비디아미국채30년타겟커버드콜혼합지수-TR-5e44548d87,KEDI 엔비디아미국채30년타겟커버드콜혼합지수(TR),KEDI-엔비디아미국채30년타겟커버드콜혼합지수-TR-5e44548d87,혼합자산,자산배분,normalized_master
NIFTY-MIDCAP-100-INDEX-PR-7b181018c3,Nifty Midcap 100 Index(PR),NIFTY-MIDCAP-100-INDEX-PR-7b181018c3,규모,규모주,normalized_master
FNGUIDE-한화그룹주-지수-29466e7eca,FnGuide 한화그룹주 지수,FNGUIDE-한화그룹주-지수-29466e7eca,일반주식,지수기반,normalized_master
KAP-26-12-크레딧-채권-총수익지수-AA-이상-32883fffd9,KAP 26-12 크레딧 채권 총수익지수(AA-이상),KAP-26-12-크레딧-채권-총수익지수-AA-이상-32883fffd9,채권,회사채/만기매칭형/AA,normalized_master
KRX-바이오-TOP-10-지수-5e0d683af9,KRX 바이오 TOP 10 지수,KRX-바이오-TOP-10-지수-5e0d683af9,일반주식,지수기반,normalized_master
FNGUIDE-바이오시밀러-CDMO-지수-51fd16dabf,FnGuide 바이오시밀러&CDMO 지수,FNGUIDE-바이오시밀러-CDMO-지수-51fd16dabf,일반주식,지수기반,normalized_master
MSCI-INDIA-IMI-INDEX-PR-c53494bf0f,MSCI India IMI Index(PR),MSCI-INDIA-IMI-INDEX-PR-c53494bf0f,일반주식,지수기반,normalized_master
SOLACTIVE-U-S-DIVIDEND-TOP-30-INDEX-PR-289512ae11,Solactive U.S. Dividend TOP 30 Index PR,SOLACTIVE-U-S-DIVIDEND-TOP-30-INDEX-PR-289512ae11,배당·주주환원,고배당,normalized_master
SP500,S&P 500 Covered Call 1% OTM Daily Index(TR),SP500,대표지수,S&P500,normalized_master
SP500,S&P500 Yen Hedged Index(PR),SP500,대표지수,S&P500,normalized_master
FNGUIDE-전고체배터리-실리콘음극재-지수-PR-9a6b7feb3e,FnGuide 전고체배터리&실리콘음극재 지수(PR),FNGUIDE-전고체배터리-실리콘음극재-지수-PR-9a6b7feb3e,테마,2차전지,normalized_master
FNGUIDE-K-AI반도체-코어테크-지수-b02f0fe5e6,FnGuide K-AI반도체 코어테크 지수,FNGUIDE-K-AI반도체-코어테크-지수-b02f0fe5e6,테마,반도체,normalized_master
KAP-27-12-회사채-총수익-지수-AA-이상-8762da5a83,KAP 27-12 회사채 총수익 지수(AA-이상),KAP-27-12-회사채-총수익-지수-AA-이상-8762da5a83,채권,회사채/만기매칭형/AA,normalized_master
SOLACTIVE-GLOBAL-NUCLEAR-ENERGY-VALUE-CHAIN--49b38cab30,Solactive Global Nuclear Energy Value Chain Index(PR),SOLACTIVE-GLOBAL-NUCLEAR-ENERGY-VALUE-CHAIN--49b38cab30,일반주식,지수기반,normalized_master
코스피-200-dbc8ccb693,코스피 200,코스피-200-dbc8ccb693,일반주식,지수기반,normalized_master
NYSE-FACTSET-US-FOCUS-MANUFACTURING-INDEX-PR-36c8e6fbe8,NYSE FactSet US Focus Manufacturing Index(Price Return),NYSE-FACTSET-US-FOCUS-MANUFACTURING-INDEX-PR-36c8e6fbe8,일반주식,지수기반,normalized_master
DOW-JONES-U-S-DIVIDEND-100-10-DAILY-PREMIUM--3ef0fbc45f,Dow Jones U.S. Dividend 100 10% Daily Premium Covered Call 지수,DOW-JONES-U-S-DIVIDEND-100-10-DAILY-PREMIUM--3ef0fbc45f,배당·주주환원,고배당,normalized_master
FNGUIDE-화장품TOP3-플러스-지수-PR-846e3059e7,FnGuide 화장품TOP3 플러스 지수(PR),FNGUIDE-화장품TOP3-플러스-지수-PR-846e3059e7,일반주식,지수기반,normalized_master
KEDI-미국-은행-TOP10-지수-edfdc7a8ea,KEDI 미국 은행 TOP10 지수,KEDI-미국-은행-TOP10-지수-edfdc7a8ea,일반주식,지수기반,normalized_master
KEDI-테슬라미국30년국채15-타겟프리미엄-혼합지수-TR-63c5e3ced6,KEDI 테슬라미국30년국채15%타겟프리미엄 혼합지수(TR),KEDI-테슬라미국30년국채15-타겟프리미엄-혼합지수-TR-63c5e3ced6,혼합자산,자산배분,normalized_master
나스닥-종합주가지수-5a41e1bc2a,나스닥 종합주가지수,나스닥-종합주가지수-5a41e1bc2a,일반주식,지수기반,normalized_master
