ticker_name,kind_ticker_code,listing_date,filed_at,kind_receipt_no,report_title,kind_search_url,source_type,verification_status,collected_at
TIGER 브릭스,10502,2008-08-27,2008-08-26 18:14,20080826000427,"신규상장(미래에셋 TIGER 브릭스 상장지수투자신탁, 상장일 2008.08.27)",https://kind.krx.co.kr/disclosure/disclosurebystocktype.do?method=searchDisclosureByStockTypeEtfSub&forward=disclosurebystocktype_etf_sub&currentPageSize=100&pageIndex=1&orderMode=1&orderStat=D&etfIsuSrtCd=&reportCd=&reportTmp=&etfIsuSrtNm=&reportNm=%EC%8B%A0%EA%B7%9C%EC%83%81%EC%9E%A5&fromDate=2008-08-01&toDate=2008-08-31,kind_listing_notice_title,official_notice_pending_isin,2026-08-14T07:26:02+00:00
TIGER 라틴35,10501,2008-08-27,2008-08-26 18:13,20080826000429,"신규상장(미래에셋 TIGER 라틴 상장지수투자신탁, 상장일 2008.08.27)",https://kind.krx.co.kr/disclosure/disclosurebystocktype.do?method=searchDisclosureByStockTypeEtfSub&forward=disclosurebystocktype_etf_sub&currentPageSize=100&pageIndex=1&orderMode=1&orderStat=D&etfIsuSrtCd=&reportCd=&reportTmp=&etfIsuSrtNm=&reportNm=%EC%8B%A0%EA%B7%9C%EC%83%81%EC%9E%A5&fromDate=2008-08-01&toDate=2008-08-31,kind_listing_notice_title,official_notice_pending_isin,2026-08-14T07:26:02+00:00
KODEX 15,10545,2008-09-25,2008-09-23 13:40,20080923000085,"신규상장(삼성 KODEX 15 상장지수투자신탁보통주, 상장일 2008.09.25)",https://kind.krx.co.kr/disclosure/disclosurebystocktype.do?method=searchDisclosureByStockTypeEtfSub&forward=disclosurebystocktype_etf_sub&currentPageSize=100&pageIndex=1&orderMode=1&orderStat=D&etfIsuSrtCd=&reportCd=&reportTmp=&etfIsuSrtNm=&reportNm=%EC%8B%A0%EA%B7%9C%EC%83%81%EC%9E%A5&fromDate=2008-09-01&toDate=2008-09-30,kind_listing_notice_title,official_notice_pending_isin,2026-08-14T07:26:02+00:00
KINDEX 성장대형F15,10527,2008-09-25,2008-09-23 13:40,20080923000086,"신규상장(한국KINDEX F15 상장지수투자신탁보통주, 상장일 2008.09.25)",https://kind.krx.co.kr/disclosure/disclosurebystocktype.do?method=searchDisclosureByStockTypeEtfSub&forward=disclosurebystocktype_etf_sub&currentPageSize=100&pageIndex=1&orderMode=1&orderStat=D&etfIsuSrtCd=&reportCd=&reportTmp=&etfIsuSrtNm=&reportNm=%EC%8B%A0%EA%B7%9C%EC%83%81%EC%9E%A5&fromDate=2008-09-01&toDate=2008-09-30,kind_listing_notice_title,official_notice_pending_isin,2026-08-14T07:26:02+00:00
ACE 200,10519,2008-09-25,2008-09-23 13:39,20080923000088,"신규상장(한국 KINDEX200 상장지수투자신탁보통주, 상장일 2008.09.25)",https://kind.krx.co.kr/disclosure/disclosurebystocktype.do?method=searchDisclosureByStockTypeEtfSub&forward=disclosurebystocktype_etf_sub&currentPageSize=100&pageIndex=1&orderMode=1&orderStat=D&etfIsuSrtCd=&reportCd=&reportTmp=&etfIsuSrtNm=&reportNm=%EC%8B%A0%EA%B7%9C%EC%83%81%EC%9E%A5&fromDate=2008-09-01&toDate=2008-09-30,kind_listing_notice_title,official_notice_pending_isin,2026-08-14T07:26:02+00:00
RISE 5대그룹주,10578,2008-10-22,2008-10-20 14:51,20081020000124,"신규상장(KStar 5대그룹주 상장지수투자신탁, 상장일 2008.10.22)",https://kind.krx.co.kr/disclosure/disclosurebystocktype.do?method=searchDisclosureByStockTypeEtfSub&forward=disclosurebystocktype_etf_sub&currentPageSize=100&pageIndex=1&orderMode=1&orderStat=D&etfIsuSrtCd=&reportCd=&reportTmp=&etfIsuSrtNm=&reportNm=%EC%8B%A0%EA%B7%9C%EC%83%81%EC%9E%A5&fromDate=2008-10-01&toDate=2008-10-31,kind_listing_notice_title,official_notice_pending_isin,2026-08-14T07:26:02+00:00
KINDEX 코스닥스타,10844,2009-01-22,2009-01-19 16:39,20090119000220,"신규상장(한국 KINDEX 코스닥스타 상장지수투자신탁, 상장일 2009.01.22)",https://kind.krx.co.kr/disclosure/disclosurebystocktype.do?method=searchDisclosureByStockTypeEtfSub&forward=disclosurebystocktype_etf_sub&currentPageSize=100&pageIndex=1&orderMode=1&orderStat=D&etfIsuSrtCd=&reportCd=&reportTmp=&etfIsuSrtNm=&reportNm=%EC%8B%A0%EA%B7%9C%EC%83%81%EC%9E%A5&fromDate=2009-01-01&toDate=2009-01-31,kind_listing_notice_title,official_notice_pending_isin,2026-08-14T07:26:02+00:00
KBSTAR 코스닥엘리트30,10848,2009-01-22,2009-01-19 16:39,20090119000243,"신규상장(KStar 코스닥엘리트30 상장지수투자신탁, 상장일 2009.01.22)",https://kind.krx.co.kr/disclosure/disclosurebystocktype.do?method=searchDisclosureByStockTypeEtfSub&forward=disclosurebystocktype_etf_sub&currentPageSize=100&pageIndex=1&orderMode=1&orderStat=D&etfIsuSrtCd=&reportCd=&reportTmp=&etfIsuSrtNm=&reportNm=%EC%8B%A0%EA%B7%9C%EC%83%81%EC%9E%A5&fromDate=2009-01-01&toDate=2009-01-31,kind_listing_notice_title,official_notice_pending_isin,2026-08-14T07:26:02+00:00
TREX 200,10859,2009-01-23,2009-01-23 10:23,20090119000448,"신규상장(유리TREX200상장지수투자신탁, 상장일 2009.01.23)",https://kind.krx.co.kr/disclosure/disclosurebystocktype.do?method=searchDisclosureByStockTypeEtfSub&forward=disclosurebystocktype_etf_sub&currentPageSize=100&pageIndex=1&orderMode=1&orderStat=D&etfIsuSrtCd=&reportCd=&reportTmp=&etfIsuSrtNm=&reportNm=%EC%8B%A0%EA%B7%9C%EC%83%81%EC%9E%A5&fromDate=2009-01-01&toDate=2009-01-31,kind_listing_notice_title,official_notice_pending_isin,2026-08-14T07:26:02+00:00
FIRST 스타우량,10863,2009-02-03,2009-01-30 09:03,20090130000034,"신규상장(FIRST 스타우량 ETF, 상장일 2009.02.03)",https://kind.krx.co.kr/disclosure/disclosurebystocktype.do?method=searchDisclosureByStockTypeEtfSub&forward=disclosurebystocktype_etf_sub&currentPageSize=100&pageIndex=1&orderMode=1&orderStat=D&etfIsuSrtCd=&reportCd=&reportTmp=&etfIsuSrtNm=&reportNm=%EC%8B%A0%EA%B7%9C%EC%83%81%EC%9E%A5&fromDate=2009-01-01&toDate=2009-01-31,kind_listing_notice_title,official_notice_pending_isin,2026-08-14T07:26:02+00:00
