priority,review_status,ticker,isin,master_name,issuer_group,search_key_1_isin,search_key_2_ticker,search_key_3_current_name,preferred_source_1,preferred_source_2,candidate_listing_date,candidate_first_traded_date,evidence_url,source_document_id,source_document_title,evidence_quote,match_basis,reviewer,reviewed_at,next_action,verification_note
P0,accepted,102110,KR7102110004,TIGER 200,미래에셋자산운용,KR7102110004,102110,TIGER 200,KRX KIND/레거시 KRX 상장 공고,미래에셋자산운용 공식 상품·보관 문서,2008-04-03,,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEtfIsuSummary&strIsurCd=10211,10211,미래에셋 TIGER 200증권상장지수투자신탁(주식),표준코드 KR7102110004; 종목코드 102110; 상장일 2008-04-03,isin,Manus AI,2026-08-14T07:46:57+00:00,없음 — KIND 공식 증적 검증 완료,KIND ETF 종목상세의 상장일·ISIN·종목코드 일치로 승인되었습니다.
P0,accepted,069500,KR7069500007,KODEX 200,삼성자산운용,KR7069500007,069500,KODEX 200,KRX KIND/레거시 KRX 상장 공고,삼성자산운용 공식 상품·보관 문서,2002-10-14,,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEtfIsuSummary&strIsurCd=06950,06950,삼성 KODEX 200증권상장지수투자신탁(주식),표준코드 KR7069500007; 종목코드 069500; 상장일 2002-10-14,isin,Manus AI,2026-08-14T07:46:57+00:00,없음 — KIND 공식 증적 검증 완료,KIND ETF 종목상세의 상장일·ISIN·종목코드 일치로 승인되었습니다.
P0,accepted,220130,KR7220130009,SOL 차이나강소기업CSI500(합성 H),신한자산운용,KR7220130009,220130,SOL 차이나강소기업CSI500(합성 H),KRX KIND/레거시 KRX 상장 공고,신한자산운용 공식 상품·보관 문서,2015-06-08,,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEtfIsuSummary&strIsurCd=22013,22013,신한 SOL 차이나강소기업CSI500증권상장지수투자신탁(주식-파생형)(합성 H),표준코드 KR7220130009; 종목코드 220130; 상장일 2015-06-08,isin,Manus AI,2026-08-14T07:46:57+00:00,없음 — KIND 공식 증적 검증 완료,KIND ETF 종목상세의 상장일·ISIN·종목코드 일치로 승인되었습니다.
P0,accepted,069660,KR7069660009,KIWOOM 200,키움투자자산운용,KR7069660009,069660,KIWOOM 200,KRX KIND/레거시 KRX 상장 공고,키움투자자산운용 공식 상품·보관 문서,2002-10-14,,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEtfIsuSummary&strIsurCd=06966,06966,키움 KIWOOM 200 상장지수증권투자신탁[주식],표준코드 KR7069660009; 종목코드 069660; 상장일 2002-10-14,isin,Manus AI,2026-08-14T07:46:57+00:00,없음 — KIND 공식 증적 검증 완료,KIND ETF 종목상세의 상장일·ISIN·종목코드 일치로 승인되었습니다.
P1,accepted,091220,KR7091220004,TIGER 은행,미래에셋자산운용,KR7091220004,091220,TIGER 은행,KRX KIND/레거시 KRX 상장 공고,미래에셋자산운용 공식 상품·보관 문서,2006-06-27,,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEtfIsuSummary&strIsurCd=09122,09122,KIND ETF 종목상세 — TIGER 은행,표준코드 KR7091220004; 종목코드 091220; 상장일 2006-06-27,isin,Manus AI,2026-08-14T10:56:59+00:00,없음 — KIND 공식 증적 검증 완료,KIND ETF 종목상세의 상장일·ISIN·종목코드 일치로 승인되었습니다.
P1,accepted,091230,KR7091230003,TIGER 반도체,미래에셋자산운용,KR7091230003,091230,TIGER 반도체,KRX KIND/레거시 KRX 상장 공고,미래에셋자산운용 공식 상품·보관 문서,2006-06-27,,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEtfIsuSummary&strIsurCd=09123,09123,KIND ETF 종목상세 — TIGER 반도체,표준코드 KR7091230003; 종목코드 091230; 상장일 2006-06-27,isin,Manus AI,2026-08-14T10:56:59+00:00,없음 — KIND 공식 증적 검증 완료,KIND ETF 종목상세의 상장일·ISIN·종목코드 일치로 승인되었습니다.
P1,accepted,174350,KR7174350009,TIGER 로우볼,미래에셋자산운용,KR7174350009,174350,TIGER 로우볼,KRX KIND/레거시 KRX 상장 공고,미래에셋자산운용 공식 상품·보관 문서,2013-06-20,,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEtfIsuSummary&strIsurCd=17435,17435,KIND ETF 종목상세 — TIGER 로우볼,표준코드 KR7174350009; 종목코드 174350; 상장일 2013-06-20,isin,Manus AI,2026-08-14T10:56:59+00:00,없음 — KIND 공식 증적 검증 완료,KIND ETF 종목상세의 상장일·ISIN·종목코드 일치로 승인되었습니다.
P1,accepted,204480,KR7204480008,TIGER 차이나CSI300레버리지(합성),미래에셋자산운용,KR7204480008,204480,TIGER 차이나CSI300레버리지(합성),KRX KIND/레거시 KRX 상장 공고,미래에셋자산운용 공식 상품·보관 문서,2014-09-01,,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEtfIsuSummary&strIsurCd=20448,20448,KIND ETF 종목상세 — TIGER 차이나CSI300레버리지(합성),표준코드 KR7204480008; 종목코드 204480; 상장일 2014-09-01,isin,Manus AI,2026-08-14T10:56:59+00:00,없음 — KIND 공식 증적 검증 완료,KIND ETF 종목상세의 상장일·ISIN·종목코드 일치로 승인되었습니다.
P1,accepted,091160,KR7091160002,KODEX 반도체,삼성자산운용,KR7091160002,091160,KODEX 반도체,KRX KIND/레거시 KRX 상장 공고,삼성자산운용 공식 상품·보관 문서,2006-06-27,,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEtfIsuSummary&strIsurCd=09116,09116,KIND ETF 종목상세 — KODEX 반도체,표준코드 KR7091160002; 종목코드 091160; 상장일 2006-06-27,isin,Manus AI,2026-08-14T10:56:59+00:00,없음 — KIND 공식 증적 검증 완료,KIND ETF 종목상세의 상장일·ISIN·종목코드 일치로 승인되었습니다.
P1,accepted,091170,KR7091170001,KODEX 은행,삼성자산운용,KR7091170001,091170,KODEX 은행,KRX KIND/레거시 KRX 상장 공고,삼성자산운용 공식 상품·보관 문서,2006-06-27,,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEtfIsuSummary&strIsurCd=09117,09117,KIND ETF 종목상세 — KODEX 은행,표준코드 KR7091170001; 종목코드 091170; 상장일 2006-06-27,isin,Manus AI,2026-08-14T10:56:59+00:00,없음 — KIND 공식 증적 검증 완료,KIND ETF 종목상세의 상장일·ISIN·종목코드 일치로 승인되었습니다.
