isin_cd,ticker,name,base_index,asset_family,region_primary,comparison_category,comparison_topic,comparison_subtopic,index_family,strategy_style,payoff_structure,direction,leverage_multiple,fx_hedge,replication_method,concentration_bucket,primary_peer_group_id,alternate_peer_group_ids,classification_status,evidence_basis,official_source_url,review_reason
KR70000D0009,0000D0,TIGER 엔비디아미국채커버드콜밸런스(합성),KEDI 엔비디아미국채30년타겟커버드콜혼합지수(TR),혼합자산,미국,혼합자산,자산배분 & 채권혼합,단일종목 채권혼합,BOND_미국-국채-장기-등급미확인-047cbda7f5,covered_call,covered_call,neutral,1X,unhedged,synthetic,unknown,PG-PENDING-0000D0-6e5e0f5383,,classified_derived,기초지수 명시; 운용사·공식 출처 URL 존재; 상품명 구조표시(covered_call); 자산군·투자대상 추출(채권/미국 국채 장기 등급미확인),가능,세부 투자대상 또는 만기·구성비율 미확인
KR70000H0005,0000H0,KODEX 인도Nifty미드캡100,Nifty Midcap 100 Index(PR),주식,인도,규모,인도 시장 & 밸류체인,인도 시가총액,시가총액-인도-시가총액-35cd304d20,passive,plain,neutral,1X,unhedged,physical_or_unspecified,broad,PG-주식-인도-규모-시가총액-인도-시가총액-시가총액-인도-시가총액-3-8d5021331c,,verified_official,기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(주식/인도 시가총액),가능,
KR70000J0003,0000J0,PLUS 한화그룹주,FnGuide 한화그룹주 지수,주식,국내,기업집단,기업집단,국내 기업집단,기업집단-국내-기업집단-d62cbfc10d,passive,plain,neutral,1X,unhedged_or_not_applicable,physical_or_unspecified,unknown,PG-주식-국내-기업집단-기업집단-국내-기업집단-기업집단-국내-기업집단-e294ab8bd9,,verified_official,기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(주식/국내 기업집단),가능,
KR70000Y0004,0000Y0,HK 26-12 회사채(AA-이상)액티브,KAP 26-12 크레딧 채권 총수익지수(AA-이상),채권,국내,채권,만기매칭형 채권,국내 회사채 만기미확인 AA,BOND_국내-회사채-만기미확인-AA-971a2814f8,active,bond_coupon,neutral,1X,unhedged_or_not_applicable,active,unknown,PG-PENDING-0000Y0-065d0f144a,,classified_derived,기초지수 명시; 자산군·투자대상 추출(채권/국내 회사채 만기미확인 AA),,세부 투자대상 또는 만기·구성비율 미확인
KR70000Z0003,0000Z0,RISE 바이오TOP10액티브,KRX 바이오 TOP 10 지수,주식,국내,산업·섹터,비만·신약 & 바이오시밀러,국내 바이오·제약·헬스케어,바이오-제약-헬스케어-국내-바이오-제약-헬스케어-d888086019,active,plain,neutral,1X,unhedged_or_not_applicable,active,concentrated,PG-주식-국내-산업-섹터-바이오-제약-헬스케어-국내-바이오-제약-헬스-eaf9ac0bdb,,verified_official,기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(주식/국내 바이오·제약·헬스케어),가능,
KR70001P0004,0001P0,마이티 바이오시밀러&CDMO액티브,FnGuide 바이오시밀러&CDMO 지수,주식,국내,산업·섹터,비만·신약 & 바이오시밀러,국내 바이오·제약·헬스케어,바이오-제약-헬스케어-국내-바이오-제약-헬스케어-d888086019,active,plain,neutral,1X,unhedged_or_not_applicable,active,unknown,PG-주식-국내-산업-섹터-바이오-제약-헬스케어-국내-바이오-제약-헬스-eaf9ac0bdb,,auto_high_confidence,기초지수 명시; 자산군·투자대상 추출(주식/국내 바이오·제약·헬스케어),,
KR70002C0008,0002C0,에셋플러스 인도일등기업포커스20액티브,MSCI India IMI Index(PR),주식,인도,기타특수구조,인도 시장 & 밸류체인,인도 미확인 주식전략,미확인-주식전략-인도-미확인-주식전략-69bd615628,active,plain,neutral,1X,unhedged,active,unknown,PG-PENDING-0002C0-d549ff062f,,classified_derived,기초지수 명시; 자산군·투자대상 추출(주식/인도 미확인 주식전략),,직접 비교에 필요한 주식 전략·투자대상 미확인; 세부 투자대상 또는 만기·구성비율 미확인
KR70004G0002,0004G0,1Q 미국배당TOP30,Solactive U.S. Dividend TOP 30 Index PR,주식,미국,배당·주주환원,고배당 & 인컴 전략,미국 고배당,고배당-미국-고배당-8e56e7fe68,active,plain,neutral,1X,unhedged,active,ultra_concentrated,PG-주식-미국-배당-주주환원-고배당-미국-고배당-고배당-미국-고배당--25a2d26271,,auto_high_confidence,기초지수 명시; 자산군·투자대상 추출(주식/미국 고배당),,
KR70005A0007,0005A0,KODEX 미국S&P500데일리커버드콜OTM,S&P 500 Covered Call 1% OTM Daily Index(TR),주식,미국,대표지수,해외 월배당 & 커버드콜,미국 S&P500,S&P500,covered_call,covered_call,neutral,1X,unhedged,physical_or_unspecified,broad,PG-주식-미국-대표지수-S-P500-미국-S-P500-S-P500-C-4d555d2df6,,verified_official,기초지수 명시; 운용사·공식 출처 URL 존재; 상품명 구조표시(covered_call); 자산군·투자대상 추출(주식/미국 S&P500),가능,
KR70005C0005,0005C0,RISE 미국S&P500엔화노출(합성 H),S&P500 Yen Hedged Index(PR),주식,미국,대표지수,일본 테크 & 상사,미국 S&P500,S&P500,passive,plain,neutral,1X,hedged,synthetic,broad,PG-주식-미국-대표지수-S-P500-미국-S-P500-S-P500-P-c2eb6d3f91,,verified_official,기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(주식/미국 S&P500),가능,
KR70005D0004,0005D0,SOL 전고체배터리&실리콘음극재,FnGuide 전고체배터리&실리콘음극재 지수(PR),주식,국내,산업·섹터,2차전지 셀 & 소재,국내 2차전지·배터리 소재,2차전지-배터리-소재-국내-2차전지-배터리-소재-1367e96ce1,passive,plain,neutral,1X,unhedged_or_not_applicable,physical_or_unspecified,unknown,PG-주식-국내-산업-섹터-2차전지-배터리-소재-국내-2차전지-배터리--0cc60d36d9,,verified_official,기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(주식/국내 2차전지·배터리 소재),가능,
KR70005G0001,0005G0,IBK K-AI반도체코어테크,FnGuide K-AI반도체 코어테크 지수,주식,국내,산업·섹터,AI 반도체 & HBM,국내 반도체,반도체-국내-반도체-0ed1f11677,passive,plain,neutral,1X,unhedged_or_not_applicable,physical_or_unspecified,unknown,PG-주식-국내-산업-섹터-반도체-국내-반도체-반도체-국내-반도체-0E-f4bdfa635d,,auto_high_confidence,기초지수 명시; 자산군·투자대상 추출(주식/국내 반도체),,
KR70007F0000,0007F0,KODEX 27-12 회사채(AA-이상)액티브,KAP 27-12 회사채 총수익 지수(AA-이상),채권,국내,채권,만기매칭형 채권,국내 회사채 만기미확인 AA,BOND_국내-회사채-만기미확인-AA-971a2814f8,active,bond_coupon,neutral,1X,unhedged_or_not_applicable,active,unknown,PG-PENDING-0007F0-bd6f3f8d85,,classified_derived,기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(채권/국내 회사채 만기미확인 AA),가능,세부 투자대상 또는 만기·구성비율 미확인
KR70007G0009,0007G0,PLUS 글로벌원자력밸류체인,Solactive Global Nuclear Energy Value Chain Index(PR),주식,미국,산업·섹터,글로벌 원자력 & SMR,미국 원자력,원자력-미국-원자력-7e5331965a,active,plain,neutral,1X,unhedged,active,unknown,PG-주식-미국-산업-섹터-원자력-미국-원자력-원자력-미국-원자력-7E-dd53fbdb95,,verified_official,기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(주식/미국 원자력),가능,
KR70007N0000,0007N0,아이엠에셋 200,코스피 200,주식,국내,대표지수,코스피 200 코어,국내 코스피200,KOSPI200,passive,plain,neutral,1X,unhedged_or_not_applicable,physical_or_unspecified,broad,PG-주식-국내-대표지수-코스피200-국내-코스피200-KOSPI200-b519363da3,,verified_official,기초지수 명시; 자산군·투자대상 추출(주식/국내 미확인 주식전략),,직접 비교에 필요한 주식 전략·투자대상 미확인; 세부 투자대상 또는 만기·구성비율 미확인
