run_id,pipeline_step,status,started_at,completed_at,input_source_ids,input_hash_sha256,output_count,error_count,note
run:04fb090fdfba59457a26,parse_issuer_notices,completed,2026-09-01T03:34:34+00:00,2026-09-01T03:34:34+00:00,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,0,공식 공지 후보 추출 완료. 모든 후보는 KIND 대조 전 blocked 상태.
run:fdb6dbc0a44a46fa602d,validate_distribution_candidates,completed,2026-09-01T03:34:34+00:00,2026-09-01T03:34:34+00:00,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,0,후보·증거·원문 체인 검증
run:333da0e97bddf906f083,parse_issuer_notices,completed,2026-09-03T00:04:38+00:00,2026-09-03T00:04:38+00:00,issuer:registry:ace_notice_list:root;issuer:registry:daishin343_notice_pending:root;issuer:registry:detail:074baf9dc3d06748;issuer:registry:detail:1c3e24b23dad8423;issuer:registry:detail:23ccaabdc451de96;issuer:registry:detail:2dbc14a2af021e34;issuer:registry:detail:3925af7f9c1a6a6b;issuer:registry:detail:41e3b0aabc38d04c;issuer:registry:detail:51acff8c36c975d8;issuer:registry:detail:5cd69c38f73fccb3;issuer:registry:detail:63ab0f169c413264;issuer:registry:detail:72b0fe3efe59e022;issuer:registry:detail:b12ce00024839193;issuer:registry:detail:bf901b08c8b7cf14;issuer:registry:detail:c42ad1f2be4919f5;issuer:registry:detail:c6a8e01346d80c05;issuer:registry:detail:de52bc244c44e676;issuer:registry:detail:e43e1be8acac4743;issuer:registry:detail:f781c08aafa99085;issuer:registry:focus_notice_pending:root;issuer:registry:hanaro_notice_list:root;issuer:registry:kiwoom_distribution_report:root;issuer:registry:koact_dividend_notice_list:root;issuer:registry:kodex_distribution_report:root;issuer:registry:oneq_notice_list:root;issuer:registry:plus_notice_list:root;issuer:registry:power_notice_pending:root;issuer:registry:rise_notice_list_remaining:root;issuer:registry:sol_notice_list:root;issuer:registry:tiger_distribution_annual:root;issuer:registry:timefolio_notice_list:root,e24538a0ce074028c0e0fd0549bed9cd390893e31e08acf2a1f18014421e1eff,0,0,공식 공지 후보 추출 완료. 모든 후보는 KIND 대조 전 blocked 상태.
run:e96db42fc3914fa57020,validate_distribution_candidates,completed,2026-09-03T00:04:38+00:00,2026-09-03T00:04:38+00:00,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,0,후보·증거·원문 체인 검증
run:971c1f24e4818761746f,validate_distribution_candidates,completed,2026-09-03T00:04:41+00:00,2026-09-03T00:04:41+00:00,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,0,후보·증거·원문 체인 검증
run:a9b4c6af4ec9d8506b06,parse_issuer_notices,completed,2026-09-16T09:16:24+00:00,2026-09-16T09:16:24+00:00,issuer:registry:ace_notice_list:root;issuer:registry:daishin343_notice_pending:root;issuer:registry:detail:074baf9dc3d06748;issuer:registry:detail:1c3e24b23dad8423;issuer:registry:detail:23ccaabdc451de96;issuer:registry:detail:2dbc14a2af021e34;issuer:registry:detail:3925af7f9c1a6a6b;issuer:registry:detail:41e3b0aabc38d04c;issuer:registry:detail:51acff8c36c975d8;issuer:registry:detail:5cd69c38f73fccb3;issuer:registry:detail:63ab0f169c413264;issuer:registry:detail:72b0fe3efe59e022;issuer:registry:detail:b12ce00024839193;issuer:registry:detail:bf901b08c8b7cf14;issuer:registry:detail:c42ad1f2be4919f5;issuer:registry:detail:c6a8e01346d80c05;issuer:registry:detail:de52bc244c44e676;issuer:registry:detail:e43e1be8acac4743;issuer:registry:detail:f781c08aafa99085;issuer:registry:focus_notice_pending:root;issuer:registry:hanaro_notice_list:root;issuer:registry:kiwoom_distribution_report:root;issuer:registry:koact_dividend_notice_list:root;issuer:registry:kodex_distribution_report:root;issuer:registry:oneq_notice_list:root;issuer:registry:plus_notice_list:root;issuer:registry:power_notice_pending:root;issuer:registry:rise_notice_list_remaining:root;issuer:registry:sol_notice_list:root;issuer:registry:tiger_distribution_annual:root;issuer:registry:timefolio_notice_list:root,e24538a0ce074028c0e0fd0549bed9cd390893e31e08acf2a1f18014421e1eff,0,0,공식 공지 후보 추출 완료. 모든 후보는 KIND 대조 전 blocked 상태.
run:1f17114ce8017de2c345,validate_distribution_candidates,completed,2026-09-16T09:16:24+00:00,2026-09-16T09:16:24+00:00,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,0,후보·증거·원문 체인 검증
run:cbf8b038555a963a4597,validate_distribution_candidates,completed,2026-09-16T09:16:26+00:00,2026-09-16T09:16:26+00:00,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,0,후보·증거·원문 체인 검증
run:953960fb0481460c2e1e,parse_issuer_notices,completed,2026-09-17T09:34:53+00:00,2026-09-17T09:34:53+00:00,issuer:registry:ace_notice_list:root;issuer:registry:daishin343_notice_pending:root;issuer:registry:detail:074baf9dc3d06748;issuer:registry:detail:1c3e24b23dad8423;issuer:registry:detail:23ccaabdc451de96;issuer:registry:detail:2dbc14a2af021e34;issuer:registry:detail:3925af7f9c1a6a6b;issuer:registry:detail:41e3b0aabc38d04c;issuer:registry:detail:51acff8c36c975d8;issuer:registry:detail:5cd69c38f73fccb3;issuer:registry:detail:63ab0f169c413264;issuer:registry:detail:72b0fe3efe59e022;issuer:registry:detail:b12ce00024839193;issuer:registry:detail:bf901b08c8b7cf14;issuer:registry:detail:c42ad1f2be4919f5;issuer:registry:detail:c6a8e01346d80c05;issuer:registry:detail:de52bc244c44e676;issuer:registry:detail:e43e1be8acac4743;issuer:registry:detail:f781c08aafa99085;issuer:registry:focus_notice_pending:root;issuer:registry:hanaro_notice_list:root;issuer:registry:kiwoom_distribution_report:root;issuer:registry:koact_dividend_notice_list:root;issuer:registry:kodex_distribution_report:root;issuer:registry:oneq_notice_list:root;issuer:registry:plus_notice_list:root;issuer:registry:power_notice_pending:root;issuer:registry:rise_notice_list_remaining:root;issuer:registry:sol_notice_list:root;issuer:registry:tiger_distribution_annual:root;issuer:registry:timefolio_notice_list:root,e24538a0ce074028c0e0fd0549bed9cd390893e31e08acf2a1f18014421e1eff,0,0,공식 공지 후보 추출 완료. 모든 후보는 KIND 대조 전 blocked 상태.
run:a0eb5aa8026c4d35f469,validate_distribution_candidates,completed,2026-09-17T09:34:53+00:00,2026-09-17T09:34:53+00:00,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,0,후보·증거·원문 체인 검증
run:674fbf3129a9954916bf,validate_distribution_candidates,completed,2026-09-17T09:34:55+00:00,2026-09-17T09:34:55+00:00,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,0,후보·증거·원문 체인 검증
