candidate_id,event_id,source_id,source_owner,etf_id,ticker,etf_name,issuer_ex_date,record_date,pay_date,distribution_per_share_krw,currency,distribution_type,row_locator,raw_row_text,parser_name,parser_version,extraction_status,candidate_status,created_at,updated_at,note
candidate:f5ba6b82772cae767c0b,,issuer:kodex:notice:20260728:monthend,KODEX,KR70000H0005,0000H0,KODEX 인도Nifty미드캡100 ETF,2026-07-30,2026-07-31,2026-08-04,15,KRW,ordinary_cash,table[0]/row[87],0000H0 | KODEX 인도Nifty미드캡100 ETF | 0.14 | 15,kodex_notice_table_v1,1,rule_based_extracted,pending_krx_verification,2026-08-20T22:02:10+00:00,2026-08-20T22:02:10+00:00,운용사 공식 공지에서 규칙 기반 추출. KIND 분배락 적용일·기준가격 대조 전에는 이벤트·TR 계산에 사용하지 않음.
candidate:16cf3612b628fe2f6fac,,issuer:kodex:notice:20260728:monthend,KODEX,KR70005A0007,0005A0,KODEX 미국S&P500데일리커버드콜OTM ETF,2026-07-30,2026-07-31,2026-08-04,126,KRW,ordinary_cash,table[0]/row[6],0005A0 | KODEX 미국S&P500데일리커버드콜OTM ETF | 1.27 | 126,kodex_notice_table_v1,1,rule_based_extracted,pending_krx_verification,2026-08-20T22:02:10+00:00,2026-08-20T22:02:10+00:00,운용사 공식 공지에서 규칙 기반 추출. KIND 분배락 적용일·기준가격 대조 전에는 이벤트·TR 계산에 사용하지 않음.
candidate:9f70bcafa38a89fafa8f,,issuer:kodex:notice:20260728:monthend,KODEX,KR70028X0003,0028X0,KODEX 미국금융테크액티브 ETF,2026-07-30,2026-07-31,2026-08-04,22,KRW,ordinary_cash,table[0]/row[79],0028X0 | KODEX 미국금융테크액티브 ETF | 0.18 | 22,kodex_notice_table_v1,1,rule_based_extracted,pending_krx_verification,2026-08-20T22:02:10+00:00,2026-08-20T22:02:10+00:00,운용사 공식 공지에서 규칙 기반 추출. KIND 분배락 적용일·기준가격 대조 전에는 이벤트·TR 계산에 사용하지 않음.
candidate:4dce095e76ab35e810cc,,issuer:kodex:notice:20260728:monthend,KODEX,KR70038A0008,0038A0,KODEX 미국휴머노이드로봇 ETF,2026-07-30,2026-07-31,2026-08-04,14,KRW,ordinary_cash,table[0]/row[107],0038A0 | KODEX 미국휴머노이드로봇 ETF | 0.09 | 14,kodex_notice_table_v1,1,rule_based_extracted,pending_krx_verification,2026-08-20T22:02:10+00:00,2026-08-20T22:02:10+00:00,운용사 공식 공지에서 규칙 기반 추출. KIND 분배락 적용일·기준가격 대조 전에는 이벤트·TR 계산에 사용하지 않음.
candidate:739fe2bfedb21c3522e4,,issuer:kodex:notice:20260728:monthend,KODEX,KR70041D0000,0041D0,KODEX 미국AI소프트웨어TOP10 ETF,2026-07-30,2026-07-31,2026-08-04,12,KRW,ordinary_cash,table[0]/row[105],0041D0 | KODEX 미국AI소프트웨어TOP10 ETF | 0.10 | 12,kodex_notice_table_v1,1,rule_based_extracted,pending_krx_verification,2026-08-20T22:02:10+00:00,2026-08-20T22:02:10+00:00,운용사 공식 공지에서 규칙 기반 추출. KIND 분배락 적용일·기준가격 대조 전에는 이벤트·TR 계산에 사용하지 않음.
candidate:9aa600e58e9f09d1b9e7,,issuer:kodex:notice:20260728:monthend,KODEX,KR70041E0009,0041E0,KODEX 미국S&P500액티브 ETF,2026-07-30,2026-07-31,2026-08-04,20,KRW,ordinary_cash,table[0]/row[95],0041E0 | KODEX 미국S&P500액티브 ETF | 0.12 | 20,kodex_notice_table_v1,1,rule_based_extracted,pending_krx_verification,2026-08-20T22:02:10+00:00,2026-08-20T22:02:10+00:00,운용사 공식 공지에서 규칙 기반 추출. KIND 분배락 적용일·기준가격 대조 전에는 이벤트·TR 계산에 사용하지 않음.
candidate:80bc723a2263e69b4b52,,issuer:kodex:notice:20260728:monthend,KODEX,KR70048J0007,0048J0,KODEX 미국머니마켓액티브 ETF,2026-07-30,2026-07-31,2026-08-04,60,KRW,ordinary_cash,table[0]/row[43],0048J0 | KODEX 미국머니마켓액티브 ETF | 0.41 | 60,kodex_notice_table_v1,1,rule_based_extracted,pending_krx_verification,2026-08-20T22:02:10+00:00,2026-08-20T22:02:10+00:00,운용사 공식 공지에서 규칙 기반 추출. KIND 분배락 적용일·기준가격 대조 전에는 이벤트·TR 계산에 사용하지 않음.
candidate:f6f0af7510f6d3cae710,,issuer:kodex:notice:20260728:monthend,KODEX,KR70048K0004,0048K0,KODEX 차이나휴머노이드로봇 ETF,2026-07-30,2026-07-31,2026-08-04,23,KRW,ordinary_cash,table[0]/row[61],0048K0 | KODEX 차이나휴머노이드로봇 ETF | 0.27 | 23,kodex_notice_table_v1,1,rule_based_extracted,pending_krx_verification,2026-08-20T22:02:10+00:00,2026-08-20T22:02:10+00:00,운용사 공식 공지에서 규칙 기반 추출. KIND 분배락 적용일·기준가격 대조 전에는 이벤트·TR 계산에 사용하지 않음.
candidate:288b0c5ec6e77131b4f1,,issuer:kodex:notice:20260728:monthend,KODEX,KR70065G0008,0065G0,KODEX 차이나테크TOP10 ETF,2026-07-30,2026-07-31,2026-08-04,53,KRW,ordinary_cash,table[0]/row[35],0065G0 | KODEX 차이나테크TOP10 ETF | 0.54 | 53,kodex_notice_table_v1,1,rule_based_extracted,pending_krx_verification,2026-08-20T22:02:10+00:00,2026-08-20T22:02:10+00:00,운용사 공식 공지에서 규칙 기반 추출. KIND 분배락 적용일·기준가격 대조 전에는 이벤트·TR 계산에 사용하지 않음.
candidate:9428163f156c25ecff6d,,issuer:kodex:notice:20260728:monthend,KODEX,KR70080G0009,0080G0,KODEX 방산TOP10 ETF,2026-07-30,2026-07-31,2026-08-04,5,KRW,ordinary_cash,table[0]/row[116],0080G0 | KODEX 방산TOP10 ETF | 0.05 | 5,kodex_notice_table_v1,1,rule_based_extracted,pending_krx_verification,2026-08-20T22:02:10+00:00,2026-08-20T22:02:10+00:00,운용사 공식 공지에서 규칙 기반 추출. KIND 분배락 적용일·기준가격 대조 전에는 이벤트·TR 계산에 사용하지 않음.
