event_id,etf_id,ticker,etf_name,issuer_ex_date,krx_apply_date,ex_date,record_date,pay_date,distribution_per_share_krw,distribution_type,event_status,currency,ex_rights_reference_price_krw,issuer_source_id,krx_source_id,issuer_amount_verified,krx_ex_date_verified,verification_status,verification_note,supersedes_event_id,source_collected_at,updated_at
KR7489030007:2026-07-30:ordinary_cash:v1,KR7489030007,489030,PLUS 고배당주위클리커버드콜,2026-07-30,2026-07-30,2026-07-30,2026-07-31,2026-08-04,103,ordinary_cash,paid,KRW,,issuer:plus:489030:20260728:table,,true,false,partial,운용사 공식 공지의 분배락일 및 KRX 적용일은 2026-07-30으로 대조됨. KIND 원문 연결 전에는 partial 유지.,,2026-09-01T12:31:20+00:00,2026-09-26T09:19:43+00:00
seibro:0000D0:20241230,,0000D0,,,,2024-12-27,2024-12-30,2025-01-03,50,ordinary_cash,,,,,,,,verified,,,,
seibro:0000D0:20250131,,0000D0,,,,2025-01-30,2025-01-31,2025-02-04,101,ordinary_cash,,,,,,,,verified,,,,
seibro:0000D0:20250228,,0000D0,,,,2025-02-27,2025-02-28,2025-03-05,97,ordinary_cash,,,,,,,,verified,,,,
seibro:0000D0:20250331,,0000D0,,,,2025-03-28,2025-03-31,2025-04-02,96,ordinary_cash,,,,,,,,verified,,,,
seibro:0000D0:20250430,,0000D0,,,,2025-04-29,2025-04-30,2025-05-07,89,ordinary_cash,,,,,,,,verified,,,,
seibro:0000D0:20250530,,0000D0,,,,2025-05-29,2025-05-30,2025-06-04,89,ordinary_cash,,,,,,,,verified,,,,
seibro:0000D0:20250630,,0000D0,,,,2025-06-27,2025-06-30,2025-07-02,92,ordinary_cash,,,,,,,,verified,,,,
seibro:0000D0:20250731,,0000D0,,,,2025-07-30,2025-07-31,2025-08-04,97,ordinary_cash,,,,,,,,verified,,,,
seibro:0000D0:20250829,,0000D0,,,,2025-08-28,2025-08-29,2025-09-02,98,ordinary_cash,,,,,,,,verified,,,,
seibro:0000D0:20250930,,0000D0,,,,2025-09-29,2025-09-30,2025-10-02,99,ordinary_cash,,,,,,,,verified,,,,
seibro:0000D0:20251031,,0000D0,,,,2025-10-30,2025-10-31,2025-11-04,105,ordinary_cash,,,,,,,,verified,,,,
seibro:0000D0:20251128,,0000D0,,,,2025-11-27,2025-11-28,2025-12-02,104,ordinary_cash,,,,,,,,verified,,,,
seibro:0000D0:20251230,,0000D0,,,,2025-12-29,2025-12-30,2026-01-05,101,ordinary_cash,,,,,,,,verified,,,,
seibro:0000D0:20260130,,0000D0,,,,2026-01-29,2026-01-30,2026-02-03,99,ordinary_cash,,,,,,,,verified,,,,
seibro:0000D0:20260227,,0000D0,,,,2026-02-26,2026-02-27,2026-03-04,100,ordinary_cash,,,,,,,,verified,,,,
seibro:0000D0:20260331,,0000D0,,,,2026-03-30,2026-03-31,2026-04-02,100,ordinary_cash,,,,,,,,verified,,,,
seibro:0000D0:20260430,,0000D0,,,,2026-04-29,2026-04-30,2026-05-06,102,ordinary_cash,,,,,,,,verified,,,,
seibro:0000D0:20260529,,0000D0,,,,2026-05-28,2026-05-29,2026-06-02,103,ordinary_cash,,,,,,,,verified,,,,
seibro:0000D0:20260630,KR70000D0009,0000D0,TIGER 엔비디아미국채커버드콜밸런스(합성),,,2026-06-29,2026-06-30,2026-07-02,104,ordinary_cash,,,,,,,,verified,,,2026-09-26T09:19:40.284972+00:00,2026-09-26T09:19:40.284972+00:00
