notice_evidence_id,source_id,etf_id,ticker,etf_name,distribution_record_date,distribution_pay_date,distribution_per_share_krw,row_locator,raw_row_text,content_hash_sha256,parser_name,parser_version,evidence_status,review_status,created_at,note
krx-notice-evidence:00cdbe2d641fa143,krx:kind:distribution_notice:20260729:20260729000622,KR7332610005,332610,PLUS 미국단기회사채(AAA~A),2026-07-31,2026-08-04,400,table[0]/row[69],KR7332610005 | PLUS 미국단기회사채(AAA~A) | 2026-07-31 | 2026-08-04 | 400 | -,bd8deffe47187bd98d538398afd9acc505be711b9bde03eaa1db1550f47015f7,krx_kind_distribution_notice_table_v1,1,parsed,unreviewed,2026-08-14T10:58:23+00:00,"KRX KIND 일괄 분배금 공시 행. 기준일·지급예정일·분배금 증거이며, 분배락 적용일·기준가격 증거를 대체하지 않음."
krx-notice-evidence:0436ec0e0f293829,krx:kind:distribution_notice:20260729:20260729000622,KR7469050009,469050,RISE 미국반도체NYSE(H),2026-07-31,2026-08-04,42,table[0]/row[103],KR7469050009 | RISE 미국반도체NYSE(H) | 2026-07-31 | 2026-08-04 | 42 | -,bd8deffe47187bd98d538398afd9acc505be711b9bde03eaa1db1550f47015f7,krx_kind_distribution_notice_table_v1,1,parsed,unreviewed,2026-08-14T10:58:23+00:00,"KRX KIND 일괄 분배금 공시 행. 기준일·지급예정일·분배금 증거이며, 분배락 적용일·기준가격 증거를 대체하지 않음."
krx-notice-evidence:05ba3a75a5136c69,krx:kind:distribution_notice:20260729:20260729000622,KR7495940009,495940,RISE 미국AI테크액티브,2026-07-31,2026-08-04,25,table[0]/row[99],KR7495940009 | RISE 미국AI테크액티브 | 2026-07-31 | 2026-08-04 | 25 | -,bd8deffe47187bd98d538398afd9acc505be711b9bde03eaa1db1550f47015f7,krx_kind_distribution_notice_table_v1,1,parsed,unreviewed,2026-08-14T10:58:23+00:00,"KRX KIND 일괄 분배금 공시 행. 기준일·지급예정일·분배금 증거이며, 분배락 적용일·기준가격 증거를 대체하지 않음."
krx-notice-evidence:0603c90d0ffe5d02,krx:kind:distribution_notice:20260729:20260729000622,KR7483030003,483030,KIWOOM 미국블록버스터바이오테크의약품+,2026-07-31,2026-08-04,40,table[0]/row[39],KR7483030003 | KIWOOM 미국블록버스터바이오테크의약품+ | 2026-07-31 | 2026-08-04 | 40 | -,bd8deffe47187bd98d538398afd9acc505be711b9bde03eaa1db1550f47015f7,krx_kind_distribution_notice_table_v1,1,parsed,unreviewed,2026-08-14T10:58:23+00:00,"KRX KIND 일괄 분배금 공시 행. 기준일·지급예정일·분배금 증거이며, 분배락 적용일·기준가격 증거를 대체하지 않음."
krx-notice-evidence:06c04185c2969a6c,krx:kind:distribution_notice:20260729:20260729002071,KR7471990002,471990,KODEX AI반도체핵심장비,2026-07-31,2026-08-04,5,table[0]/row[93],KR7471990002 | KODEX AI반도체핵심장비 | 2026-07-31 | 2026-08-04 | 5 | -,c3b4e529ebbd4b657aa24b94e39ee1d559d88ca10b6b6d1d756f5e23439dfdca,krx_kind_distribution_notice_table_v1,1,parsed,unreviewed,2026-08-14T10:58:23+00:00,"KRX KIND 일괄 분배금 공시 행. 기준일·지급예정일·분배금 증거이며, 분배락 적용일·기준가격 증거를 대체하지 않음."
krx-notice-evidence:06d89aa62a4152a6,krx:kind:distribution_notice:20260729:20260729002071,KR7364690008,364690,KODEX 혁신기술테마액티브,2026-07-31,2026-08-04,57,table[0]/row[89],KR7364690008 | KODEX 혁신기술테마액티브 | 2026-07-31 | 2026-08-04 | 57 | -,c3b4e529ebbd4b657aa24b94e39ee1d559d88ca10b6b6d1d756f5e23439dfdca,krx_kind_distribution_notice_table_v1,1,parsed,unreviewed,2026-08-14T10:58:23+00:00,"KRX KIND 일괄 분배금 공시 행. 기준일·지급예정일·분배금 증거이며, 분배락 적용일·기준가격 증거를 대체하지 않음."
krx-notice-evidence:076aaa142f1c83e3,krx:kind:distribution_notice:20260729:20260729002071,KR70219E0005,0219E0,KODEX 200커버드콜액티브,2026-07-31,2026-08-04,153,table[0]/row[109],KR70219E0005 | KODEX 200커버드콜액티브 | 2026-07-31 | 2026-08-04 | 153 | -,c3b4e529ebbd4b657aa24b94e39ee1d559d88ca10b6b6d1d756f5e23439dfdca,krx_kind_distribution_notice_table_v1,1,parsed,unreviewed,2026-08-14T10:58:23+00:00,"KRX KIND 일괄 분배금 공시 행. 기준일·지급예정일·분배금 증거이며, 분배락 적용일·기준가격 증거를 대체하지 않음."
krx-notice-evidence:079a5ba3d60f861f,krx:kind:distribution_notice:20260729:20260729002071,KR7487240004,487240,KODEX AI전력핵심설비,2026-07-31,2026-08-04,5,table[0]/row[91],KR7487240004 | KODEX AI전력핵심설비 | 2026-07-31 | 2026-08-04 | 5 | -,c3b4e529ebbd4b657aa24b94e39ee1d559d88ca10b6b6d1d756f5e23439dfdca,krx_kind_distribution_notice_table_v1,1,parsed,unreviewed,2026-08-14T10:58:23+00:00,"KRX KIND 일괄 분배금 공시 행. 기준일·지급예정일·분배금 증거이며, 분배락 적용일·기준가격 증거를 대체하지 않음."
krx-notice-evidence:086be0c1014df045,krx:kind:distribution_notice:20260729:20260729000622,KR7139280002,139280,TIGER 경기방어,2026-07-31,2026-08-04,12,table[0]/row[139],KR7139280002 | TIGER 경기방어 | 2026-07-31 | 2026-08-04 | 12 | -,bd8deffe47187bd98d538398afd9acc505be711b9bde03eaa1db1550f47015f7,krx_kind_distribution_notice_table_v1,1,parsed,unreviewed,2026-08-14T10:58:23+00:00,"KRX KIND 일괄 분배금 공시 행. 기준일·지급예정일·분배금 증거이며, 분배락 적용일·기준가격 증거를 대체하지 않음."
krx-notice-evidence:09e7f19158af2cb6,krx:kind:distribution_notice:20260729:20260729002071,KR70167Z0002,0167Z0,KODEX 미국우주항공,2026-07-31,2026-08-04,8,table[0]/row[73],KR70167Z0002 | KODEX 미국우주항공 | 2026-07-31 | 2026-08-04 | 8 | -,c3b4e529ebbd4b657aa24b94e39ee1d559d88ca10b6b6d1d756f5e23439dfdca,krx_kind_distribution_notice_table_v1,1,parsed,unreviewed,2026-08-14T10:58:23+00:00,"KRX KIND 일괄 분배금 공시 행. 기준일·지급예정일·분배금 증거이며, 분배락 적용일·기준가격 증거를 대체하지 않음."
