source_id,etf_id,ticker,source_owner,source_type,source_document_key,source_title,source_url,published_at,retrieved_at,http_status,media_type,content_hash_sha256,parser_name,parser_version,parse_status,raw_path,source_etf_name,parse_note
issuer:ace:notice:20260713:midmonth,,,ACE,issuer_notice,6442,2026년 7월 ACE 데일리타겟커버드콜 분배금 안내,https://www.aceetf.co.kr/cs/notice/6442,2026-07-13,2026-08-14T07:24:57+00:00,200,text/html,14da5bdffb9a8b954ae07a8fad5a8091e97ed67732d56c757a2d45c110acb170,ace_notice_table_v1_pending,1,pending,data/distributions/raw/ACE/2026/07/issuer_ace_notice_20260713_midmonth_14da5bdffb9a.html,,공식 공지 원문을 보존. 개별 ETF 행 추출·KRX 대조 전에는 계산용 이벤트로 승격하지 않음.
issuer:ace:notice:20260729:monthend,,,ACE,issuer_notice,6582,2026년 7월 ACE ETF 분배금 지급 안내,https://www.aceetf.co.kr/cs/notice/6582,2026-07-29,2026-08-14T07:24:56+00:00,200,text/html,3af8993e08400dc79c3b9f4b5fda84198fac7841ef838305edb3b7b5af6ff763,ace_notice_table_v1_pending,1,pending,data/distributions/raw/ACE/2026/07/issuer_ace_notice_20260729_monthend_3af8993e0840.html,,공식 공지 원문을 보존. 개별 ETF 행 추출·KRX 대조 전에는 계산용 이벤트로 승격하지 않음.
issuer:kodex:notice:20260728:monthend,,,KODEX,issuer_notice,78273,2026년 7월 월말 KODEX ETF 분배금 공지 (125종),https://www.samsungfund.com/etf/lounge/notice-view.do?no=78273,2026-07-28,2026-08-14T07:22:58+00:00,200,text/html,214f7badcedbb27b66214184f05cea152e7d6d3cbca2b3111808b56da2ddb164,kodex_notice_table_v1_pending,1,pending,data/distributions/raw/KODEX/2026/07/issuer_kodex_notice_20260728_monthend_214f7badcedb.html,,공식 공지 원문을 보존. 개별 ETF 행 추출·KRX 대조 전에는 계산용 이벤트로 승격하지 않음.
issuer:plus:489030:20260728:notice,KR7489030007,489030,PLUS ETF,issuer_notice,30823,PLUS ETF 7월 분배금 공지(월말),https://www.plusetf.co.kr/customer/notice/detail?n=30823,2026-07-28,2026-08-13T09:56:10+00:00,200,text/html,0b405438808814485769dc3164639e4be0d44b91b8a11594d34ce11f68bf43ad,manual_official_notice,1,manual_review,data/distributions/raw/PLUS_ETF/2026/07/issuer_plus_489030_20260728_notice_0b4054388088.html,,공지 본문의 분배금 표는 이미지이므로 OCR 없이 자동 추출하지 않는다.
issuer:plus:489030:20260728:table,KR7489030007,489030,PLUS ETF,issuer_image_notice,202607281627538301a85b,PLUS ETF 7월 분배금 공지 부속표,https://hwadm.plusetf.co.kr/webapp/upload/202607281627538301a85b-0c66-4c14-a3a1-519aafbc12b4.PNG,2026-07-28,2026-08-13T09:56:11+00:00,200,image/png,97ffd7945afb4bba7b79046db8e961414a93cbfb56ad682ac727d02c51bc05f9,manual_official_notice,1,manual_review,data/distributions/raw/PLUS_ETF/2026/07/issuer_plus_489030_20260728_table_97ffd7945afb.png,,운용사 공식 공지 부속 이미지. 수동 검증된 이벤트만 원장으로 정규화한다.
issuer:registry:ace_notice_list:root,,,ACE ETF,issuer_notice_list,registry:ace_notice_list,ACE ETF 공식 분배금 원천 목록,https://www.aceetf.co.kr/cs/notice,2026-08-16,2026-08-16T06:14:55+00:00,200,text/html,b079d65b606db7650f998e4b1bd71c9668ce5a0760a60f68dd7f3a6007f7ac53,registry_notice_table_v1,1,pending_registry_parse,data/distributions/raw/ACE_ETF/2026/08/issuer_registry_ace_notice_list_root_22eb1cddf7a8.html,,레지스트리 공식 목록/상품별 현황 페이지. 같은 호스트의 상세 공지를 증분 발견한다.
issuer:registry:daishin343_notice_pending:root,,,DAISHIN343 ETF,issuer_notice_or_kind_crosscheck,registry:daishin343_notice_pending,DAISHIN343 ETF 공식 분배금 원천 목록,https://asset.daishin.com/ko/,2026-08-16,2026-08-16T09:41:07+00:00,200,text/html,970dee38a85a49615100917d45d6784909573d8edafaa89f0e9f5748989b3f5b,manual_official_notice_pending,1,pending_registry_parse,data/distributions/raw/DAISHIN343_ETF/2026/08/issuer_registry_daishin343_notice_pending_root_a4b0da934c35.html,,레지스트리 공식 목록/상품별 현황 페이지. 같은 호스트의 상세 공지를 증분 발견한다.
issuer:registry:detail:074baf9dc3d06748,,,TIME ETF,issuer_notice_detail,registry:timefolio_notice_list,TIME 미국배당다우존스액티브 ETF(0036D0) 상장폐지 관련 투자 유의 안내,https://timeetf.co.kr/board/board.php?bbsid=notice&idx=95,2026-08-16,2026-08-16T06:53:29+00:00,200,text/html,5aea33448b3c7a58791a1c5b67ace28bf811af5a075469afe77f1f4bc7d3a3d8,registry_notice_detail_text_v1,1,pending_registry_parse,data/distributions/raw/TIME_ETF/2026/08/issuer_registry_detail_074baf9dc3d06748_11e45976ee56.html,,공식 목록에서 키워드 기반으로 발견한 상세 공지. 티커 매칭 전 게시 금지.
issuer:registry:detail:23ccaabdc451de96,,,TIME ETF,issuer_notice_detail,registry:timefolio_notice_list,2025년 12월 말 ETF 분배금 지급 안내 및 소득세법 시행령 개정에 따른 유의사항,https://timeetf.co.kr/board/board.php?bbsid=notice&idx=74,2026-08-16,2026-08-16T06:53:31+00:00,200,text/html,a41ef4fc66ed358c9f7fb67a29dc54607c370d6ca5a989775a101035f8ce8909,registry_notice_detail_text_v1,1,pending_registry_parse,data/distributions/raw/TIME_ETF/2026/08/issuer_registry_detail_23ccaabdc451de96_d2a6b92f1993.html,,공식 목록에서 키워드 기반으로 발견한 상세 공지. 티커 매칭 전 게시 금지.
issuer:registry:detail:2dbc14a2af021e34,,,PLUS ETF,issuer_notice_detail,registry:plus_notice_list,"149 
                                         PLUS ETF 6월 분배금 공지(월말) 
                                         2026.06.25",https://www.plusetf.co.kr/customer/notice/detail?n=30821,2026-08-16,2026-08-16T06:14:59+00:00,200,text/html,4f57332445a47b04563e3d3eab361f115cd2f5fc17718bb6d80e909ae3f153af,registry_notice_table_v1,1,pending_registry_parse,data/distributions/raw/PLUS_ETF/2026/08/issuer_registry_detail_2dbc14a2af021e34_a42720d0d7fc.html,,공식 목록에서 키워드 기반으로 발견한 상세 공지. 티커 매칭 전 게시 금지.
