ticker,distribution_coverage_status,corporate_action_coverage_status
0000D0,verified_complete,verified_complete
0000H0,verified_complete,verified_complete
0000J0,verified_complete,verified_complete
0000Y0,verified_complete,verified_complete
0000Z0,verified_complete,verified_complete
0001P0,verified_complete,verified_complete
0002C0,verified_complete,verified_complete
0004G0,verified_complete,verified_complete
0005A0,verified_complete,verified_complete
0005C0,verified_complete,verified_complete
0005D0,verified_complete,verified_complete
0005G0,verified_complete,verified_complete
0007F0,verified_complete,verified_complete
0007G0,verified_complete,verified_complete
0007N0,verified_complete,verified_complete
0008E0,verified_complete,verified_complete
0008S0,verified_complete,verified_complete
0008T0,verified_complete,verified_complete
0013P0,verified_complete,verified_complete
0013R0,verified_complete,verified_complete
0015B0,verified_complete,verified_complete
0015E0,verified_complete,verified_complete
0015F0,verified_complete,verified_complete
0015K0,verified_complete,verified_complete
0016X0,verified_complete,verified_complete
0017Y0,verified_complete,verified_complete
0018C0,verified_complete,verified_complete
0018Z0,verified_complete,verified_complete
0019K0,verified_complete,verified_complete
0020H0,verified_complete,verified_complete
0022T0,verified_complete,verified_complete
0023A0,verified_complete,verified_complete
0023B0,verified_complete,verified_complete
0025N0,verified_complete,verified_complete
0026E0,verified_complete,verified_complete
0026S0,verified_complete,verified_complete
0028X0,verified_complete,verified_complete
0035T0,verified_complete,verified_complete
0036R0,verified_complete,verified_complete
0036Z0,verified_complete,verified_complete
0038A0,verified_complete,verified_complete
0040S0,verified_complete,verified_complete
0040X0,verified_complete,verified_complete
0040Y0,verified_complete,verified_complete
0041D0,verified_complete,verified_complete
0041E0,verified_complete,verified_complete
0043B0,verified_complete,verified_complete
0043Y0,verified_complete,verified_complete
0046A0,verified_complete,verified_complete
0046Y0,verified_complete,verified_complete
0047A0,verified_complete,verified_complete
0047N0,verified_complete,verified_complete
0047P0,verified_complete,verified_complete
0047R0,verified_complete,verified_complete
0048J0,verified_complete,verified_complete
0048K0,verified_complete,verified_complete
0049K0,verified_complete,verified_complete
0049M0,verified_complete,verified_complete
0050E0,verified_complete,verified_complete
0051A0,verified_complete,verified_complete
0051G0,verified_complete,verified_complete
0052D0,verified_complete,verified_complete
0052S0,verified_complete,verified_complete
0052T0,verified_complete,verified_complete
0053L0,verified_complete,verified_complete
0053M0,verified_complete,verified_complete
0057H0,verified_complete,verified_complete
0060H0,verified_complete,verified_complete
0061Z0,verified_complete,verified_complete
0064K0,verified_complete,verified_complete
0065G0,verified_complete,verified_complete
0066W0,verified_complete,verified_complete
0067V0,verified_complete,verified_complete
0067Y0,verified_complete,verified_complete
0068M0,verified_complete,verified_complete
0069M0,verified_complete,verified_complete
0072R0,verified_complete,verified_complete
0073X0,verified_complete,verified_complete
0074K0,verified_complete,verified_complete
0078V0,verified_complete,verified_complete
0079X0,verified_complete,verified_complete
0080G0,verified_complete,verified_complete
0080X0,verified_complete,verified_complete
0080Y0,verified_complete,verified_complete
0082F0,verified_complete,verified_complete
0082V0,verified_complete,verified_complete
0083S0,verified_complete,verified_complete
0084D0,verified_complete,verified_complete
0084E0,verified_complete,verified_complete
0085N0,verified_complete,verified_complete
0085P0,verified_complete,verified_complete
0086B0,verified_complete,verified_complete
0086C0,verified_complete,verified_complete
0087F0,verified_complete,verified_complete
0088N0,verified_complete,verified_complete
0089B0,verified_complete,verified_complete
0089C0,verified_complete,verified_complete
0089D0,verified_complete,verified_complete
0090B0,verified_complete,verified_complete
0091C0,verified_complete,verified_complete
0091M0,verified_complete,verified_complete
0091P0,verified_complete,verified_complete
0092B0,verified_complete,verified_complete
0092C0,verified_complete,verified_complete
0093A0,verified_complete,verified_complete
0093B0,verified_complete,verified_complete
0093D0,verified_complete,verified_complete
0094K0,verified_complete,verified_complete
0094L0,verified_complete,verified_complete
0094M0,verified_complete,verified_complete
0094X0,verified_complete,verified_complete
0097L0,verified_complete,verified_complete
0098F0,verified_complete,verified_complete
0098N0,verified_complete,verified_complete
0098Z0,verified_complete,verified_complete
0099L0,verified_complete,verified_complete
0100K0,verified_complete,verified_complete
0101N0,verified_complete,verified_complete
0102A0,verified_complete,verified_complete
0102X0,verified_complete,verified_complete
0103T0,verified_complete,verified_complete
0104G0,verified_complete,verified_complete
0104H0,verified_complete,verified_complete
0104N0,verified_complete,verified_complete
0104P0,verified_complete,verified_complete
0105D0,verified_complete,verified_complete
0105E0,verified_complete,verified_complete
0107F0,verified_complete,verified_complete
0111J0,verified_complete,verified_complete
0111P0,verified_complete,verified_complete
0112X0,verified_complete,verified_complete
0113D0,verified_complete,verified_complete
0113G0,verified_complete,verified_complete
0113P0,verified_complete,verified_complete
0114X0,verified_complete,verified_complete
0115C0,verified_complete,verified_complete
0115D0,verified_complete,verified_complete
0115E0,verified_complete,verified_complete
0117L0,verified_complete,verified_complete
0117V0,verified_complete,verified_complete
0118S0,verified_complete,verified_complete
0118Z0,verified_complete,verified_complete
0119H0,verified_complete,verified_complete
0120J0,verified_complete,verified_complete
0122W0,verified_complete,verified_complete
0123G0,verified_complete,verified_complete
0123S0,verified_complete,verified_complete
0127M0,verified_complete,verified_complete
0127P0,verified_complete,verified_complete
0127R0,verified_complete,verified_complete
0127T0,verified_complete,verified_complete
0127V0,verified_complete,verified_complete
0128D0,verified_complete,verified_complete
0131A0,verified_complete,verified_complete
0131V0,verified_complete,verified_complete
0131W0,verified_complete,verified_complete
0132D0,verified_complete,verified_complete
0132H0,verified_complete,verified_complete
0132K0,verified_complete,verified_complete
0133E0,verified_complete,verified_complete
0135Y0,verified_complete,verified_complete
0137V0,verified_complete,verified_complete
0137W0,verified_complete,verified_complete
0138D0,verified_complete,verified_complete
0138T0,verified_complete,verified_complete
0138Y0,verified_complete,verified_complete
0139F0,verified_complete,verified_complete
0139P0,verified_complete,verified_complete
0141S0,verified_complete,verified_complete
0141T0,verified_complete,verified_complete
0142D0,verified_complete,verified_complete
0144L0,verified_complete,verified_complete
0144M0,verified_complete,verified_complete
0148J0,verified_complete,verified_complete
0150K0,verified_complete,verified_complete
0151P0,verified_complete,verified_complete
0151S0,verified_complete,verified_complete
0152E0,verified_complete,verified_complete
0153K0,verified_complete,verified_complete
0153P0,verified_complete,verified_complete
0153X0,verified_complete,verified_complete
0154F0,verified_complete,verified_complete
0154H0,verified_complete,verified_complete
0155M0,verified_complete,verified_complete
0155N0,verified_complete,verified_complete
0162L0,verified_complete,verified_complete
0162M0,verified_complete,verified_complete
0162Y0,verified_complete,verified_complete
0162Z0,verified_complete,verified_complete
0163Y0,verified_complete,verified_complete
0164G0,verified_complete,verified_complete
0166N0,verified_complete,verified_complete
0166S0,verified_complete,verified_complete
0166T0,verified_complete,verified_complete
0167A0,verified_complete,verified_complete
0167B0,verified_complete,verified_complete
0167Z0,verified_complete,verified_complete
0168K0,verified_complete,verified_complete
0172V0,verified_complete,verified_complete
0172Y0,verified_complete,verified_complete
0173Y0,verified_complete,verified_complete
0174B0,verified_complete,verified_complete
0174J0,verified_complete,verified_complete
0174R0,verified_complete,verified_complete
0176E0,verified_complete,verified_complete
0176P0,verified_complete,verified_complete
0177A0,verified_complete,verified_complete
0177N0,verified_complete,verified_complete
0177R0,verified_complete,verified_complete
0177X0,verified_complete,verified_complete
0178H0,verified_complete,verified_complete
0180V0,verified_complete,verified_complete
0181B0,verified_complete,verified_complete
0181L0,verified_complete,verified_complete
0182R0,verified_complete,verified_complete
0182S0,verified_complete,verified_complete
0183J0,verified_complete,verified_complete
0183V0,verified_complete,verified_complete
0184E0,verified_complete,verified_complete
0184L0,verified_complete,verified_complete
0184N0,verified_complete,verified_complete
0184V0,verified_complete,verified_complete
0185L0,verified_complete,verified_complete
0186L0,verified_complete,verified_complete
0186S0,verified_complete,verified_complete
0189B0,verified_complete,verified_complete
0189Z0,verified_complete,verified_complete
0190C0,verified_complete,verified_complete
0190G0,verified_complete,verified_complete
0190M0,verified_complete,verified_complete
0190Y0,verified_complete,verified_complete
0191B0,verified_complete,verified_complete
0191M0,verified_complete,verified_complete
0191S0,verified_complete,verified_complete
0191W0,verified_complete,verified_complete
0192L0,verified_complete,verified_complete
0192M0,verified_complete,verified_complete
0192S0,verified_complete,verified_complete
0192T0,verified_complete,verified_complete
0192Z0,verified_complete,verified_complete
0193G0,verified_complete,verified_complete
0193K0,verified_complete,verified_complete
0193L0,verified_complete,verified_complete
0193M0,verified_complete,verified_complete
0193T0,verified_complete,verified_complete
0193W0,verified_complete,verified_complete
0194M0,verified_complete,verified_complete
0194N0,verified_complete,verified_complete
0194R0,verified_complete,verified_complete
0194T0,verified_complete,verified_complete
0195R0,verified_complete,verified_complete
0195S0,verified_complete,verified_complete
0197W0,verified_complete,verified_complete
0197X0,verified_complete,verified_complete
0198A0,verified_complete,verified_complete
0198B0,verified_complete,verified_complete
0198D0,verified_complete,verified_complete
0199C0,verified_complete,verified_complete
0203D0,verified_complete,verified_complete
0203R0,verified_complete,verified_complete
0203S0,verified_complete,verified_complete
0204D0,verified_complete,verified_complete
0204S0,verified_complete,verified_complete
0206G0,verified_complete,verified_complete
0207G0,verified_complete,verified_complete
0207Z0,verified_complete,verified_complete
0208N0,verified_complete,verified_complete
0209D0,verified_complete,verified_complete
0209Z0,verified_complete,verified_complete
0210A0,verified_complete,verified_complete
0210E0,verified_complete,verified_complete
0214M0,verified_complete,verified_complete
0215T0,verified_complete,verified_complete
0216K0,verified_complete,verified_complete
0216Z0,verified_complete,verified_complete
0218J0,verified_complete,verified_complete
0218K0,verified_complete,verified_complete
0219B0,verified_complete,verified_complete
0219E0,verified_complete,verified_complete
0219Z0,verified_complete,verified_complete
0220A0,verified_complete,verified_complete
0220B0,verified_complete,verified_complete
0221V0,verified_complete,verified_complete
0221Z0,verified_complete,verified_complete
0222D0,verified_complete,verified_complete
0222F0,verified_complete,verified_complete
0223A0,verified_complete,verified_complete
0223R0,verified_complete,verified_complete
0224D0,verified_complete,verified_complete
0224X0,verified_complete,verified_complete
0225V0,verified_complete,verified_complete
