ticker,name,close_20260910,r_1m,r_2m,r_3m,r_6m,r_12m,new_12m,new_3m,r_1d,r_1w,r_2w,r_24m,r_36m,r_itd,new_90d,itd_anchor_close,r_ytd,itd_anchor_date,itd_latest_date,itd_latest_close,itd_return_type,itd_source,itd_verified_at,itd_quality_status
0000D0,TIGER 엔비디아미국채커버드콜밸런스(합성),8720,-7.87,-11.79,-14.17,-12.01,-9.4,,N,-1.02,-1.97,-4.91,,,,N,,-11.29,,2026-09-10,8720.0,price_return,,,not_applicable_not_recent_listing
0000H0,KODEX 인도Nifty미드캡100,9980,-8.31,-12.34,-10.69,-5.13,-5.27,,N,-0.35,-3.71,-5.67,,,,N,,-9.36,,2026-09-10,9980.0,price_return,,,not_applicable_not_recent_listing
0000J0,PLUS 한화그룹주,28575,-2.34,7.14,-10.41,-30.95,10.99,,N,0.28,2.9,-3.25,,,,N,,15.22,,2026-09-10,28575.0,price_return,,,not_applicable_not_recent_listing
0000Y0,HK 26-12 회사채(AA-이상)액티브,101945,0.28,0.52,0.76,1.37,-0.72,,N,0.02,0.05,0.12,,,,N,,1.88,,2026-09-10,101945.0,price_return,,,not_applicable_not_recent_listing
0000Z0,RISE 바이오TOP10액티브,8410,-19.6,-13.57,-20.92,-51.47,-34.19,,N,-1.75,-0.59,-11.84,,,,N,,-45.32,,2026-09-10,8410.0,price_return,,,not_applicable_not_recent_listing
0001P0,마이티 바이오시밀러&CDMO액티브,8795,-13.69,-5.68,-10.03,-34.78,-12.31,,N,-0.62,-1.4,-9.24,,,,N,,-26.86,,2026-09-10,8795.0,price_return,,,not_applicable_not_recent_listing
0002C0,에셋플러스 인도일등기업포커스20액티브,10000,-0.74,-3.38,-0.94,9.17,-4.21,,N,-0.6,-1.04,-1.38,,,,N,,-3.05,,2026-09-10,10000.0,price_return,,,not_applicable_not_recent_listing
0004G0,1Q 미국배당TOP30,8645,-9.67,-9.52,-9,-9.38,-7.29,,N,-0.58,-3.78,-7.54,,,,N,,-3.78,,2026-09-10,8645.0,price_return,,,not_applicable_not_recent_listing
0005A0,KODEX 미국S&P500데일리커버드콜OTM,9080,-8.05,-12.1,-12.36,-5.71,-2.31,,N,-0.22,-1.41,-4.97,,,,N,,-7.39,,2026-09-10,9080.0,price_return,,,not_applicable_not_recent_listing
0005C0,RISE 미국S&P500엔화노출(합성 H),11300,-3.83,-4.56,-4.72,4.2,3.86,,N,-0.53,1.53,0.62,,,,N,,3.1,,2026-09-10,11300.0,price_return,,,not_applicable_not_recent_listing
0005D0,SOL 전고체배터리&실리콘음극재,15455,6.4,11.43,-11.36,-17.09,48.18,,N,-0.16,8.38,1.68,,,,N,,23.25,,2026-09-10,15455.0,price_return,,,not_applicable_not_recent_listing
0005G0,IBK K-AI반도체코어테크,53680,18.96,-3.63,-16.01,84.85,293.69,,N,1.1,12.04,5.74,,,,N,,158.39,,2026-09-10,53680.0,price_return,,,not_applicable_not_recent_listing
0007F0,KODEX 27-12 회사채(AA-이상)액티브,10190,0.15,0.74,0.89,0.99,-0.92,,N,-0.1,0,-0.05,,,,N,,0.79,,2026-09-10,10190.0,price_return,,,not_applicable_not_recent_listing
0007G0,PLUS 글로벌원자력밸류체인,13725,-5.99,-8.16,-9.02,-15.8,2.27,,N,-1.96,1.18,-2.9,,,,N,,-2.63,,2026-09-10,13725.0,price_return,,,not_applicable_not_recent_listing
0007N0,아이엠에셋 200,112640,13.97,-7.66,-9.61,33.44,146.67,,N,-0.05,8,2.41,,,,N,,82.34,,2026-09-10,112640.0,price_return,,,not_applicable_not_recent_listing
0008E0,ACE 미국중심중소형제조업,11410,-16.13,-19.53,-25.86,-12.37,11.05,,N,-1.98,-0.83,-7.72,,,,N,,-1.04,,2026-09-10,11410.0,price_return,,,not_applicable_not_recent_listing
0008S0,TIGER 미국배당다우존스타겟데일리커버드콜,9590,-6.3,-8.14,-9.66,-5.38,8.42,,N,-0.67,-4.15,-5.8,,,,N,,6.26,,2026-09-10,9590.0,price_return,,,not_applicable_not_recent_listing
0008T0,SOL 화장품TOP3플러스,17205,8.41,16.8,23.11,30.84,22.24,,N,-1.57,-8.85,-10.85,,,,N,,41.72,,2026-09-10,17205.0,price_return,,,not_applicable_not_recent_listing
0013P0,RISE 미국은행TOP10,12550,-5.64,-9.48,-3.5,13.57,18.9,,N,-0.2,-1.72,-2.94,,,,N,,2.57,,2026-09-10,12550.0,price_return,,,not_applicable_not_recent_listing
0013R0,RISE 테슬라미국채타겟커버드콜혼합(합성),7610,-4.46,-17.42,-18.96,-20.73,-17.01,,N,-0.07,-1.04,-4.4,,,,N,,-22.74,,2026-09-10,7610.0,price_return,,,not_applicable_not_recent_listing
0015B0,KoAct 미국나스닥성장기업액티브,18075,-7.38,-20.02,-20.04,15.79,48.64,,N,-0.8,3.23,-1.58,,,,N,,29.2,,2026-09-10,18075.0,price_return,,,not_applicable_not_recent_listing
0015E0,KIWOOM 엔비디아미국30년국채혼합액티브(H),10490,-1.08,-0.52,-1.87,-1.5,-0.94,,N,-0.9,-0.8,-1.46,,,,N,,-1.66,,2026-09-10,10490.0,price_return,,,not_applicable_not_recent_listing
0015F0,KIWOOM 팔란티어미국30년국채혼합액티브(H),10410,-1.05,4,3.74,-2.44,-4.67,,N,-0.05,-0.29,-1.84,,,,N,,-5.28,,2026-09-10,10410.0,price_return,,,not_applicable_not_recent_listing
0015K0,TIGER 미국소비트렌드액티브,6745,-8.26,-11.48,-10.25,-10.9,-24,,N,-0.66,-2.53,-7.54,,,,N,,-18.29,,2026-09-10,6745.0,price_return,,,not_applicable_not_recent_listing
0016X0,SOL 중단기회사채(A-이상)액티브,51520,0.2,0.73,1.06,1.28,0.71,,N,-0.02,0.04,0.01,,,,N,,1.65,,2026-09-10,51520.0,price_return,,,not_applicable_not_recent_listing
0017Y0,1Q 종합채권(AA-이상)액티브,93665,-0.42,-0.42,-0.25,-3.71,-7.81,,N,-0.2,-0.17,-0.34,,,,N,,-4.57,,2026-09-10,93665.0,price_return,,,not_applicable_not_recent_listing
0018C0,PLUS 고배당주위클리고정커버드콜,10770,-0.69,-1.01,-3.93,-16.9,-11.58,,N,0.42,-1.87,0.75,,,,N,,-8.92,,2026-09-10,10770.0,price_return,,,not_applicable_not_recent_listing
0018Z0,RISE 미국양자컴퓨팅,17090,-11.66,-16.51,-18.74,12.58,25.62,,N,-1.44,1.33,-4.82,,,,N,,7.01,,2026-09-10,17090.0,price_return,,,not_applicable_not_recent_listing
0019K0,TIME 미국나스닥100채권혼합50액티브,13125,-2.89,-8.63,-7.21,12.04,17.29,,N,-0.53,1.55,-0.94,,,,N,,14.73,,2026-09-10,13125.0,price_return,,,not_applicable_not_recent_listing
0020H0,KoAct 글로벌양자컴퓨팅액티브,21350,-7.78,-19.01,-22.45,15.81,52.23,,N,-1.36,4.99,-1.36,,,,N,,12.01,,2026-09-10,21350.0,price_return,,,not_applicable_not_recent_listing
0022T0,SOL 국제금커버드콜액티브,12845,-4.82,-5.31,-8.77,-23.56,11.16,,N,0.9,-1.57,-7.12,,,,N,,-8.32,,2026-09-10,12845.0,price_return,,,not_applicable_not_recent_listing
0023A0,SOL 미국양자컴퓨팅TOP10,22760,-16.18,-22.86,-30.21,-2.63,28.15,,N,-2.19,0.98,-5.58,,,,N,,-12.8,,2026-09-10,22760.0,price_return,,,not_applicable_not_recent_listing
0023B0,PLUS 미국양자컴퓨팅TOP10,15430,-10.94,-15.75,-19.86,6.52,12.79,,N,-2.06,1.08,-4.28,,,,N,,-9.26,,2026-09-10,15430.0,price_return,,,not_applicable_not_recent_listing
0025N0,TIGER TDF2045 적격,11705,-5.07,-7.54,-6.81,1.69,8.68,,N,-0.13,-1.14,-2.94,,,,N,,2.23,,2026-09-10,11705.0,price_return,,,not_applicable_not_recent_listing
0026E0,KODEX 미국S&P500버퍼3월액티브,11390,-4.53,-8,-8.15,0.71,11.39,,N,-0.31,-1.47,-2.77,,,,N,,4.5,,2026-09-10,11390.0,price_return,,,not_applicable_not_recent_listing
0026S0,1Q 미국S&P500,12435,-6.75,-9.27,-8.8,2.51,12.64,,N,-0.16,-1.66,-3.57,,,,N,,2.9,,2026-09-10,12435.0,price_return,,,not_applicable_not_recent_listing
0028X0,KODEX 미국금융테크액티브,11210,-7.28,-5.92,0.4,0.63,-8.97,,N,-1.45,-4.23,-8.86,,,,N,,-10.85,,2026-09-10,11210.0,price_return,,,not_applicable_not_recent_listing
0035T0,PLUS 글로벌휴머노이드로봇액티브,19100,-5.4,-12.67,-16.03,-6.17,51.53,,N,0.5,3.69,-0.75,,,,N,,6.41,,2026-09-10,19100.0,price_return,,,not_applicable_not_recent_listing
0036R0,RISE 미국휴머노이드로봇,18815,-6.69,-13.71,-12.26,14.17,45.35,,N,0.61,2.03,-0.21,,,,N,,18.67,,2026-09-10,18815.0,price_return,,,not_applicable_not_recent_listing
0036Z0,RISE 미국천연가스밸류체인,12385,0.69,-7.44,-9.5,-4.84,20.01,,N,0.41,-1,-1.47,,,,N,,17.62,,2026-09-10,12385.0,price_return,,,not_applicable_not_recent_listing
0038A0,KODEX 미국휴머노이드로봇,14620,-8.45,-15.83,-17.73,-7.61,7.66,,N,-0.2,0.72,-1.35,,,,N,,-7.85,,2026-09-10,14620.0,price_return,,,not_applicable_not_recent_listing
0040S0,HANARO 글로벌피지컬AI액티브,22775,-8.11,-17.99,-18.79,27.02,64.56,,N,-0.09,-1.32,-3.27,,,,N,,41.33,,2026-09-10,22775.0,price_return,,,not_applicable_not_recent_listing
0040X0,SOL 팔란티어미국채커버드콜혼합,9005,-7.45,-6.15,-8.49,-15.72,-20.45,,N,-0.5,-1.8,-6.88,,,,N,,-20.45,,2026-09-10,9005.0,price_return,,,not_applicable_not_recent_listing
0040Y0,SOL 팔란티어커버드콜OTM채권혼합,7840,-3.45,-3.74,-6.33,-14.13,-23.06,,N,-0.19,-0.82,-7.22,,,,N,,-21.25,,2026-09-10,7840.0,price_return,,,not_applicable_not_recent_listing
0041D0,KODEX 미국AI소프트웨어TOP10,12875,-3.7,-1.04,-4.7,1.82,-15.24,,N,0.59,-1.83,-1.79,,,,N,,-15.85,,2026-09-10,12875.0,price_return,,,not_applicable_not_recent_listing
0041E0,KODEX 미국S&P500액티브,15615,-6.89,-13.13,-12.28,10.04,25.83,,N,-0.03,-0.26,-3.49,,,,N,,11.46,,2026-09-10,15615.0,price_return,,,not_applicable_not_recent_listing
0043B0,TIGER 머니마켓액티브,103625,0.32,0.63,0.93,1.73,2.44,,N,0.03,0.07,0.14,,,,N,,2.32,,2026-09-10,103625.0,price_return,,,not_applicable_not_recent_listing
0043Y0,TIME 차이나AI테크액티브,18975,-10.45,-23.99,-16.15,20.21,48.36,,N,-1.35,-1.76,-6.53,,,,N,,32.32,,2026-09-10,18975.0,price_return,,,not_applicable_not_recent_listing
0046A0,TIGER 미국초단기(3개월이하)국채,9255,-5.56,-10.97,-12.19,-9.09,-3.64,,N,0.11,-1.49,-3.24,,,,N,,-7.17,,2026-09-10,9255.0,price_return,,,not_applicable_not_recent_listing
0046Y0,ACE 미국배당퀄리티,12190,-6.77,-8.76,-9.1,-0.57,10.32,,N,-0.08,-1.61,-3.29,,,,N,,2.48,,2026-09-10,12190.0,price_return,,,not_applicable_not_recent_listing
0047A0,TIGER 차이나테크TOP10,12085,-9.68,-19.43,-19.14,4.86,0.79,,N,-1.59,-2.93,-7.68,,,,N,,-0.41,,2026-09-10,12085.0,price_return,,,not_applicable_not_recent_listing
0047N0,PLUS 차이나AI테크TOP10,9080,-15.65,-17.42,-17.28,-16.54,-18.96,,N,-1.47,-3.66,-11.84,,,,N,,-21.56,,2026-09-10,9080.0,price_return,,,not_applicable_not_recent_listing
0047P0,RISE 테슬라고정테크100,14080,-5.06,-12,-10.4,3.68,16.03,,N,0.25,-1.3,-2.59,,,,N,,-0.64,,2026-09-10,14080.0,price_return,,,not_applicable_not_recent_listing
0047R0,RISE 팔란티어고정테크100,14570,-7.73,-2.87,-2.93,8.45,15.91,,N,-0.51,-1.59,-4.27,,,,N,,3.19,,2026-09-10,14570.0,price_return,,,not_applicable_not_recent_listing
0048J0,KODEX 미국머니마켓액티브,13355,-5.75,-11.11,-12.51,-9.09,-3.82,,N,0.19,-1.51,-3.4,,,,N,,-7.35,,2026-09-10,13355.0,price_return,,,not_applicable_not_recent_listing
0048K0,KODEX 차이나휴머노이드로봇,7855,-14.71,-25.26,-31.31,-27.74,-26.38,,N,-1.5,-4.44,-6.88,,,,N,,-33.35,,2026-09-10,7855.0,price_return,,,not_applicable_not_recent_listing
0049K0,ACE 미국배당퀄리티채권혼합50,10935,-3.87,-4.91,-4.91,-0.95,4.19,,N,-0.05,-0.73,-2.1,,,,N,,0.37,,2026-09-10,10935.0,price_return,,,not_applicable_not_recent_listing
0049M0,ACE 미국배당퀄리티+커버드콜액티브,10860,-6.38,-10.62,-10.73,-5.32,2.12,,N,-0.46,-1.41,-4.06,,,,N,,-4.15,,2026-09-10,10860.0,price_return,,,not_applicable_not_recent_listing
0050E0,PLUS 미국AI에이전트,7790,-6.09,-8.78,-9.63,-6.54,-18.22,,N,-1.39,-5.86,-5.52,,,,N,,-21.11,,2026-09-10,7790.0,price_return,,,not_applicable_not_recent_listing
0051A0,KoAct 브로드컴밸류체인액티브,23220,-10.66,-14.13,-12.85,27.34,72.51,,N,-0.71,3.8,-1.51,,,,N,,41.59,,2026-09-10,23220.0,price_return,,,not_applicable_not_recent_listing
0051G0,SOL 미국원자력SMR,13180,-7.41,-9.07,-10.83,-19.19,-9.57,,N,-2.37,0.08,-5.59,,,,N,,-16.4,,2026-09-10,13180.0,price_return,,,not_applicable_not_recent_listing
0052D0,TIGER 코리아배당다우존스,15550,-1.77,-0.26,-1.83,-1.27,23.61,,N,-0.22,-1.11,0.94,,,,N,,17.01,,2026-09-10,15550.0,price_return,,,not_applicable_not_recent_listing
0052S0,1Q 미국S&P500미국채혼합50액티브,11190,-6.24,-10.44,-10.84,-3.03,4.63,,N,-0.18,-1.63,-3.37,,,,N,,-1.93,,2026-09-10,11190.0,price_return,,,not_applicable_not_recent_listing
0052T0,1Q 중단기회사채(A-이상)액티브,50720,0.16,0.57,0.91,1.13,0.56,,N,-0.09,-0.01,0,,,,N,,1.4,,2026-09-10,50720.0,price_return,,,not_applicable_not_recent_listing
0053L0,TIGER 차이나휴머노이드로봇,8995,-14.82,-24.6,-30.11,-30.91,-23.71,,N,-1.85,-3.95,-7.51,,,,N,,-34.41,,2026-09-10,8995.0,price_return,,,not_applicable_not_recent_listing
0053M0,더제이 중소형포커스액티브,12855,-3.67,-7.12,-12.1,-3.16,28.87,Y,N,-0.54,1.54,-2.5,,,,N,,24.14,,2026-09-10,12855.0,price_return,,,not_applicable_not_recent_listing
0057H0,PLUS 미국S&P500미국채혼합50액티브,11285,-6.11,-9.9,-10.26,-2.51,4.98,,N,0.13,-1.48,-3.3,,,,N,,-1.4,,2026-09-10,11285.0,price_return,,,not_applicable_not_recent_listing
0060H0,TIGER 토탈월드스탁액티브,12345,-5.98,-9.46,-8.56,2.53,13.62,,N,-0.72,-1.08,-3.48,,,,N,,4.22,,2026-09-10,12345.0,price_return,,,not_applicable_not_recent_listing
0061Z0,RISE 단기특수은행채액티브,51035,0.25,0.49,0.74,1.45,1.49,,N,0.03,0.05,0.09,,,,N,,1.96,,2026-09-10,51035.0,price_return,,,not_applicable_not_recent_listing
0064K0,KODEX 금액티브,12420,-3.91,-3.91,-7.49,-22.18,16.46,,N,0.89,-1.39,-6.9,,,,N,,-5.66,,2026-09-10,12420.0,price_return,,,not_applicable_not_recent_listing
0065G0,KODEX 차이나테크TOP10,8000,-16.88,-20.87,-19.35,-20.87,-27.99,,N,-1.78,-4.59,-8.36,,,,N,,-28.15,,2026-09-10,8000.0,price_return,,,not_applicable_not_recent_listing
0066W0,SOL 국제금,12510,-4.25,-4.43,-7.98,-22.44,16.92,,N,0.6,-1.73,-7.2,,,,N,,-6.47,,2026-09-10,12510.0,price_return,,,not_applicable_not_recent_listing
0067V0,TIGER 차이나글로벌리더스TOP3+,9150,-13.23,-20.12,-16.89,-16.02,-21.02,,N,-0.38,-4.89,-10.47,,,,N,,-19.67,,2026-09-10,9150.0,price_return,,,not_applicable_not_recent_listing
0067Y0,TIGER 차이나AI소프트웨어,9670,-18.36,-24.07,-20.15,-28.69,-18.94,,N,-3.59,-8.17,-8.69,,,,N,,-21.48,,2026-09-10,9670.0,price_return,,,not_applicable_not_recent_listing
0068M0,KODEX 미국S&P500버퍼6월액티브,11325,-6.79,-9.87,-9.69,-2.41,5.74,,N,-0.18,-2.5,-3.82,,,,N,,-1.56,,2026-09-10,11325.0,price_return,,,not_applicable_not_recent_listing
0069M0,1Q 미국나스닥100,13060,-6.71,-11.22,-10.76,7.31,18.3,,N,-0.27,-0.42,-2.83,,,,N,,7.09,,2026-09-10,13060.0,price_return,,,not_applicable_not_recent_listing
0072R0,TIGER KRX금현물,12765,-3.44,-3.33,-5.69,-21.11,14.79,,N,0.24,-1.85,-6.79,,,,N,,-7.83,,2026-09-10,12765.0,price_return,,,not_applicable_not_recent_listing
0073X0,FOCUS 알리바바미국채커버드콜혼합,8550,-10.28,-14.71,-17.55,-21.27,-21.7,,N,-0.35,-1.61,-6.3,,,,N,,-21.85,,2026-09-10,8550.0,price_return,,,not_applicable_not_recent_listing
0074K0,KoAct K수출핵심기업TOP30액티브,17170,2.42,-4.02,-13.41,6.65,54.75,,N,0.32,5.05,-2.72,,,,N,,37.03,,2026-09-10,17170.0,price_return,,,not_applicable_not_recent_listing
0078V0,PLUS 미국로보택시,8900,-12.96,-15.84,-18.42,-16.51,-20.04,Y,N,-3.31,-4.91,-7.58,,,,N,,-27.23,,2026-09-10,8900.0,price_return,,,not_applicable_not_recent_listing
0079X0,ACE BYD밸류체인액티브,9245,-13.88,-16.9,-19.68,-25.5,-25.95,,N,-2.48,-5.86,-8.92,,,,N,,-26.22,,2026-09-10,9245.0,price_return,,,not_applicable_not_recent_listing
0080G0,KODEX 방산TOP10,10165,-12.33,-6.44,-13.64,-29.92,-1.83,,N,1.4,3.3,-6.74,,,,N,,2.26,,2026-09-10,10165.0,price_return,,,not_applicable_not_recent_listing
0080X0,SOL 미국S&P500미국채혼합50,10590,-6.82,-10.97,-11.31,-5.36,1.49,,N,-0.05,-1.58,-4.03,,,,N,,-4.38,,2026-09-10,10590.0,price_return,,,not_applicable_not_recent_listing
0080Y0,SOL 조선TOP3플러스레버리지,8850,-17.37,-8.48,-41.7,-49.83,-48.53,,N,-1.72,3.51,-3.38,,,,N,,-43.32,,2026-09-10,8850.0,price_return,,,not_applicable_not_recent_listing
0082F0,HANARO 유럽방산,9695,-15.59,-11.3,-9.39,-17.31,-4.01,Y,N,-3.34,-5.09,-11.06,,,,N,,-6.19,,2026-09-10,9695.0,price_return,,,not_applicable_not_recent_listing
0082V0,KODEX TDF2060액티브 적격,11050,-4.29,-8.34,-8.56,-0.05,7.07,Y,N,-0.32,-0.27,-2.34,,,,N,,0.64,,2026-09-10,11050.0,price_return,,,not_applicable_not_recent_listing
0083S0,1Q 미국메디컬AI,10005,-2.34,-12.12,-3.01,-2.06,-7.53,Y,N,-2.49,-3.84,-9.46,,,,N,,-13.26,,2026-09-10,10005.0,price_return,,,not_applicable_not_recent_listing
0084D0,KIWOOM 미국테크100월간목표헤지액티브,10955,-7.16,-11.9,-13.71,2.48,9.6,Y,N,0.23,-1.22,-3.69,,,,N,,2.43,,2026-09-10,10955.0,price_return,,,not_applicable_not_recent_listing
0084E0,KIWOOM 미국대형주500월간목표헤지액티브,9850,-7.08,-11.58,-12.44,-1.99,,Y,N,-0.35,-1.7,-3.48,,,,N,,-2.18,,2026-09-10,9850.0,price_return,,,not_applicable_not_recent_listing
0085N0,ACE 미국10년국채액티브(H),9690,-0.82,-1.92,-1.97,-4.67,-5.42,Y,N,-0.15,-0.23,-1.12,,,,N,,-4.63,,2026-09-10,9690.0,price_return,,,not_applicable_not_recent_listing
0085P0,ACE 미국10년국채액티브,9465,-6.38,-12.36,-13.64,-12.76,-7.75,Y,N,0.05,-1.66,-4.2,,,,N,,-10.75,,2026-09-10,9465.0,price_return,,,not_applicable_not_recent_listing
0086B0,TIGER 리츠부동산인프라TOP10액티브,9425,-2.68,-1,-1,-11.04,-8.98,Y,N,-0.58,-0.84,-0.84,,,,N,,-9.38,,2026-09-10,9425.0,price_return,,,not_applicable_not_recent_listing
0086C0,TIGER 리츠부동산인프라10채권혼합액티브,9805,-1.26,-0.2,-0.2,-4.81,-3.68,Y,N,-0.2,-0.56,-0.05,,,,N,,-3.83,,2026-09-10,9805.0,price_return,,,not_applicable_not_recent_listing
0087F0,ACE 차이나AI빅테크TOP2+액티브,11265,-14.37,-21,-15.11,0.85,3.82,Y,N,-1.96,-4.57,-9.01,,,,N,,1.76,,2026-09-10,11265.0,price_return,,,not_applicable_not_recent_listing
0088N0,WON K-글로벌수급상위,11150,4.55,0.54,-12.31,-12.72,11.17,Y,N,0.63,5.14,3,,,,N,,0.86,,2026-09-10,11150.0,price_return,,,not_applicable_not_recent_listing
0089B0,PLUS 미국나스닥100미국채혼합50,10865,-6.05,-10.87,-11.2,-0.23,8.06,Y,N,0,-0.96,-2.9,,,,N,,0.65,,2026-09-10,10865.0,price_return,,,not_applicable_not_recent_listing
0089C0,KODEX 미국S&P500변동성확대시커버드콜,11000,-6.9,-9.05,-8.6,0.73,8.06,Y,N,-0.5,-1.96,-3.76,,,,N,,-0.09,,2026-09-10,11000.0,price_return,,,not_applicable_not_recent_listing
