page_id,bucket,theme_key,region,isin,ticker,name,base_index,aum_krw,aum_rank_in_bucket,selection_rank,classification_status,eligibility_status,exclusion_codes,selection_status,selection_reason,official_validation_status,official_source_url,official_evidence_summary,strategy_change_status
ai_momentum,ai_infrastructure_power,ai_infrastructure_power,korea,KR7487240004,487240,KODEX AI전력핵심설비,iSelect AI 전력핵심설비 지수(Price Return),3152166857615,1,2,confirmed,eligible,,provisional_selected,theme AUM leader; top 5 among theme representatives,confirmed,https://www.samsungfund.com/etf/product/view.do?id=2ETFN7,AI 전력 핵심설비와 국내 변압기·전선 기업 중심 전략을 공식 확인,no_material_change_found_in_official_review
ai_momentum,ai_it_bigtech,ai_it_bigtech,korea,KR7139260004,139260,TIGER 200 IT,코스피 200 정보기술,2437629337316,1,3,confirmed_ecosystem,eligible,,provisional_selected,theme AUM leader; top 5 among theme representatives,confirmed_ecosystem,https://www.tigeretf.com/upload/etf/20250804095436001650.pdf,코스피200 정보기술 섹터 구성종목 투자 범위를 공식 확인,no_material_change_found_in_official_review
ai_momentum,ai_robotics_automation,ai_robotics_automation,korea,KR7445290000,445290,KODEX 로봇액티브,iSelect K-로봇테마 지수,1094444235391,1,5,confirmed_ecosystem,eligible,,provisional_selected,theme AUM leader; top 5 among theme representatives,confirmed_ecosystem,https://www.samsungfund.com/etf/product/view.do?id=2ETFH5,로봇 키워드 유사도 기반 종목 선정과 국내 로봇 산업 투자 범위를 공식 확인,brand_only_change_outside_window
ai_momentum,ai_semiconductor,ai_semiconductor,korea,KR7396500001,396500,TIGER 반도체TOP10,FnGuide 반도체TOP10 지수,8252241820440,1,1,confirmed_ecosystem,eligible,,provisional_selected,theme AUM leader; top 5 among theme representatives,confirmed_ecosystem,https://www.tigeretf.com/upload/etf/20241007063927009948.pdf,FnGuide 반도체TOP10 지수와 국내 대표 반도체 10종목 투자 범위를 공식 확인,no_material_change_found_in_official_review
ai_momentum,broad_ai_value_chain,broad_ai_value_chain,global,KR7456600006,456600,TIME 글로벌AI인공지능액티브,Solactive Global Artificial Intelligence 지수,2156935617078,1,4,confirmed,eligible,,provisional_selected,theme AUM leader; top 5 among theme representatives,confirmed,https://www.timeetf.co.kr/m11_view.php?idx=6,글로벌 AI 리더 투자 목적과 Solactive Global Artificial Intelligence 비교지수를 공식 확인,brand_only_change_allowed
dividend_income,korea_dividend,,korea,KR7161510003,161510,PLUS 고배당주,FnGuide 배당주 지수,2377507801184,1,1,confirmed,eligible,,provisional_selected,eligible bucket AUM top 3,,,,
dividend_income,korea_dividend,,korea,KR7466940004,466940,TIGER 은행고배당플러스TOP10,FnGuide 은행고배당플러스TOP10 지수(시장가격 지수),785279243121,2,2,confirmed,eligible,,provisional_selected,eligible bucket AUM top 3,,,,
dividend_income,korea_dividend,,korea,KR7315960005,315960,RISE 대형고배당10TR,WISE 대형고배당10 TR 지수,472453150478,3,3,confirmed,eligible,,provisional_selected,eligible bucket AUM top 3,,,,
dividend_income,us_dividend,,us,KR7458730009,458730,TIGER 미국배당다우존스,Dow Jones U.S. Dividend 100 Price Return Index,4216434947333,1,1,confirmed,eligible,,provisional_selected,eligible bucket AUM top 3,,,,
dividend_income,us_dividend,,us,KR7446720005,446720,SOL 미국배당다우존스,Dow Jones U.S. Dividend 100 Price Return Index,1034212901241,2,2,confirmed,eligible,,provisional_selected,eligible bucket AUM top 3,,,,
dividend_income,us_dividend,,us,KR7402970008,402970,ACE 미국배당다우존스,Dow Jones U.S. Dividend 100 Price Return Index,956157538921,3,3,confirmed,eligible,,provisional_selected,eligible bucket AUM top 3,,,,
long_term_core,kospi200,,korea,KR7069500007,069500,KODEX 200,코스피 200,22779356208586,1,1,confirmed,eligible,,provisional_selected,eligible bucket AUM leader,,,,
long_term_core,nasdaq100,,us,KR7133690008,133690,TIGER 미국나스닥100,NASDAQ 100,11585192564403,1,1,confirmed,eligible,,provisional_selected,eligible bucket AUM leader,,,,
long_term_core,sp500,,us,KR7360750004,360750,TIGER 미국S&P500,S&P 500,20617130247754,1,1,confirmed,eligible,,provisional_selected,eligible bucket AUM leader,,,,
