ticker,name,close_20260810,r_1m,r_2m,r_3m,r_6m,r_12m,new_12m,new_3m,r_1d,r_1w,r_2w,r_24m,r_36m,r_itd,new_90d,itd_anchor_close,r_ytd
0000D0,TIGER 엔비디아미국채커버드콜밸런스(합성),9465,-4.25,-6.84,-5.44,-4.78,-3.17,,N,0.91,3.44,-2.77,,,,N,,-3.71
0000H0,KODEX 인도Nifty미드캡100,10885,-4.39,-2.6,-1.72,-2.99,4.97,,N,0.51,-0.27,-0.37,,,,N,,-1.14
0000J0,PLUS 한화그룹주,29260,9.71,-8.26,-26.36,-15.49,15.26,,N,5.86,21.06,15.06,,,,N,,17.98
0000Y0,HK 26-12 회사채(AA-이상)액티브,101665,0.24,0.48,0.6,1.35,-0.81,,N,0.01,0.06,0.1,,,,N,,1.6
0000Z0,RISE 바이오TOP10액티브,10460,7.5,-1.65,-28.21,-33.65,-11.43,,N,8.96,22.99,20.99,,,,N,,-31.99
0001P0,마이티 바이오시밀러&CDMO액티브,10190,9.28,4.25,-19.26,-24.91,4.62,,N,7.38,19.39,14.75,,,,N,,-15.26
0002C0,에셋플러스 인도일등기업포커스20액티브,10075,-2.66,-0.2,2.6,0.85,-3.12,,N,0.55,1.87,2.39,,,,N,,-2.33
0004G0,1Q 미국배당TOP30,9570,0.16,0.74,7.71,-1.69,5.51,,N,0.58,0.9,-1.03,,,,N,,6.51
0005A0,KODEX 미국S&P500데일리커버드콜OTM,9875,-4.4,-4.68,-1.64,0.36,7.1,,N,0.92,1.65,-1.99,,,,N,,0.71
0005C0,RISE 미국S&P500엔화노출(합성 H),11750,-0.76,-0.93,0.82,4.86,10.07,,N,0.82,1.42,4.07,,,,N,,7.21
0005D0,SOL 전고체배터리&실리콘음극재,14525,4.72,-16.69,-41.69,-21.87,28.26,,N,6.88,22.99,13.43,,,,N,,15.83
0005G0,IBK K-AI반도체코어테크,45125,-18.99,-29.4,-6.48,73.79,260.71,,N,2.92,4.2,-5.89,,,,N,,117.21
0007F0,KODEX 27-12 회사채(AA-이상)액티브,10175,0.59,0.74,0.54,0.89,-0.93,,N,0.05,0.15,0.39,,,,N,,0.64
