ticker,master_isin,ledger_isin,listing_date,listing_date_status,result
0000D0,KR70000D0009,KR70000D0009,2024-12-17,verified_official,synced
0000H0,KR70000H0005,KR70000H0005,2025-04-08,verified_official,synced
0000J0,KR70000J0003,KR70000J0003,2024-12-24,verified_official,synced
0000Y0,KR70000Y0004,KR70000Y0004,2024-12-24,verified_official,synced
0000Z0,KR70000Z0003,KR70000Z0003,2024-12-24,verified_official,synced
0001P0,KR70001P0004,KR70001P0004,2024-12-24,verified_official,synced
0002C0,KR70002C0008,KR70002C0008,2025-02-25,verified_official,synced
0004G0,KR70004G0002,KR70004G0002,2025-01-21,verified_official,synced
0005A0,KR70005A0007,KR70005A0007,2025-01-07,verified_official,synced
0005C0,KR70005C0005,KR70005C0005,2025-01-14,verified_official,synced
0005D0,KR70005D0004,KR70005D0004,2025-01-07,verified_official,synced
0005G0,KR70005G0001,KR70005G0001,2025-01-21,verified_official,synced
0007F0,KR70007F0000,KR70007F0000,2025-01-14,verified_official,synced
0007G0,KR70007G0009,KR70007G0009,2025-01-14,verified_official,synced
0007N0,KR70007N0000,KR70007N0000,2025-02-11,verified_official,synced
0008E0,KR70008E0000,KR70008E0000,2025-01-21,verified_official,synced
0008S0,KR70008S0004,KR70008S0004,2025-01-21,verified_official,synced
0008T0,KR70008T0003,KR70008T0003,2025-01-21,verified_official,synced
0013P0,KR70013P0000,KR70013P0000,2025-02-18,verified_official,synced
0013R0,KR70013R0008,KR70013R0008,2025-02-18,verified_official,synced
0015B0,KR70015B0004,KR70015B0004,2025-02-25,verified_official,synced
0015E0,KR70015E0001,KR70015E0001,2025-02-11,verified_official,synced
0015F0,KR70015F0000,KR70015F0000,2025-02-11,verified_official,synced
0015K0,KR70015K0003,KR70015K0003,2025-02-18,verified_official,synced
0016X0,KR70016X0007,KR70016X0007,2025-02-18,verified_official,synced
0017Y0,KR70017Y0005,KR70017Y0005,2025-02-25,verified_official,synced
0018C0,KR70018C0000,KR70018C0000,2025-03-05,verified_official,synced
0018Z0,KR70018Z0003,KR70018Z0003,2025-03-11,verified_official,synced
0019K0,KR70019K0009,KR70019K0009,2025-03-25,verified_official,synced
0020H0,KR70020H0001,KR70020H0001,2025-03-11,verified_official,synced
0022T0,KR70022T0005,KR70022T0005,2025-03-11,verified_official,synced
0023A0,KR70023A0005,KR70023A0005,2025-03-11,verified_official,synced
0023B0,KR70023B0004,KR70023B0004,2025-03-11,verified_official,synced
0025N0,KR70025N0008,KR70025N0008,2025-03-25,verified_official,synced
0026E0,KR70026E0008,KR70026E0008,2025-03-25,verified_official,synced
0026S0,KR70026S0002,KR70026S0002,2025-03-18,verified_official,synced
0028X0,KR70028X0003,KR70028X0003,2025-05-27,verified_official,synced
0035T0,KR70035T0000,KR70035T0000,2025-04-15,verified_official,synced
