ticker,isin,master_name,existing_returns_found,listing_date,listing_date_source,listing_date_candidate,first_traded_date,first_seen_date,itd_anchor_date,itd_anchor_close
069500,KR7069500007,KODEX 200,Y,,,,,,,
069660,KR7069660009,KIWOOM 200,Y,,,,,,,
091160,KR7091160002,KODEX 반도체,Y,,,,,,,
091170,KR7091170001,KODEX 은행,Y,,,,,,,
091180,KR7091180000,KODEX 자동차,Y,,,,,,,
091220,KR7091220004,TIGER 은행,Y,,,,,,,
091230,KR7091230003,TIGER 반도체,Y,,,,,,,
099140,KR7099140006,KODEX 차이나H,Y,,,,,,,
100910,KR7100910009,KIWOOM KRX100,Y,,,,,,,
101280,KR7101280006,KODEX 일본TOPIX100,Y,,,,,,,
102110,KR7102110004,TIGER 200,Y,,,,,,,
102780,KR7102780004,KODEX 삼성그룹,Y,,,,,,,
102960,KR7102960002,KODEX 기계장비,Y,,,,,,,
102970,KR7102970001,KODEX 증권,Y,,,,,,,
104520,KR7104520002,KIWOOM 블루칩,Y,,,,,,,
104530,KR7104530001,KIWOOM 코리아고배당,Y,,,,,,,
169950,KR7169950003,KODEX 차이나A50,Y,,,,,,,
174350,KR7174350009,TIGER 로우볼,Y,,,,,,,
200250,KR7200250009,KIWOOM 인도Nifty50(합성),Y,,,,,,,
204480,KR7204480008,TIGER 차이나CSI300레버리지(합성),Y,,,,,,,
220130,KR7220130009,SOL 차이나강소기업CSI500(합성 H),Y,,,,,,,
325010,KR7325010007,KODEX 성장주,Y,,,,,,,
341850,KR7341850006,TIGER 리츠부동산인프라채권,Y,,,,,,,
418670,KR7418670006,TIGER 글로벌AI사이버보안,Y,,,,,,,
491010,KR7491010005,TIGER 글로벌AI전력인프라액티브,Y,,,,,,,
