priority,review_status,ticker,isin,master_name,issuer_group,search_key_1_isin,search_key_2_ticker,search_key_3_current_name,preferred_source_1,preferred_source_2,candidate_listing_date,candidate_first_traded_date,evidence_url,source_document_id,source_document_title,evidence_quote,match_basis,reviewer,reviewed_at,next_action,verification_note
P0,accepted,102110,KR7102110004,TIGER 200,미래에셋자산운용,KR7102110004,102110,TIGER 200,KRX KIND/레거시 KRX 상장 공고,미래에셋자산운용 공식 상품·보관 문서,2008-04-03,,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEtfIsuSummary&strIsurCd=10211,10211,미래에셋 TIGER 200증권상장지수투자신탁(주식),표준코드 KR7102110004; 종목코드 102110; 상장일 2008-04-03,isin,Manus AI,2026-08-14T07:46:57+00:00,없음 — KIND 공식 증적 검증 완료,KIND ETF 종목상세의 상장일·ISIN·종목코드 일치로 승인되었습니다.
P0,accepted,069500,KR7069500007,KODEX 200,삼성자산운용,KR7069500007,069500,KODEX 200,KRX KIND/레거시 KRX 상장 공고,삼성자산운용 공식 상품·보관 문서,2002-10-14,,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEtfIsuSummary&strIsurCd=06950,06950,삼성 KODEX 200증권상장지수투자신탁(주식),표준코드 KR7069500007; 종목코드 069500; 상장일 2002-10-14,isin,Manus AI,2026-08-14T07:46:57+00:00,없음 — KIND 공식 증적 검증 완료,KIND ETF 종목상세의 상장일·ISIN·종목코드 일치로 승인되었습니다.
P0,accepted,220130,KR7220130009,SOL 차이나강소기업CSI500(합성 H),신한자산운용,KR7220130009,220130,SOL 차이나강소기업CSI500(합성 H),KRX KIND/레거시 KRX 상장 공고,신한자산운용 공식 상품·보관 문서,2015-06-08,,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEtfIsuSummary&strIsurCd=22013,22013,신한 SOL 차이나강소기업CSI500증권상장지수투자신탁(주식-파생형)(합성 H),표준코드 KR7220130009; 종목코드 220130; 상장일 2015-06-08,isin,Manus AI,2026-08-14T07:46:57+00:00,없음 — KIND 공식 증적 검증 완료,KIND ETF 종목상세의 상장일·ISIN·종목코드 일치로 승인되었습니다.
P0,accepted,069660,KR7069660009,KIWOOM 200,키움투자자산운용,KR7069660009,069660,KIWOOM 200,KRX KIND/레거시 KRX 상장 공고,키움투자자산운용 공식 상품·보관 문서,2002-10-14,,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEtfIsuSummary&strIsurCd=06966,06966,키움 KIWOOM 200 상장지수증권투자신탁[주식],표준코드 KR7069660009; 종목코드 069660; 상장일 2002-10-14,isin,Manus AI,2026-08-14T07:46:57+00:00,없음 — KIND 공식 증적 검증 완료,KIND ETF 종목상세의 상장일·ISIN·종목코드 일치로 승인되었습니다.
P1,not_started,091220,KR7091220004,TIGER 은행,미래에셋자산운용,KR7091220004,091220,TIGER 은행,KRX KIND/레거시 KRX 상장 공고,미래에셋자산운용 공식 상품·보관 문서,,,,,,,,,,ISIN으로 KRX·운용사 문서를 검색하고 상장일·ISIN/단축코드 동시 확인,KIND 수집 원장에 자동 매칭되지 않아 수동 증적 확인이 필요합니다.
P1,not_started,091230,KR7091230003,TIGER 반도체,미래에셋자산운용,KR7091230003,091230,TIGER 반도체,KRX KIND/레거시 KRX 상장 공고,미래에셋자산운용 공식 상품·보관 문서,,,,,,,,,,ISIN으로 KRX·운용사 문서를 검색하고 상장일·ISIN/단축코드 동시 확인,KIND 수집 원장에 자동 매칭되지 않아 수동 증적 확인이 필요합니다.
P1,not_started,174350,KR7174350009,TIGER 로우볼,미래에셋자산운용,KR7174350009,174350,TIGER 로우볼,KRX KIND/레거시 KRX 상장 공고,미래에셋자산운용 공식 상품·보관 문서,,,,,,,,,,ISIN으로 KRX·운용사 문서를 검색하고 상장일·ISIN/단축코드 동시 확인,KIND 수집 원장에 자동 매칭되지 않아 수동 증적 확인이 필요합니다.
P1,not_started,204480,KR7204480008,TIGER 차이나CSI300레버리지(합성),미래에셋자산운용,KR7204480008,204480,TIGER 차이나CSI300레버리지(합성),KRX KIND/레거시 KRX 상장 공고,미래에셋자산운용 공식 상품·보관 문서,,,,,,,,,,ISIN으로 KRX·운용사 문서를 검색하고 상장일·ISIN/단축코드 동시 확인,KIND 수집 원장에 자동 매칭되지 않아 수동 증적 확인이 필요합니다.
P1,not_started,091160,KR7091160002,KODEX 반도체,삼성자산운용,KR7091160002,091160,KODEX 반도체,KRX KIND/레거시 KRX 상장 공고,삼성자산운용 공식 상품·보관 문서,,,,,,,,,,ISIN으로 KRX·운용사 문서를 검색하고 상장일·ISIN/단축코드 동시 확인,KIND 수집 원장에 자동 매칭되지 않아 수동 증적 확인이 필요합니다.
P1,not_started,091170,KR7091170001,KODEX 은행,삼성자산운용,KR7091170001,091170,KODEX 은행,KRX KIND/레거시 KRX 상장 공고,삼성자산운용 공식 상품·보관 문서,,,,,,,,,,ISIN으로 KRX·운용사 문서를 검색하고 상장일·ISIN/단축코드 동시 확인,KIND 수집 원장에 자동 매칭되지 않아 수동 증적 확인이 필요합니다.
P1,not_started,091180,KR7091180000,KODEX 자동차,삼성자산운용,KR7091180000,091180,KODEX 자동차,KRX KIND/레거시 KRX 상장 공고,삼성자산운용 공식 상품·보관 문서,,,,,,,,,,ISIN으로 KRX·운용사 문서를 검색하고 상장일·ISIN/단축코드 동시 확인,KIND 수집 원장에 자동 매칭되지 않아 수동 증적 확인이 필요합니다.
P1,not_started,099140,KR7099140006,KODEX 차이나H,삼성자산운용,KR7099140006,099140,KODEX 차이나H,KRX KIND/레거시 KRX 상장 공고,삼성자산운용 공식 상품·보관 문서,,,,,,,,,,ISIN으로 KRX·운용사 문서를 검색하고 상장일·ISIN/단축코드 동시 확인,KIND 수집 원장에 자동 매칭되지 않아 수동 증적 확인이 필요합니다.
P1,not_started,101280,KR7101280006,KODEX 일본TOPIX100,삼성자산운용,KR7101280006,101280,KODEX 일본TOPIX100,KRX KIND/레거시 KRX 상장 공고,삼성자산운용 공식 상품·보관 문서,,,,,,,,,,ISIN으로 KRX·운용사 문서를 검색하고 상장일·ISIN/단축코드 동시 확인,KIND 수집 원장에 자동 매칭되지 않아 수동 증적 확인이 필요합니다.
P1,not_started,102780,KR7102780004,KODEX 삼성그룹,삼성자산운용,KR7102780004,102780,KODEX 삼성그룹,KRX KIND/레거시 KRX 상장 공고,삼성자산운용 공식 상품·보관 문서,,,,,,,,,,ISIN으로 KRX·운용사 문서를 검색하고 상장일·ISIN/단축코드 동시 확인,KIND 수집 원장에 자동 매칭되지 않아 수동 증적 확인이 필요합니다.
