ticker,isin,candidate_listing_date,candidate_first_traded_date,source_rank,source_type,source_url,source_document_id,source_document_title,evidence_quote,match_basis,checked_at,checked_by,review_status
091160,KR7091160002,2006-06-27,,1,krx_kind_etf_issue_summary,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEtfIsuSummary&strIsurCd=09116,09116,KIND ETF 종목상세 — KODEX 반도체,표준코드 KR7091160002; 종목코드 091160; 상장일 2006-06-27,isin,2026-08-14T10:56:59+00:00,Manus AI,accepted
091170,KR7091170001,2006-06-27,,1,krx_kind_etf_issue_summary,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEtfIsuSummary&strIsurCd=09117,09117,KIND ETF 종목상세 — KODEX 은행,표준코드 KR7091170001; 종목코드 091170; 상장일 2006-06-27,isin,2026-08-14T10:56:59+00:00,Manus AI,accepted
091180,KR7091180000,2006-06-27,,1,krx_kind_etf_issue_summary,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEtfIsuSummary&strIsurCd=09118,09118,KIND ETF 종목상세 — KODEX 자동차,표준코드 KR7091180000; 종목코드 091180; 상장일 2006-06-27,isin,2026-08-14T10:56:59+00:00,Manus AI,accepted
091220,KR7091220004,2006-06-27,,1,krx_kind_etf_issue_summary,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEtfIsuSummary&strIsurCd=09122,09122,KIND ETF 종목상세 — TIGER 은행,표준코드 KR7091220004; 종목코드 091220; 상장일 2006-06-27,isin,2026-08-14T10:56:59+00:00,Manus AI,accepted
091230,KR7091230003,2006-06-27,,1,krx_kind_etf_issue_summary,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEtfIsuSummary&strIsurCd=09123,09123,KIND ETF 종목상세 — TIGER 반도체,표준코드 KR7091230003; 종목코드 091230; 상장일 2006-06-27,isin,2026-08-14T10:56:59+00:00,Manus AI,accepted
099140,KR7099140006,2007-10-10,,1,krx_kind_etf_issue_summary,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEtfIsuSummary&strIsurCd=09914,09914,KIND ETF 종목상세 — KODEX 차이나H,표준코드 KR7099140006; 종목코드 099140; 상장일 2007-10-10,isin,2026-08-14T10:56:59+00:00,Manus AI,accepted
100910,KR7100910009,2008-01-23,,1,krx_kind_etf_issue_summary,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEtfIsuSummary&strIsurCd=10091,10091,KIND ETF 종목상세 — KIWOOM KRX100,표준코드 KR7100910009; 종목코드 100910; 상장일 2008-01-23,isin,2026-08-14T10:56:59+00:00,Manus AI,accepted
101280,KR7101280006,2008-02-20,,1,krx_kind_etf_issue_summary,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEtfIsuSummary&strIsurCd=10128,10128,KIND ETF 종목상세 — KODEX 일본TOPIX100,표준코드 KR7101280006; 종목코드 101280; 상장일 2008-02-20,isin,2026-08-14T10:56:59+00:00,Manus AI,accepted
102780,KR7102780004,2008-05-21,,1,krx_kind_etf_issue_summary,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEtfIsuSummary&strIsurCd=10278,10278,KIND ETF 종목상세 — KODEX 삼성그룹,표준코드 KR7102780004; 종목코드 102780; 상장일 2008-05-21,isin,2026-08-14T10:56:59+00:00,Manus AI,accepted
102960,KR7102960002,2008-05-29,,1,krx_kind_etf_issue_summary,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEtfIsuSummary&strIsurCd=10296,10296,KIND ETF 종목상세 — KODEX 기계장비,표준코드 KR7102960002; 종목코드 102960; 상장일 2008-05-29,isin,2026-08-14T10:56:59+00:00,Manus AI,accepted
102970,KR7102970001,2008-05-29,,1,krx_kind_etf_issue_summary,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEtfIsuSummary&strIsurCd=10297,10297,KIND ETF 종목상세 — KODEX 증권,표준코드 KR7102970001; 종목코드 102970; 상장일 2008-05-29,isin,2026-08-14T10:56:59+00:00,Manus AI,accepted
104520,KR7104520002,2008-07-29,,1,krx_kind_etf_issue_summary,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEtfIsuSummary&strIsurCd=10452,10452,KIND ETF 종목상세 — KIWOOM 블루칩,표준코드 KR7104520002; 종목코드 104520; 상장일 2008-07-29,isin,2026-08-14T10:56:59+00:00,Manus AI,accepted
104530,KR7104530001,2008-07-29,,1,krx_kind_etf_issue_summary,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEtfIsuSummary&strIsurCd=10453,10453,KIND ETF 종목상세 — KIWOOM 코리아고배당,표준코드 KR7104530001; 종목코드 104530; 상장일 2008-07-29,isin,2026-08-14T10:56:59+00:00,Manus AI,accepted
169950,KR7169950003,2013-01-21,,1,krx_kind_etf_issue_summary,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEtfIsuSummary&strIsurCd=16995,16995,KIND ETF 종목상세 — KODEX 차이나A50,표준코드 KR7169950003; 종목코드 169950; 상장일 2013-01-21,isin,2026-08-14T10:56:59+00:00,Manus AI,accepted
174350,KR7174350009,2013-06-20,,1,krx_kind_etf_issue_summary,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEtfIsuSummary&strIsurCd=17435,17435,KIND ETF 종목상세 — TIGER 로우볼,표준코드 KR7174350009; 종목코드 174350; 상장일 2013-06-20,isin,2026-08-14T10:56:59+00:00,Manus AI,accepted
200250,KR7200250009,2014-06-26,,1,krx_kind_etf_issue_summary,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEtfIsuSummary&strIsurCd=20025,20025,KIND ETF 종목상세 — KIWOOM 인도Nifty50(합성),표준코드 KR7200250009; 종목코드 200250; 상장일 2014-06-26,isin,2026-08-14T10:56:59+00:00,Manus AI,accepted
204480,KR7204480008,2014-09-01,,1,krx_kind_etf_issue_summary,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEtfIsuSummary&strIsurCd=20448,20448,KIND ETF 종목상세 — TIGER 차이나CSI300레버리지(합성),표준코드 KR7204480008; 종목코드 204480; 상장일 2014-09-01,isin,2026-08-14T10:56:59+00:00,Manus AI,accepted
