ticker,isin,listing_date,kind_code
091160,KR7091160002,2006-06-27,09116
091170,KR7091170001,2006-06-27,09117
091180,KR7091180000,2006-06-27,09118
091220,KR7091220004,2006-06-27,09122
091230,KR7091230003,2006-06-27,09123
099140,KR7099140006,2007-10-10,09914
100910,KR7100910009,2008-01-23,10091
101280,KR7101280006,2008-02-20,10128
102780,KR7102780004,2008-05-21,10278
102960,KR7102960002,2008-05-29,10296
102970,KR7102970001,2008-05-29,10297
104520,KR7104520002,2008-07-29,10452
104530,KR7104530001,2008-07-29,10453
169950,KR7169950003,2013-01-21,16995
174350,KR7174350009,2013-06-20,17435
200250,KR7200250009,2014-06-26,20025
204480,KR7204480008,2014-09-01,20448
