date,ticker,close
2025-07-31,395160,10910
2025-07-31,446770,31650
2025-07-31,491010,17125
2025-08-01,395160,10380
2025-08-01,446770,30745
2025-08-01,491010,16760
2025-08-04,395160,10480
2025-08-04,446770,30215
2025-08-04,491010,16485
2025-08-05,395160,10615
2025-08-05,446770,31080
2025-08-05,491010,17085
2025-08-06,395160,10520
2025-08-06,446770,30365
2025-08-06,491010,17110
2025-08-07,395160,10630
2025-08-07,446770,30700
2025-08-07,491010,17020
2025-08-08,395160,10725
2025-08-08,446770,31115
2025-08-08,491010,16920
2025-08-11,395160,10830
2025-08-11,446770,31180
2025-08-11,491010,16900
2025-08-12,395160,10800
2025-08-12,446770,31165
2025-08-12,491010,16710
2025-08-13,395160,11010
2025-08-13,446770,31705
2025-08-13,491010,17250
2025-08-14,395160,10940
2025-08-14,446770,31970
2025-08-14,491010,16890
2025-08-18,395160,10660
2025-08-18,446770,31255
2025-08-18,491010,16420
2025-08-19,395160,10575
2025-08-19,446770,31365
2025-08-19,491010,16480
2025-08-20,395160,10380
2025-08-20,446770,30645
2025-08-20,491010,15860
2025-08-21,395160,10320
2025-08-21,446770,30505
2025-08-21,491010,15900
2025-08-22,395160,10450
2025-08-22,446770,30230
2025-08-22,491010,15835
2025-08-25,395160,10685
2025-08-25,446770,31055
2025-08-25,491010,16115
2025-08-26,0093A0,10315
2025-08-26,395160,10720
2025-08-26,446770,31300
2025-08-26,491010,16140
2025-08-27,0093A0,10335
2025-08-27,395160,10750
2025-08-27,446770,31495
2025-08-27,491010,16455
2025-08-28,0093A0,10395
2025-08-28,395160,10750
2025-08-28,446770,31300
2025-08-28,491010,16350
2025-08-29,0093A0,10475
2025-08-29,395160,10755
2025-08-29,446770,31555
2025-08-29,491010,16905
2025-09-01,0093A0,10180
2025-09-01,395160,10380
2025-09-01,446770,30545
2025-09-01,491010,16400
2025-09-02,0093A0,10235
2025-09-02,395160,10475
2025-09-02,446770,30605
2025-09-02,491010,16325
2025-09-03,0093A0,10440
2025-09-03,395160,10500
2025-09-03,446770,30420
2025-09-03,491010,16185
2025-09-04,0093A0,10650
2025-09-04,395160,10625
2025-09-04,446770,30600
2025-09-04,491010,16345
2025-09-05,0093A0,10735
2025-09-05,395160,10650
2025-09-05,446770,31185
2025-09-05,491010,16455
2025-09-08,0093A0,11085
