ticker,isin,name,listing_date,listing_date_source,listing_date_verification_status,source_name,source_license_status,source_first_available_date,actual_first_trading_date,first_close,latest_trading_date,latest_close,daily_history_row_count,expected_trading_day_count,coverage_ratio,corporate_action_status,itd_anchor_status,itd_calculation_status,full_max_chart_status,exclusion_or_pending_reason,checked_at
0000D0,KR70000D0009,TIGER 엔비디아미국채커버드콜밸런스(합성),2024-12-17,KRX KIND 신규상장 공시,provisional,listing_prices_cache,cache_provenance_pending,,,10275,2026-08-14,9445,0,434,0,not_reviewed,existing_anchor_unreverified,calculated,backfill_pending,full daily history is not available locally,2026-08-15T16:05:10+09:00
0000H0,KR70000H0005,KODEX 인도Nifty미드캡100,2025-04-08,KRX KIND 신규상장 공시,provisional,listing_prices_cache,cache_provenance_pending,,,10830,2026-08-14,10800,0,354,0,not_reviewed,existing_anchor_unreverified,calculated,backfill_pending,full daily history is not available locally,2026-08-15T16:05:10+09:00
0000J0,KR70000J0003,PLUS 한화그룹주,2024-12-24,KRX KIND 신규상장 공시,provisional,listing_prices_cache,cache_provenance_pending,,,40950,2026-08-14,30050,0,429,0,not_reviewed,existing_anchor_unreverified,calculated,backfill_pending,full daily history is not available locally,2026-08-15T16:05:10+09:00
0000Y0,KR70000Y0004,HK 26-12 회사채(AA-이상)액티브,2024-12-24,KRX KIND 신규상장 공시,provisional,listing_prices_cache,cache_provenance_pending,,,100960,2026-08-14,101730,0,429,0,not_reviewed,existing_anchor_unreverified,calculated,backfill_pending,full daily history is not available locally,2026-08-15T16:05:10+09:00
0000Z0,KR70000Z0003,RISE 바이오TOP10액티브,2024-12-24,KRX KIND 신규상장 공시,provisional,listing_prices_cache,cache_provenance_pending,,,15955,2026-08-14,9830,0,429,0,not_reviewed,existing_anchor_unreverified,calculated,backfill_pending,full daily history is not available locally,2026-08-15T16:05:10+09:00
0001P0,KR70001P0004,마이티 바이오시밀러&CDMO액티브,2024-12-24,KRX KIND 신규상장 공시,provisional,listing_prices_cache,cache_provenance_pending,,,13370,2026-08-14,10070,0,429,0,not_reviewed,existing_anchor_unreverified,calculated,backfill_pending,full daily history is not available locally,2026-08-15T16:05:10+09:00
0002C0,KR70002C0008,에셋플러스 인도일등기업포커스20액티브,2025-02-25,KRX KIND 신규상장 공시,provisional,listing_prices_cache,cache_provenance_pending,,,9570,2026-08-14,10110,0,384,0,not_reviewed,existing_anchor_unreverified,calculated,backfill_pending,full daily history is not available locally,2026-08-15T16:05:10+09:00
0004G0,KR70004G0002,1Q 미국배당TOP30,2025-01-21,KRX KIND 신규상장 공시,provisional,listing_prices_cache,cache_provenance_pending,,,9000,2026-08-14,9570,0,409,0,not_reviewed,existing_anchor_unreverified,calculated,backfill_pending,full daily history is not available locally,2026-08-15T16:05:10+09:00
0005A0,KR70005A0007,KODEX 미국S&P500데일리커버드콜OTM,2025-01-07,KRX KIND 신규상장 공시,provisional,listing_prices_cache,cache_provenance_pending,,,10030,2026-08-14,9920,0,419,0,not_reviewed,existing_anchor_unreverified,calculated,backfill_pending,full daily history is not available locally,2026-08-15T16:05:10+09:00
0005C0,KR70005C0005,RISE 미국S&P500엔화노출(합성 H),2025-01-14,KRX KIND 신규상장 공시,provisional,listing_prices_cache,cache_provenance_pending,,,11305,2026-08-14,11670,0,414,0,not_reviewed,existing_anchor_unreverified,calculated,backfill_pending,full daily history is not available locally,2026-08-15T16:05:10+09:00
0005D0,KR70005D0004,SOL 전고체배터리&실리콘음극재,2025-01-07,KRX KIND 신규상장 공시,provisional,listing_prices_cache,cache_provenance_pending,,,25150,2026-08-14,14895,0,419,0,not_reviewed,existing_anchor_unreverified,calculated,backfill_pending,full daily history is not available locally,2026-08-15T16:05:10+09:00
0005G0,KR70005G0001,IBK K-AI반도체코어테크,2025-01-21,KRX KIND 신규상장 공시,provisional,listing_prices_cache,cache_provenance_pending,,,42165,2026-08-14,51220,0,409,0,not_reviewed,existing_anchor_unreverified,calculated,backfill_pending,full daily history is not available locally,2026-08-15T16:05:10+09:00
0007F0,KR70007F0000,KODEX 27-12 회사채(AA-이상)액티브,2025-01-14,KRX KIND 신규상장 공시,provisional,listing_prices_cache,cache_provenance_pending,,,10100,2026-08-14,10170,0,414,0,not_reviewed,existing_anchor_unreverified,calculated,backfill_pending,full daily history is not available locally,2026-08-15T16:05:10+09:00
0007G0,KR70007G0009,PLUS 글로벌원자력밸류체인,2025-01-14,KRX KIND 신규상장 공시,provisional,listing_prices_cache,cache_provenance_pending,,,17740,2026-08-14,14225,0,414,0,not_reviewed,existing_anchor_unreverified,calculated,backfill_pending,full daily history is not available locally,2026-08-15T16:05:10+09:00
0007N0,KR70007N0000,아이엠에셋 200,2025-02-11,KRX KIND 신규상장 공시,provisional,listing_prices_cache,cache_provenance_pending,,,102090,2026-08-14,110705,0,394,0,not_reviewed,existing_anchor_unreverified,calculated,backfill_pending,full daily history is not available locally,2026-08-15T16:05:10+09:00
0008E0,KR70008E0000,ACE 미국중심중소형제조업,2025-01-21,KRX KIND 신규상장 공시,provisional,listing_prices_cache,cache_provenance_pending,,,14215,2026-08-14,13425,0,409,0,not_reviewed,existing_anchor_unreverified,calculated,backfill_pending,full daily history is not available locally,2026-08-15T16:05:10+09:00
0008S0,KR70008S0004,TIGER 미국배당다우존스타겟데일리커버드콜,2025-01-21,KRX KIND 신규상장 공시,provisional,listing_prices_cache,cache_provenance_pending,,,10020,2026-08-14,10250,0,409,0,not_reviewed,existing_anchor_unreverified,calculated,backfill_pending,full daily history is not available locally,2026-08-15T16:05:10+09:00
0008T0,KR70008T0003,SOL 화장품TOP3플러스,2025-01-21,KRX KIND 신규상장 공시,provisional,listing_prices_cache,cache_provenance_pending,,,17100,2026-08-14,17735,0,409,0,not_reviewed,existing_anchor_unreverified,calculated,backfill_pending,full daily history is not available locally,2026-08-15T16:05:10+09:00
0013P0,KR70013P0000,RISE 미국은행TOP10,2025-02-18,KRX KIND 신규상장 공시,provisional,listing_prices_cache,cache_provenance_pending,,,12110,2026-08-14,13505,0,389,0,not_reviewed,existing_anchor_unreverified,calculated,backfill_pending,full daily history is not available locally,2026-08-15T16:05:10+09:00
0013R0,KR70013R0008,RISE 테슬라미국채타겟커버드콜혼합(합성),2025-02-18,KRX KIND 신규상장 공시,provisional,listing_prices_cache,cache_provenance_pending,,,9190,2026-08-14,8020,0,389,0,not_reviewed,existing_anchor_unreverified,calculated,backfill_pending,full daily history is not available locally,2026-08-15T16:05:10+09:00
0015B0,KR70015B0004,KoAct 미국나스닥성장기업액티브,2025-02-25,KRX KIND 신규상장 공시,provisional,listing_prices_cache,cache_provenance_pending,,,19630,2026-08-14,19800,0,384,0,not_reviewed,existing_anchor_unreverified,calculated,backfill_pending,full daily history is not available locally,2026-08-15T16:05:10+09:00
0015E0,KR70015E0001,KIWOOM 엔비디아미국30년국채혼합액티브(H),2025-02-11,KRX KIND 신규상장 공시,provisional,listing_prices_cache,cache_provenance_pending,,,10870,2026-08-14,10605,0,394,0,not_reviewed,existing_anchor_unreverified,calculated,backfill_pending,full daily history is not available locally,2026-08-15T16:05:10+09:00
