ticker,isin,name,listing_date,existing_anchor_close,official_reference_price,verification_status,source_receipt_no,source_url,reason,checked_at
0189Z0,KR70189Z0006,DAISHIN343 금융&지주고배당,2026-06-09,10035,9640,official_verified,20260608001078,https://kind.krx.co.kr/external/2026/06/08/001078/20260608002154/99401.htm,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0191M0,KR70191M0007,마이티 5월만기자동연장특수채(AAA)액티브,2026-06-02,100045,100035,official_verified,20260601001980,https://kind.krx.co.kr/external/2026/06/01/001980/20260601003118/99401.htm,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0192L0,KR70192L0007,RISE SK하이닉스단일종목레버리지,2026-05-27,23765,20060,official_verified,20260526000930,https://kind.krx.co.kr/external/2026/05/26/000930/20260526001997/99401.htm,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0192M0,KR70192M0006,RISE 삼성전자단일종목레버리지,2026-05-27,21165,20040,official_verified,20260526000929,https://kind.krx.co.kr/external/2026/05/26/000929/20260526001996/99401.htm,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0193K0,KR70193K0007,PLUS 삼성전자단일종목레버리지,2026-05-27,22530,21500,official_verified,20260526000921,https://kind.krx.co.kr/external/2026/05/26/000921/20260526001987/99401.htm,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0193L0,KR70193L0006,PLUS 삼성전자선물단일종목인버스2X,2026-05-27,18805,20000,official_verified,20260526000922,https://kind.krx.co.kr/external/2026/05/26/000922/20260526001988/99401.htm,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0193M0,KR70193M0005,BNK 27-12 특수채(AAA이상)액티브,2026-06-16,50020,50015,official_verified,20260615000967,https://kind.krx.co.kr/external/2026/06/15/000967/20260615001880/99401.htm,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0193T0,KR70193T0008,KODEX SK하이닉스단일종목레버리지,2026-05-27,27775,23450,official_verified,20260526000923,https://kind.krx.co.kr/external/2026/05/26/000923/20260526001989/99401.htm,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0193W0,KR70193W0003,KODEX 삼성전자단일종목레버리지,2026-05-27,22830,21635,official_verified,20260526000919,https://kind.krx.co.kr/external/2026/05/26/000919/20260526001985/99401.htm,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0194M0,KR70194M0004,ACE 삼성전자단일종목레버리지,2026-05-27,21055,19995,official_verified,20260526000924,https://kind.krx.co.kr/external/2026/05/26/000924/20260526001990/99401.htm,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
