ticker,standard_code,fund_name,fund_type,base_date,issuer
0000H0,K55105EG1976,삼성KODEX인도Nifty미드캡100증권상장지수투자신탁[주식-파생형],주식파생형,20250404,삼성자산운용
0000J0,K55213EG3153,한화PLUS한화그룹주증권상장지수투자신탁(주식),주식형,20241223,한화자산운용
0000Y0,K55224EH0304,흥국HK26-12회사채(AA-이상)액티브증권상장지수투자신탁[채권],채권형,20241223,흥국자산운용
0000Z0,K55223EG4761,KBRISE바이오TOP10액티브증권상장지수투자신탁(주식),주식형,20241223,케이비자산운용
0001P0,K55216EG6021,DB마이티바이오시밀러&amp;CDMO액티브증권상장지수투자신탁[주식],주식형,20241220,디비자산운용
0002C0,K55364ED4870,에셋플러스에셋플러스인도일등기업포커스20액티브증권상장지수투자신탁(주식),주식형,20250221,에셋플러스자산운용
0004G0,K55102EG6572,하나1Q미국배당TOP30증권상장지수투자신탁[주식],주식형,20250117,하나자산운용
0005A0,K55105EG1950,삼성KODEX미국S&amp;P500데일리커버드콜OTM증권상장지수투자신탁[주식-파생형],주식파생형,20250103,삼성자산운용
0005C0,K55223EG9927,KBRISE미국S&amp;P500엔화노출증권상장지수투자신탁(주식-파생형)(합성H),주식파생형,20250110,케이비자산운용
0005D0,K55210EG4402,신한SOL전고체배터리&amp;실리콘음극재증권상장지수투자신탁[주식],주식형,20250106,신한자산운용
0005G0,K55234EG3166,IBKIBKK-AI반도체코어테크증권상장지수투자신탁[주식],주식형,20250120,아이비케이자산운용
0007F0,K55105EG9086,삼성KODEX27-12회사채(AA-이상)액티브증권상장지수투자신탁[채권],채권형,20250110,삼성자산운용
0007G0,K55213EG9010,한화PLUS글로벌원자력밸류체인증권상장지수투자신탁(주식형),주식형,20250110,한화자산운용
0007N0,K55368EH4351,iM에셋아이엠에셋200증권상장지수투자신탁(주식),주식형,20250210,아이엠에셋자산운용
0008E0,K55101EH5038,한국투자ACE미국중심중소형제조업증권상장지수투자신탁(주식),주식형,20250117,한국투자신탁운용
0008S0,K55301EG7256,미래에셋TIGER미국배당다우존스타겟데일리커버드콜증권상장지수투자신탁(주식),주식형,20250117,미래에셋자산운용
0008T0,K55210EG9039,신한SOL화장품TOP3플러스증권상장지수투자신탁[주식],주식형,20250120,신한자산운용
0013P0,K55223EH4240,KBRISE미국은행TOP10증권상장지수투자신탁(주식),주식형,20250214,케이비자산운용
0015B0,K553N9EH5654,삼성액티브KoAct미국나스닥성장기업액티브증권상장지수투자신탁[주식],주식형,20250221,삼성액티브자산운용
0015E0,K55206EI0479,키움KIWOOM엔비디아미국30년국채혼합액티브증권상장지수투자신탁[채권혼합](H),혼합채권형,20250207,키움투자자산운용
0015F0,K55206EI0487,키움KIWOOM팔란티어미국30년국채혼합액티브증권상장지수투자신탁[채권혼합](H),혼합채권형,20250207,키움투자자산운용
0015K0,K55301EH0516,미래에셋TIGER미국소비트렌드액티브증권상장지수투자신탁(주식),주식형,20250214,미래에셋자산운용
0016X0,K55210EH5770,신한SOL중단기회사채(A-이상)액티브증권상장지수투자신탁[채권],채권형,20250217,신한자산운용
0017Y0,K55102EI0573,하나1Q종합채권(AA-이상)액티브증권상장지수투자신탁[채권],채권형,20250224,하나자산운용
0018C0,K55213EH5827,한화PLUS고배당주위클리고정커버드콜증권상장지수투자신탁(주식-파생형),주식파생형,20250304,한화자산운용
0018Z0,K55223EI0494,KBRISE미국양자컴퓨팅증권상장지수투자신탁(주식),주식형,20250307,케이비자산운용
0019K0,K553J1EI5410,타임폴리오TIME미국나스닥100채권혼합50액티브증권상장지수투자신탁(채권혼합),혼합채권형,20250324,타임폴리오자산운용
0020H0,K553N9EH9532,삼성액티브KoAct글로벌양자컴퓨팅액티브증권상장지수투자신탁[주식],주식형,20250307,삼성액티브자산운용
0022T0,K55210EH0144,신한SOL국제금커버드콜액티브특별자산상장지수투자신탁[금-파생재간접형],특별자산파생,20250307,신한자산운용
0023A0,K55210EE4925,신한SOL미국양자컴퓨팅TOP10증권상장지수투자신탁[주식],주식형,20250307,신한자산운용
0023B0,K55213EI2682,한화PLUS미국양자컴퓨팅TOP10증권상장지수투자신탁(주식),주식형,20250307,한화자산운용
0026E0,K55105EH1736,삼성KODEX미국S&amp;P500버퍼3월액티브증권상장지수투자신탁[주식-파생형],주식파생형,20250321,삼성자산운용
0026S0,K55102EI0342,하나1Q미국S&amp;P500증권상장지수투자신탁[주식],주식형,20250314,하나자산운용
0028X0,K55105EI2691,삼성KODEX미국금융테크액티브증권상장지수투자신탁[주식],주식형,20250522,삼성자산운용
0035T0,K55213EJ0693,한화PLUS글로벌휴머노이드로봇액티브증권상장지수투자신탁(주식),주식형,20250411,한화자산운용
0036R0,K55223EJ0170,KBRISE미국휴머노이드로봇증권상장지수투자신탁(주식),주식형,20250411,케이비자산운용
0036Z0,K55223EJ0162,KBRISE미국천연가스밸류체인증권상장지수투자신탁(주식),주식형,20250417,케이비자산운용
0038A0,K55105EI8383,삼성KODEX미국휴머노이드로봇증권상장지수투자신탁[주식],주식형,20250411,삼성자산운용
0040S0,K55232EK0689,NH-AmundiHANARO글로벌피지컬AI액티브증권상장지수투자신탁(주식),주식형,20250417,엔에이치아문디자산운용
0040X0,K55210EI9243,신한SOL팔란티어미국채커버드콜혼합증권상장지수투자신탁[채권혼합-파생재간접형],재간접파생형,20250418,신한자산운용
0040Y0,K55210EI9250,신한SOL팔란티어커버드콜OTM채권혼합증권상장지수투자신탁[채권혼합-파생형],혼합채권파생형,20250418,신한자산운용
0041D0,K55105EH7642,삼성KODEX미국AI소프트웨어TOP10증권상장지수투자신탁[주식],주식형,20250417,삼성자산운용
0041E0,K55105EJ6188,삼성KODEX미국S&amp;P500액티브증권상장지수투자신탁[주식],주식형,20250417,삼성자산운용
0043B0,K55301EI2420,미래에셋TIGER머니마켓액티브증권상장지수투자신탁(채권),채권형,20250416,미래에셋자산운용
0043Y0,K553J1EK6638,타임폴리오TIME차이나AI테크액티브증권상장지수투자신탁(주식),주식형,20250512,타임폴리오자산운용
0046A0,K55301EI9524,미래에셋TIGER미국초단기(3개월이하)국채증권상장지수투자신탁(채권-재간접형),재간접형,20250425,미래에셋자산운용
0046Y0,K55101EK7278,한국투자ACE미국배당퀄리티증권상장지수투자신탁(주식),주식형,20250509,한국투자신탁운용
0047A0,K55301EJ2577,미래에셋TIGER차이나테크TOP10증권상장지수투자신탁(주식),주식형,20250509,미래에셋자산운용
0047N0,K55213EJ9835,한화PLUS차이나AI테크TOP10증권상장지수투자신탁(주식),주식형,20250509,한화자산운용
0047P0,K55223EJ7027,KBRISE테슬라고정테크100증권상장지수투자신탁(주식),주식형,20250509,케이비자산운용
0047R0,K55223EJ7035,KBRISE팔란티어고정테크100증권상장지수투자신탁(주식),주식형,20250509,케이비자산운용
0048J0,K55105EK2846,삼성KODEX미국머니마켓액티브증권상장지수투자신탁[채권],채권형,20250509,삼성자산운용
0048K0,K55105EJ5511,삼성KODEX차이나휴머노이드로봇증권상장지수투자신탁[주식],주식형,20250512,삼성자산운용
0049K0,K55101EK7294,한국투자ACE미국배당퀄리티채권혼합50증권상장지수투자신탁(채권혼합),혼합채권형,20250509,한국투자신탁운용
0049M0,K55101EK7344,한국투자ACE미국배당퀄리티+커버드콜액티브증권상장지수투자신탁(주식-재간접형),재간접형,20250509,한국투자신탁운용
0050E0,K55213EJ2715,한화PLUS미국AI에이전트증권상장지수투자신탁(주식형),주식형,20250516,한화자산운용
0051A0,K553N9EJ5488,삼성액티브KoAct브로드컴밸류체인액티브증권상장지수투자신탁[주식],주식형,20250516,삼성액티브자산운용
0051G0,K55210EJ6834,신한SOL미국원자력SMR증권상장지수투자신탁[주식],주식형,20250516,신한자산운용
0052D0,K55301EK1139,미래에셋TIGER코리아배당다우존스증권상장지수투자신탁(주식),주식형,20250519,미래에셋자산운용
0052S0,K55102EK9976,하나1Q미국S&amp;P500미국채혼합50액티브증권상장지수투자신탁(채권혼합),혼합채권형,20250609,하나자산운용
0052T0,K55102EJ9938,하나1Q중단기회사채(A-이상)액티브증권상장지수투자신탁[채권],채권형,20250526,하나자산운용
0053L0,K55301EK0321,미래에셋TIGER차이나휴머노이드로봇증권상장지수투자신탁(주식),주식형,20250523,미래에셋자산운용
