ticker,isin,name,amc,asset_class,pension_eligible,pension_limit,pension_verified,pension_confidence,source_type,source_url,evidence_ref,evidence_grade,evidence_tier,evidence_quote,statutory_basis,statutory_basis_text,delegation_basis,audit_check_method,audit_notes,verified_at,audit_status
0000D0,KR70000D0009,TIGER 엔비디아미국채커버드콜밸런스(합성),미래에셋자산운용,채권,가능,100% (안전자산),Y,높음,증권사·운용사교차검증,https://securities.koreainvestment.com/pension/nwEtcinfo/Notice.jsp?cmd=A_NW_33030View&num=47520,data/regulatory/sources/brokers/koreainvestment/ETF_REITs_LIST_RP_260831.xlsx,E4,3way,한국투자증권 퇴직연금 ETF 상품 현황(2026-08-31 기준) / TIGER 엔비디아미국채커버드콜밸런스(합성) / 0000D0 / 미래에셋 / 퇴직연금 투자한도 1,PSR_ART11_1_5,퇴직연금감독규정 제11조 제1항 제5호 (적립금 운용방법 등 (주식 50% 미만 채권혼합형 100% 안전자산)),PSR_ART9_1_2,금융감독원 DART 투자설명서 1배수 파생평가액 한도 및 주식한도 대조 (증권사·운용사교차검증),한국투자증권 퇴직연금 ETF 상품 현황(2026-08-31 기준) 위험자산한도 1 대조 및 규제엔진 2자 합치 일치,2026-09-06,PASS (공식 검증 완료)
0000H0,KR70000H0005,KODEX 인도Nifty미드캡100,삼성자산운용,주식-해외,가능,70% (위험자산),Y,높음,증권사·운용사교차검증,https://securities.koreainvestment.com/pension/nwEtcinfo/Notice.jsp?cmd=A_NW_33030View&num=47520,data/regulatory/sources/brokers/koreainvestment/ETF_REITs_LIST_RP_260831.xlsx,E4,3way,삼성자산운용 KODEX 공시 [0000H0 / KODEX 인도Nifty미드캡100 / ivPsbReti: 70%] & 한국투자증권 공시 [0000H0 / KODEX 인도Nifty미드캡100 / 위험자산한도: 0.7],MOEL_WRBA_RULE_ART10_1_2,근로자퇴직급여 보장법 시행규칙 제10조 제1항 제2호 (위험자산의 범위 및 운용기준 (DC 및 IRP 위험자산 투자한도 70%)),ED_WRBA_ART26_1_2,공식 출처 대조 (증권사·운용사교차검증),삼성자산운용 KODEX 연금투자 공시 [stkTicker: 0000H0 / ivPsbReti: 70%] 및 한국투자증권 공시 [단축코드: 0000H0 / 위험자산한도: 0.7] 100% 교차 일치,2026-09-06,PASS (공식 검증 완료)
0000J0,KR70000J0003,PLUS 한화그룹주,한화자산운용,주식-국내,가능,70% (위험자산),Y,높음,증권사·운용사교차검증,https://dis.kofia.or.kr/websquare/index.jsp?w2xPath=/wq/fundann/DISFundFeeCMS.xml&divisionId=MDIS01005001000000&serviceId=SDIS01005001000,data/regulatory/sources/kofia_evidence_extract_20260905.xml,E3,3way,한화PLUS한화그룹주증권상장지수투자신탁(주식) / 펀드유형: 주식형 / 표준코드: K55213EG3153 / 기준일: 20241223,MOEL_WRBA_RULE_ART10_1_2,근로자퇴직급여 보장법 시행규칙 제10조 제1항 제2호 (위험자산의 범위 및 운용기준 (DC 및 IRP 위험자산 투자한도 70%)),ED_WRBA_ART26_1_2,공식 출처 대조 (증권사·운용사교차검증),KOFIA 펀드유형: 주식형 (근로자퇴직급여 보장법 시행규칙 제10조 제1항 제2호: 주식형 집합투자증권 위험자산 70% 한도),2026-09-05,PASS (공식 검증 완료)
0000Y0,KR70000Y0004,HK 26-12 회사채(AA-이상)액티브,기타,채권,가능,100% (안전자산),Y,높음,협회공시대조,https://dis.kofia.or.kr/websquare/index.jsp?w2xPath=/wq/fundann/DISFundFeeCMS.xml&divisionId=MDIS01005001000000&serviceId=SDIS01005001000,data/regulatory/sources/kofia_evidence_extract_20260905.xml,E3,1way,흥국HK26-12회사채(AA-이상)액티브증권상장지수투자신탁[채권] / 펀드유형: 채권형 / 표준코드: K55224EH0304 / 기준일: 20241223,PSR_ART11_1_4,퇴직연금감독규정 제11조 제1항 제4호 (적립금 운용방법 등 (원리금보장 및 채권형 등 100% 안전자산)),,금융투자협회 전자공시서비스(DIS) 표준 펀드유형 '채권형' XML 전수 대조,KOFIA 펀드유형: 채권형 (퇴직연금감독규정 제11조 제1항 제4호: 원리금보장 및 채권형 안전자산 (100% 편입 가능)),2026-09-05,PASS (공식 검증 완료)
0000Z0,KR70000Z0003,RISE 바이오TOP10액티브,KB자산운용,주식-국내,가능,70% (위험자산),Y,높음,증권사·운용사교차검증,https://dis.kofia.or.kr/websquare/index.jsp?w2xPath=/wq/fundann/DISFundFeeCMS.xml&divisionId=MDIS01005001000000&serviceId=SDIS01005001000,data/regulatory/sources/kofia_evidence_extract_20260905.xml,E3,3way,KBRISE바이오TOP10액티브증권상장지수투자신탁(주식) / 펀드유형: 주식형 / 표준코드: K55223EG4761 / 기준일: 20241223,MOEL_WRBA_RULE_ART10_1_2,근로자퇴직급여 보장법 시행규칙 제10조 제1항 제2호 (위험자산의 범위 및 운용기준 (DC 및 IRP 위험자산 투자한도 70%)),ED_WRBA_ART26_1_2,공식 출처 대조 (증권사·운용사교차검증),KOFIA 펀드유형: 주식형 (근로자퇴직급여 보장법 시행규칙 제10조 제1항 제2호: 주식형 집합투자증권 위험자산 70% 한도),2026-09-05,PASS (공식 검증 완료)
0001P0,KR70001P0004,마이티 바이오시밀러&CDMO액티브,현대자산운용,주식-국내,가능,70% (위험자산),Y,높음,협회공시대조,https://dis.kofia.or.kr/websquare/index.jsp?w2xPath=/wq/fundann/DISFundFeeCMS.xml&divisionId=MDIS01005001000000&serviceId=SDIS01005001000,data/regulatory/sources/kofia_evidence_extract_20260905.xml,E3,1way,DB마이티바이오시밀러&amp;CDMO액티브증권상장지수투자신탁[주식] / 펀드유형: 주식형 / 표준코드: K55216EG6021 / 기준일: 20241220,MOEL_WRBA_RULE_ART10_1_2,근로자퇴직급여 보장법 시행규칙 제10조 제1항 제2호 (위험자산의 범위 및 운용기준 (DC 및 IRP 위험자산 투자한도 70%)),ED_WRBA_ART26_1_2,금융투자협회 전자공시서비스(DIS) 표준 펀드유형 '주식형' XML 전수 대조 (시행규칙 제10조제1항제2호 한도 70%),KOFIA 펀드유형: 주식형 (근로자퇴직급여 보장법 시행규칙 제10조 제1항 제2호: 주식형 집합투자증권 위험자산 70% 한도),2026-09-05,PASS (공식 검증 완료)
0002C0,KR70002C0008,에셋플러스 인도일등기업포커스20액티브,에셋플러스자산운용,주식-해외,가능,70% (위험자산),Y,높음,협회공시대조,https://dis.kofia.or.kr/websquare/index.jsp?w2xPath=/wq/fundann/DISFundFeeCMS.xml&divisionId=MDIS01005001000000&serviceId=SDIS01005001000,data/regulatory/sources/kofia_evidence_extract_20260905.xml,E3,1way,에셋플러스에셋플러스인도일등기업포커스20액티브증권상장지수투자신탁(주식) / 펀드유형: 주식형 / 표준코드: K55364ED4870 / 기준일: 20250221,MOEL_WRBA_RULE_ART10_1_2,근로자퇴직급여 보장법 시행규칙 제10조 제1항 제2호 (위험자산의 범위 및 운용기준 (DC 및 IRP 위험자산 투자한도 70%)),ED_WRBA_ART26_1_2,금융투자협회 전자공시서비스(DIS) 표준 펀드유형 '주식형' XML 전수 대조 (시행규칙 제10조제1항제2호 한도 70%),KOFIA 펀드유형: 주식형 (근로자퇴직급여 보장법 시행규칙 제10조 제1항 제2호: 주식형 집합투자증권 위험자산 70% 한도),2026-09-05,PASS (공식 검증 완료)
0004G0,KR70004G0002,1Q 미국배당TOP30,하나자산운용,주식-해외,가능,70% (위험자산),Y,높음,협회공시대조,https://dis.kofia.or.kr/websquare/index.jsp?w2xPath=/wq/fundann/DISFundFeeCMS.xml&divisionId=MDIS01005001000000&serviceId=SDIS01005001000,data/regulatory/sources/kofia_evidence_extract_20260905.xml,E3,1way,하나1Q미국배당TOP30증권상장지수투자신탁[주식] / 펀드유형: 주식형 / 표준코드: K55102EG6572 / 기준일: 20250117,MOEL_WRBA_RULE_ART10_1_2,근로자퇴직급여 보장법 시행규칙 제10조 제1항 제2호 (위험자산의 범위 및 운용기준 (DC 및 IRP 위험자산 투자한도 70%)),ED_WRBA_ART26_1_2,금융투자협회 전자공시서비스(DIS) 표준 펀드유형 '주식형' XML 전수 대조 (시행규칙 제10조제1항제2호 한도 70%),KOFIA 펀드유형: 주식형 (근로자퇴직급여 보장법 시행규칙 제10조 제1항 제2호: 주식형 집합투자증권 위험자산 70% 한도),2026-09-05,PASS (공식 검증 완료)
0005A0,KR70005A0007,KODEX 미국S&P500데일리커버드콜OTM,삼성자산운용,주식-해외,가능,70% (위험자산),Y,높음,증권사·운용사교차검증,https://securities.koreainvestment.com/pension/nwEtcinfo/Notice.jsp?cmd=A_NW_33030View&num=47520,data/regulatory/sources/brokers/koreainvestment/ETF_REITs_LIST_RP_260831.xlsx,E4,3way,삼성자산운용 KODEX 공시 [0005A0 / KODEX 미국S&P500데일리커버드콜OTM / ivPsbReti: 70%] & 한국투자증권 공시 [0005A0 / KODEX 미국S&P500데일리커버드콜OTM / 위험자산한도: 0.7],MOEL_WRBA_RULE_ART10_1_2,근로자퇴직급여 보장법 시행규칙 제10조 제1항 제2호 (위험자산의 범위 및 운용기준 (DC 및 IRP 위험자산 투자한도 70%)),ED_WRBA_ART26_1_2,공식 출처 대조 (증권사·운용사교차검증),삼성자산운용 KODEX 연금투자 공시 [stkTicker: 0005A0 / ivPsbReti: 70%] 및 한국투자증권 공시 [단축코드: 0005A0 / 위험자산한도: 0.7] 100% 교차 일치,2026-09-06,PASS (공식 검증 완료)
0005C0,KR70005C0005,RISE 미국S&P500엔화노출(합성 H),KB자산운용,주식-해외,가능,70% (위험자산),Y,높음,증권사·운용사교차검증,https://securities.koreainvestment.com/pension/nwEtcinfo/Notice.jsp?cmd=A_NW_33030View&num=47520,data/regulatory/sources/brokers/koreainvestment/ETF_REITs_LIST_RP_260831.xlsx,E4,3way,한국투자증권 퇴직연금 ETF 상품 현황(2026-08-31 기준) / RISE 미국S&P500엔화노출(합성 H) / 0005C0 / KB / 퇴직연금 투자한도 0.7,MOEL_WRBA_RULE_ART10_1_2,근로자퇴직급여 보장법 시행규칙 제10조 제1항 제2호 (위험자산의 범위 및 운용기준 (DC 및 IRP 위험자산 투자한도 70%)),ED_WRBA_ART26_1_2,공식 출처 대조 (증권사·운용사교차검증),한국투자증권 퇴직연금 ETF 상품 현황(2026-08-31 기준) 위험자산한도 0.7 대조 및 규제엔진 2자 합치 일치,2026-09-06,PASS (공식 검증 완료)
