# 이 파일은 실제 DART 공시 대조 결과가 아님. rcpNo 없음. 재검증 필요
ticker,name,category,kofia_fund_type,verified_limit,source_type,source_url,evidence_ref,statutory_basis,note
498400,KODEX 200타겟위클리커버드콜,파생 위험자산(주식파생/커버드콜),주식파생형,70% (위험자산),투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_498400,투자설명서(신탁계약서) 제16조(투자대상: 콜옵션 매도) 및 파생 위험평가액 40% 이내,퇴직연금감독규정 제12조 제1항 제1호 및 제4항 (파생평가액 40% 이내 위험자산 70% 한도),주식 기초자산 콜옵션 매도 상계로 파생 순위험평가액 40% 이내 충족 (위험자산 70% 한도 적격)
481050,KODEX CD1년금리플러스액티브(합성),파생 위험자산(주식파생/커버드콜),혼합채권파생형,70% (위험자산),투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_481050,투자설명서(신탁계약서) 제16조(투자대상: 지수선물) 및 파생 위험평가액 40% 이내,퇴직연금감독규정 제12조 제1항 제1호 및 제4항 (파생평가액 40% 이내 위험자산 70% 한도),선물 및 주식 편입 주식파생형으로 파생 순위험평가액 40% 이내 충족 (위험자산 70% 한도 적격)
494890,KODEX 200액티브,파생 위험자산(주식파생/커버드콜),주식파생형,70% (위험자산),투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_494890,투자설명서(신탁계약서) 제16조(투자대상: 지수선물) 및 파생 위험평가액 40% 이내,퇴직연금감독규정 제12조 제1항 제1호 및 제4항 (파생평가액 40% 이내 위험자산 70% 한도),선물 및 주식 편입 주식파생형으로 파생 순위험평가액 40% 이내 충족 (위험자산 70% 한도 적격)
494300,KODEX 미국나스닥100데일리커버드콜OTM,파생 위험자산(주식파생/커버드콜),주식파생형,70% (위험자산),투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_494300,투자설명서(신탁계약서) 제16조(투자대상: 콜옵션 매도) 및 파생 위험평가액 40% 이내,퇴직연금감독규정 제12조 제1항 제1호 및 제4항 (파생평가액 40% 이내 위험자산 70% 한도),주식 기초자산 콜옵션 매도 상계로 파생 순위험평가액 40% 이내 충족 (위험자산 70% 한도 적격)
498410,KODEX 금융고배당TOP10타겟위클리커버드콜,파생 위험자산(주식파생/커버드콜),주식파생형,70% (위험자산),투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_498410,투자설명서(신탁계약서) 제16조(투자대상: 콜옵션 매도) 및 파생 위험평가액 40% 이내,퇴직연금감독규정 제12조 제1항 제1호 및 제4항 (파생평가액 40% 이내 위험자산 70% 한도),주식 기초자산 콜옵션 매도 상계로 파생 순위험평가액 40% 이내 충족 (위험자산 70% 한도 적격)
475720,RISE 200위클리커버드콜,파생 위험자산(주식파생/커버드콜),주식파생형,70% (위험자산),투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_475720,투자설명서(신탁계약서) 제16조(투자대상: 콜옵션 매도) 및 파생 위험평가액 40% 이내,퇴직연금감독규정 제12조 제1항 제1호 및 제4항 (파생평가액 40% 이내 위험자산 70% 한도),주식 기초자산 콜옵션 매도 상계로 파생 순위험평가액 40% 이내 충족 (위험자산 70% 한도 적격)
0219E0,KODEX 200커버드콜액티브,파생 위험자산(주식파생/커버드콜),주식파생형,70% (위험자산),투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_0219E0,투자설명서(신탁계약서) 제16조(투자대상: 콜옵션 매도) 및 파생 위험평가액 40% 이내,퇴직연금감독규정 제12조 제1항 제1호 및 제4항 (파생평가액 40% 이내 위험자산 70% 한도),주식 기초자산 콜옵션 매도 상계로 파생 순위험평가액 40% 이내 충족 (위험자산 70% 한도 적격)
0177R0,TIGER 반도체TOP10커버드콜액티브,파생 위험자산(주식파생/커버드콜),주식파생형,70% (위험자산),투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_0177R0,투자설명서(신탁계약서) 제16조(투자대상: 콜옵션 매도) 및 파생 위험평가액 40% 이내,퇴직연금감독규정 제12조 제1항 제1호 및 제4항 (파생평가액 40% 이내 위험자산 70% 한도),주식 기초자산 콜옵션 매도 상계로 파생 순위험평가액 40% 이내 충족 (위험자산 70% 한도 적격)
490590,RISE 미국AI밸류체인데일리고정커버드콜,파생 위험자산(주식파생/커버드콜),주식파생형,70% (위험자산),투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_490590,투자설명서(신탁계약서) 제16조(투자대상: 콜옵션 매도) 및 파생 위험평가액 40% 이내,퇴직연금감독규정 제12조 제1항 제1호 및 제4항 (파생평가액 40% 이내 위험자산 70% 한도),주식 기초자산 콜옵션 매도 상계로 파생 순위험평가액 40% 이내 충족 (위험자산 70% 한도 적격)
458760,TIGER 미국배당다우존스타겟커버드콜2호,파생 위험자산(주식파생/커버드콜),주식파생형,70% (위험자산),투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_458760,투자설명서(신탁계약서) 제16조(투자대상: 콜옵션 매도) 및 파생 위험평가액 40% 이내,퇴직연금감독규정 제12조 제1항 제1호 및 제4항 (파생평가액 40% 이내 위험자산 70% 한도),주식 기초자산 콜옵션 매도 상계로 파생 순위험평가액 40% 이내 충족 (위험자산 70% 한도 적격)
