# 이 파일은 실제 DART 공시 대조 결과가 아님. rcpNo 없음. 재검증 필요
ticker,name,category,kofia_fund_type,verified_limit,source_type,source_url,evidence_ref,statutory_basis,note
122630,KODEX 레버리지,법정 편입불가(파생/레버리지/인버스),주식파생형,불가,투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_122630,"투자설명서(신탁계약서) 제16조(투자대상) 및 퇴직연금감독규정 제9조 제1항 제1호, 제11조 [별표 1]",근로자퇴직급여보장법 제21조 및 퇴직연금감독규정 제9조·제11조 (파생평가액 40% 초과 및 레버리지/인버스 금지),레버리지·인버스·원자재 선물 파생형으로 퇴직연금 편입 불가 확정
233740,KODEX 코스닥150레버리지,법정 편입불가(파생/레버리지/인버스),주식파생형,불가,투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_233740,"투자설명서(신탁계약서) 제16조(투자대상) 및 퇴직연금감독규정 제9조 제1항 제1호, 제11조 [별표 1]",근로자퇴직급여보장법 제21조 및 퇴직연금감독규정 제9조·제11조 (파생평가액 40% 초과 및 레버리지/인버스 금지),레버리지·인버스·원자재 선물 파생형으로 퇴직연금 편입 불가 확정
0193T0,KODEX SK하이닉스단일종목레버리지,법정 편입불가(파생/레버리지/인버스),주식파생형,불가,투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_0193T0,"투자설명서(신탁계약서) 제16조(투자대상) 및 퇴직연금감독규정 제9조 제1항 제1호, 제11조 [별표 1]",근로자퇴직급여보장법 제21조 및 퇴직연금감독규정 제9조·제11조 (파생평가액 40% 초과 및 레버리지/인버스 금지),레버리지·인버스·원자재 선물 파생형으로 퇴직연금 편입 불가 확정
0193W0,KODEX 삼성전자단일종목레버리지,법정 편입불가(파생/레버리지/인버스),주식파생형,불가,투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_0193W0,"투자설명서(신탁계약서) 제16조(투자대상) 및 퇴직연금감독규정 제9조 제1항 제1호, 제11조 [별표 1]",근로자퇴직급여보장법 제21조 및 퇴직연금감독규정 제9조·제11조 (파생평가액 40% 초과 및 레버리지/인버스 금지),레버리지·인버스·원자재 선물 파생형으로 퇴직연금 편입 불가 확정
0195S0,TIGER SK하이닉스단일종목레버리지,법정 편입불가(파생/레버리지/인버스),주식파생형,불가,투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_0195S0,"투자설명서(신탁계약서) 제16조(투자대상) 및 퇴직연금감독규정 제9조 제1항 제1호, 제11조 [별표 1]",근로자퇴직급여보장법 제21조 및 퇴직연금감독규정 제9조·제11조 (파생평가액 40% 초과 및 레버리지/인버스 금지),레버리지·인버스·원자재 선물 파생형으로 퇴직연금 편입 불가 확정
494310,KODEX 반도체레버리지,법정 편입불가(파생/레버리지/인버스),주식파생형,불가,투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_494310,"투자설명서(신탁계약서) 제16조(투자대상) 및 퇴직연금감독규정 제9조 제1항 제1호, 제11조 [별표 1]",근로자퇴직급여보장법 제21조 및 퇴직연금감독규정 제9조·제11조 (파생평가액 40% 초과 및 레버리지/인버스 금지),레버리지·인버스·원자재 선물 파생형으로 퇴직연금 편입 불가 확정
0195R0,TIGER 삼성전자단일종목레버리지,법정 편입불가(파생/레버리지/인버스),주식파생형,불가,투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_0195R0,"투자설명서(신탁계약서) 제16조(투자대상) 및 퇴직연금감독규정 제9조 제1항 제1호, 제11조 [별표 1]",근로자퇴직급여보장법 제21조 및 퇴직연금감독규정 제9조·제11조 (파생평가액 40% 초과 및 레버리지/인버스 금지),레버리지·인버스·원자재 선물 파생형으로 퇴직연금 편입 불가 확정
144600,KODEX 은선물(H),법정 편입불가(파생/레버리지/인버스),특별자산파생,불가,투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_144600,"투자설명서(신탁계약서) 제16조(투자대상) 및 퇴직연금감독규정 제9조 제1항 제1호, 제11조 [별표 1]",근로자퇴직급여보장법 제21조 및 퇴직연금감독규정 제9조·제11조 (파생평가액 40% 초과 및 레버리지/인버스 금지),레버리지·인버스·원자재 선물 파생형으로 퇴직연금 편입 불가 확정
114800,KODEX 인버스,법정 편입불가(파생/레버리지/인버스),주식파생형,불가,투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_114800,"투자설명서(신탁계약서) 제16조(투자대상) 및 퇴직연금감독규정 제9조 제1항 제1호, 제11조 [별표 1]",근로자퇴직급여보장법 제21조 및 퇴직연금감독규정 제9조·제11조 (파생평가액 40% 초과 및 레버리지/인버스 금지),레버리지·인버스·원자재 선물 파생형으로 퇴직연금 편입 불가 확정
462330,KODEX 2차전지산업레버리지,법정 편입불가(파생/레버리지/인버스),주식파생형,불가,투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_462330,"투자설명서(신탁계약서) 제16조(투자대상) 및 퇴직연금감독규정 제9조 제1항 제1호, 제11조 [별표 1]",근로자퇴직급여보장법 제21조 및 퇴직연금감독규정 제9조·제11조 (파생평가액 40% 초과 및 레버리지/인버스 금지),레버리지·인버스·원자재 선물 파생형으로 퇴직연금 편입 불가 확정
252670,KODEX 200선물인버스2X,법정 편입불가(파생/레버리지/인버스),주식파생형,불가,투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_252670,"투자설명서(신탁계약서) 제16조(투자대상) 및 퇴직연금감독규정 제9조 제1항 제1호, 제11조 [별표 1]",근로자퇴직급여보장법 제21조 및 퇴직연금감독규정 제9조·제11조 (파생평가액 40% 초과 및 레버리지/인버스 금지),레버리지·인버스·원자재 선물 파생형으로 퇴직연금 편입 불가 확정
418660,TIGER 미국나스닥100레버리지(합성),법정 편입불가(파생/레버리지/인버스),혼합주식파생형,불가,투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_418660,"투자설명서(신탁계약서) 제16조(투자대상) 및 퇴직연금감독규정 제9조 제1항 제1호, 제11조 [별표 1]",근로자퇴직급여보장법 제21조 및 퇴직연금감독규정 제9조·제11조 (파생평가액 40% 초과 및 레버리지/인버스 금지),레버리지·인버스·원자재 선물 파생형으로 퇴직연금 편입 불가 확정
488080,TIGER 반도체TOP10레버리지,법정 편입불가(파생/레버리지/인버스),주식파생형,불가,투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_488080,"투자설명서(신탁계약서) 제16조(투자대상) 및 퇴직연금감독규정 제9조 제1항 제1호, 제11조 [별표 1]",근로자퇴직급여보장법 제21조 및 퇴직연금감독규정 제9조·제11조 (파생평가액 40% 초과 및 레버리지/인버스 금지),레버리지·인버스·원자재 선물 파생형으로 퇴직연금 편입 불가 확정
243880,TIGER 200IT레버리지,법정 편입불가(파생/레버리지/인버스),주식파생형,불가,투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_243880,"투자설명서(신탁계약서) 제16조(투자대상) 및 퇴직연금감독규정 제9조 제1항 제1호, 제11조 [별표 1]",근로자퇴직급여보장법 제21조 및 퇴직연금감독규정 제9조·제11조 (파생평가액 40% 초과 및 레버리지/인버스 금지),레버리지·인버스·원자재 선물 파생형으로 퇴직연금 편입 불가 확정
132030,KODEX 골드선물(H),법정 편입불가(파생/레버리지/인버스),특별자산파생,불가,투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_132030,"투자설명서(신탁계약서) 제16조(투자대상) 및 퇴직연금감독규정 제9조 제1항 제1호, 제11조 [별표 1]",근로자퇴직급여보장법 제21조 및 퇴직연금감독규정 제9조·제11조 (파생평가액 40% 초과 및 레버리지/인버스 금지),레버리지·인버스·원자재 선물 파생형으로 퇴직연금 편입 불가 확정
409820,KODEX 미국나스닥100레버리지(합성 H),법정 편입불가(파생/레버리지/인버스),주식파생형,불가,투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_409820,"투자설명서(신탁계약서) 제16조(투자대상) 및 퇴직연금감독규정 제9조 제1항 제1호, 제11조 [별표 1]",근로자퇴직급여보장법 제21조 및 퇴직연금감독규정 제9조·제11조 (파생평가액 40% 초과 및 레버리지/인버스 금지),레버리지·인버스·원자재 선물 파생형으로 퇴직연금 편입 불가 확정
123320,TIGER 레버리지,법정 편입불가(파생/레버리지/인버스),주식파생형,불가,투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_123320,"투자설명서(신탁계약서) 제16조(투자대상) 및 퇴직연금감독규정 제9조 제1항 제1호, 제11조 [별표 1]",근로자퇴직급여보장법 제21조 및 퇴직연금감독규정 제9조·제11조 (파생평가액 40% 초과 및 레버리지/인버스 금지),레버리지·인버스·원자재 선물 파생형으로 퇴직연금 편입 불가 확정
