ticker,name,equity_limit_cap,verified_limit,source_type,source_url,evidence_ref,statutory_basis,note
0015E0,KIWOOM 엔비디아미국30년국채혼합액티브(H),40% 이하 (30% 타깃),100% (안전자산),투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_0015E0,투자설명서(신탁계약서) 집합투자규약 제16조(투자대상 및 투자비율) 주식 40% 이하(단일종목/TRF 30% 타깃),퇴직연금감독규정 제12조 제1항 제2호 (금융위원회 고시 제2023-56호),주식 편입한도 40% 이하 (퇴직연금감독규정 제12조제1항제2호 충족 안전자산)
0015F0,KIWOOM 팔란티어미국30년국채혼합액티브(H),40% 이하 (30% 타깃),100% (안전자산),투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_0015F0,투자설명서(신탁계약서) 집합투자규약 제16조(투자대상 및 투자비율) 주식 40% 이하(단일종목/TRF 30% 타깃),퇴직연금감독규정 제12조 제1항 제2호 (금융위원회 고시 제2023-56호),주식 편입한도 40% 이하 (퇴직연금감독규정 제12조제1항제2호 충족 안전자산)
0019K0,TIME 미국나스닥100채권혼합50액티브,50% 미만,100% (안전자산),투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_0019K0,투자설명서(신탁계약서) 집합투자규약 제16조(투자대상 및 투자비율) 주식 50% 미만,퇴직연금감독규정 제12조 제1항 제2호 (금융위원회 고시 제2023-56호),주식 편입한도 50% 미만 (퇴직연금감독규정 제12조제1항제2호 개정 금융위 고시 제2023-56호 충족 적격 안전자산)
0049K0,ACE 미국배당퀄리티채권혼합50,50% 미만,100% (안전자산),투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_0049K0,투자설명서(신탁계약서) 집합투자규약 제16조(투자대상 및 투자비율) 주식 50% 미만,퇴직연금감독규정 제12조 제1항 제2호 (금융위원회 고시 제2023-56호),주식 편입한도 50% 미만 (퇴직연금감독규정 제12조제1항제2호 개정 금융위 고시 제2023-56호 충족 적격 안전자산)
0052S0,1Q 미국S&P500미국채혼합50액티브,50% 미만,100% (안전자산),투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_0052S0,투자설명서(신탁계약서) 집합투자규약 제16조(투자대상 및 투자비율) 주식 50% 미만,퇴직연금감독규정 제12조 제1항 제2호 (금융위원회 고시 제2023-56호),주식 편입한도 50% 미만 (퇴직연금감독규정 제12조제1항제2호 개정 금융위 고시 제2023-56호 충족 적격 안전자산)
0080X0,SOL 미국S&P500미국채혼합50,50% 미만,100% (안전자산),투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_0080X0,투자설명서(신탁계약서) 집합투자규약 제16조(투자대상 및 투자비율) 주식 50% 미만,퇴직연금감독규정 제12조 제1항 제2호 (금융위원회 고시 제2023-56호),주식 편입한도 50% 미만 (퇴직연금감독규정 제12조제1항제2호 개정 금융위 고시 제2023-56호 충족 적격 안전자산)
0089B0,PLUS 미국나스닥100미국채혼합50,50% 미만,100% (안전자산),투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_0089B0,투자설명서(신탁계약서) 집합투자규약 제16조(투자대상 및 투자비율) 주식 50% 미만,퇴직연금감독규정 제12조 제1항 제2호 (금융위원회 고시 제2023-56호),주식 편입한도 50% 미만 (퇴직연금감독규정 제12조제1항제2호 개정 금융위 고시 제2023-56호 충족 적격 안전자산)
0104H0,KoAct 미국나스닥채권혼합50액티브,50% 미만,100% (안전자산),투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_0104H0,투자설명서(신탁계약서) 집합투자규약 제16조(투자대상 및 투자비율) 주식 50% 미만,퇴직연금감독규정 제12조 제1항 제2호 (금융위원회 고시 제2023-56호),주식 편입한도 50% 미만 (퇴직연금감독규정 제12조제1항제2호 개정 금융위 고시 제2023-56호 충족 적격 안전자산)
0111P0,1Q 미국나스닥100미국채혼합50액티브,50% 미만,100% (안전자산),투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_0111P0,투자설명서(신탁계약서) 집합투자규약 제16조(투자대상 및 투자비율) 주식 50% 미만,퇴직연금감독규정 제12조 제1항 제2호 (금융위원회 고시 제2023-56호),주식 편입한도 50% 미만 (퇴직연금감독규정 제12조제1항제2호 개정 금융위 고시 제2023-56호 충족 적격 안전자산)
0162Z0,RISE 삼성전자SK하이닉스채권혼합50,50% 미만,100% (안전자산),투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_0162Z0,투자설명서(신탁계약서) 집합투자규약 제16조(투자대상 및 투자비율) 주식 50% 미만,퇴직연금감독규정 제12조 제1항 제2호 (금융위원회 고시 제2023-56호),주식 편입한도 50% 미만 (퇴직연금감독규정 제12조제1항제2호 개정 금융위 고시 제2023-56호 충족 적격 안전자산)
0177N0,KODEX 삼성전자SK하이닉스채권혼합50,50% 미만,100% (안전자산),투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_0177N0,투자설명서(신탁계약서) 집합투자규약 제16조(투자대상 및 투자비율) 주식 50% 미만,퇴직연금감독규정 제12조 제1항 제2호 (금융위원회 고시 제2023-56호),주식 편입한도 50% 미만 (퇴직연금감독규정 제12조제1항제2호 개정 금융위 고시 제2023-56호 충족 적격 안전자산)
0178H0,IBK 미국AI TOP10국채혼합50,50% 미만,100% (안전자산),투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_0178H0,투자설명서(신탁계약서) 집합투자규약 제16조(투자대상 및 투자비율) 주식 50% 미만,퇴직연금감독규정 제12조 제1항 제2호 (금융위원회 고시 제2023-56호),주식 편입한도 50% 미만 (퇴직연금감독규정 제12조제1항제2호 개정 금융위 고시 제2023-56호 충족 적격 안전자산)
0182S0,1Q K반도체TOP2채권혼합50,50% 미만,100% (안전자산),투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_0182S0,투자설명서(신탁계약서) 집합투자규약 제16조(투자대상 및 투자비율) 주식 50% 미만,퇴직연금감독규정 제12조 제1항 제2호 (금융위원회 고시 제2023-56호),주식 편입한도 50% 미만 (퇴직연금감독규정 제12조제1항제2호 개정 금융위 고시 제2023-56호 충족 적격 안전자산)
0183V0,KIWOOM 삼성전자&SK하이닉스채권혼합50,50% 미만,100% (안전자산),투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_0183V0,투자설명서(신탁계약서) 집합투자규약 제16조(투자대상 및 투자비율) 주식 50% 미만,퇴직연금감독규정 제12조 제1항 제2호 (금융위원회 고시 제2023-56호),주식 편입한도 50% 미만 (퇴직연금감독규정 제12조제1항제2호 개정 금융위 고시 제2023-56호 충족 적격 안전자산)
0184E0,1Q 200채권혼합50액티브,50% 미만,100% (안전자산),투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_0184E0,투자설명서(신탁계약서) 집합투자규약 제16조(투자대상 및 투자비율) 주식 50% 미만,퇴직연금감독규정 제12조 제1항 제2호 (금융위원회 고시 제2023-56호),주식 편입한도 50% 미만 (퇴직연금감독규정 제12조제1항제2호 개정 금융위 고시 제2023-56호 충족 적격 안전자산)
0186S0,1Q 코스닥150채권혼합50액티브,50% 미만,100% (안전자산),투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_0186S0,투자설명서(신탁계약서) 집합투자규약 제16조(투자대상 및 투자비율) 주식 50% 미만,퇴직연금감독규정 제12조 제1항 제2호 (금융위원회 고시 제2023-56호),주식 편입한도 50% 미만 (퇴직연금감독규정 제12조제1항제2호 개정 금융위 고시 제2023-56호 충족 적격 안전자산)
0192S0,SOL 코스피200채권혼합50,50% 미만,100% (안전자산),투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_0192S0,투자설명서(신탁계약서) 집합투자규약 제16조(투자대상 및 투자비율) 주식 50% 미만,퇴직연금감독규정 제12조 제1항 제2호 (금융위원회 고시 제2023-56호),주식 편입한도 50% 미만 (퇴직연금감독규정 제12조제1항제2호 개정 금융위 고시 제2023-56호 충족 적격 안전자산)
0203S0,WON 삼성전자현대차채권혼합50,50% 미만,100% (안전자산),투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_0203S0,투자설명서(신탁계약서) 집합투자규약 제16조(투자대상 및 투자비율) 주식 50% 미만,퇴직연금감독규정 제12조 제1항 제2호 (금융위원회 고시 제2023-56호),주식 편입한도 50% 미만 (퇴직연금감독규정 제12조제1항제2호 개정 금융위 고시 제2023-56호 충족 적격 안전자산)
0206G0,1Q 현대차기아채권혼합50,50% 미만,100% (안전자산),투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_0206G0,투자설명서(신탁계약서) 집합투자규약 제16조(투자대상 및 투자비율) 주식 50% 미만,퇴직연금감독규정 제12조 제1항 제2호 (금융위원회 고시 제2023-56호),주식 편입한도 50% 미만 (퇴직연금감독규정 제12조제1항제2호 개정 금융위 고시 제2023-56호 충족 적격 안전자산)
0216K0,KIWOOM 미국우주테크TOP2채권혼합50,50% 미만,100% (안전자산),투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_0216K0,투자설명서(신탁계약서) 집합투자규약 제16조(투자대상 및 투자비율) 주식 50% 미만,퇴직연금감독규정 제12조 제1항 제2호 (금융위원회 고시 제2023-56호),주식 편입한도 50% 미만 (퇴직연금감독규정 제12조제1항제2호 개정 금융위 고시 제2023-56호 충족 적격 안전자산)
0220A0,KIWOOM 현대차그룹TOP3채권혼합50,50% 미만,100% (안전자산),투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_0220A0,투자설명서(신탁계약서) 집합투자규약 제16조(투자대상 및 투자비율) 주식 50% 미만,퇴직연금감독규정 제12조 제1항 제2호 (금융위원회 고시 제2023-56호),주식 편입한도 50% 미만 (퇴직연금감독규정 제12조제1항제2호 개정 금융위 고시 제2023-56호 충족 적격 안전자산)
0224X0,1Q 엔비디아알파벳미국채혼합50,50% 미만,100% (안전자산),투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_0224X0,투자설명서(신탁계약서) 집합투자규약 제16조(투자대상 및 투자비율) 주식 50% 미만,퇴직연금감독규정 제12조 제1항 제2호 (금융위원회 고시 제2023-56호),주식 편입한도 50% 미만 (퇴직연금감독규정 제12조제1항제2호 개정 금융위 고시 제2023-56호 충족 적격 안전자산)
183700,RISE 200채권혼합50,50% 미만,100% (안전자산),투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_183700,투자설명서(신탁계약서) 집합투자규약 제16조(투자대상 및 투자비율) 주식 50% 미만,퇴직연금감독규정 제12조 제1항 제2호 (금융위원회 고시 제2023-56호),주식 편입한도 50% 미만 (퇴직연금감독규정 제12조제1항제2호 개정 금융위 고시 제2023-56호 충족 적격 안전자산)
237370,KODEX 코리아배당성장채권혼합,40% 이하 (30% 타깃),100% (안전자산),투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_237370,투자설명서(신탁계약서) 집합투자규약 제16조(투자대상 및 투자비율) 주식 40% 이하(단일종목/TRF 30% 타깃),퇴직연금감독규정 제12조 제1항 제2호 (금융위원회 고시 제2023-56호),주식 편입한도 40% 이하 (퇴직연금감독규정 제12조제1항제2호 충족 안전자산)
241390,RISE V&S셀렉트밸류채권혼합,40% 이하 (30% 타깃),100% (안전자산),투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_241390,투자설명서(신탁계약서) 집합투자규약 제16조(투자대상 및 투자비율) 주식 40% 이하(단일종목/TRF 30% 타깃),퇴직연금감독규정 제12조 제1항 제2호 (금융위원회 고시 제2023-56호),주식 편입한도 40% 이하 (퇴직연금감독규정 제12조제1항제2호 충족 안전자산)
253290,RISE 헬스케어채권혼합,40% 이하 (30% 타깃),100% (안전자산),투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_253290,투자설명서(신탁계약서) 집합투자규약 제16조(투자대상 및 투자비율) 주식 40% 이하(단일종목/TRF 30% 타깃),퇴직연금감독규정 제12조 제1항 제2호 (금융위원회 고시 제2023-56호),주식 편입한도 40% 이하 (퇴직연금감독규정 제12조제1항제2호 충족 안전자산)
329650,KODEX TRF3070,40% 이하 (30% 타깃),100% (안전자산),투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_329650,투자설명서(신탁계약서) 집합투자규약 제16조(투자대상 및 투자비율) 주식 40% 이하(단일종목/TRF 30% 타깃),퇴직연금감독규정 제12조 제1항 제2호 (금융위원회 고시 제2023-56호),주식 편입한도 40% 이하 (퇴직연금감독규정 제12조제1항제2호 충족 안전자산)
435420,TIGER 미국나스닥100채권혼합50,50% 미만,100% (안전자산),투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_435420,투자설명서(신탁계약서) 집합투자규약 제16조(투자대상 및 투자비율) 주식 50% 미만,퇴직연금감독규정 제12조 제1항 제2호 (금융위원회 고시 제2023-56호),주식 편입한도 50% 미만 (퇴직연금감독규정 제12조제1항제2호 개정 금융위 고시 제2023-56호 충족 적격 안전자산)
438080,ACE 미국S&P500미국채혼합50액티브,50% 미만,100% (안전자산),투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_438080,투자설명서(신탁계약서) 집합투자규약 제16조(투자대상 및 투자비율) 주식 50% 미만,퇴직연금감독규정 제12조 제1항 제2호 (금융위원회 고시 제2023-56호),주식 편입한도 50% 미만 (퇴직연금감독규정 제12조제1항제2호 개정 금융위 고시 제2023-56호 충족 적격 안전자산)
438100,ACE 미국나스닥100미국채혼합50액티브,50% 미만,100% (안전자산),투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_438100,투자설명서(신탁계약서) 집합투자규약 제16조(투자대상 및 투자비율) 주식 50% 미만,퇴직연금감독규정 제12조 제1항 제2호 (금융위원회 고시 제2023-56호),주식 편입한도 50% 미만 (퇴직연금감독규정 제12조제1항제2호 개정 금융위 고시 제2023-56호 충족 적격 안전자산)
