# 이 파일은 실제 DART 공시 대조 결과가 아님. rcpNo 없음. 재검증 필요
ticker,name,category,kofia_fund_type,verified_limit,source_type,source_url,evidence_ref,statutory_basis,note
411060,ACE KRX금현물,현물·실물 특별자산,특별자산,70% (위험자산),투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_411060,투자설명서(신탁계약서) 제16조(투자대상: 실물원자재/금·은현물 및 보관창고증권),퇴직연금감독규정 제12조 제1항 제1호 및 제9조 (파생상품이 아닌 실물·현물 기초 특별자산 위험자산 70% 한도 적격),실물 및 현물 기반 특별자산으로 파생 위험평가액 40% 제한에 저촉되지 않으며 위험자산 70% 적격
329200,TIGER 리츠부동산인프라,리츠·부동산인프라,부동산,70% (위험자산),투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_329200,투자설명서(신탁계약서) 제16조(투자대상: 상장부동산투자회사 주식 및 인프라투융자회사 지분),부동산투자회사법 제2조 및 퇴직연금감독규정 제12조 제1항 제1호 (상장 리츠 위험자산 70% 한도 편입 적격),상장 부동산투자회사(리츠) 및 인프라펀드 주식 편입 펀드로 퇴직연금 70% 위험자산 적격
0072R0,TIGER KRX금현물,현물·실물 특별자산,특별자산,70% (위험자산),투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_0072R0,투자설명서(신탁계약서) 제16조(투자대상: 실물원자재/금·은현물 및 보관창고증권),퇴직연금감독규정 제12조 제1항 제1호 및 제9조 (파생상품이 아닌 실물·현물 기초 특별자산 위험자산 70% 한도 적격),실물 및 현물 기반 특별자산으로 파생 위험평가액 40% 제한에 저촉되지 않으며 위험자산 70% 적격
476800,KODEX 한국부동산리츠인프라,리츠·부동산인프라,부동산,70% (위험자산),투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_476800,투자설명서(신탁계약서) 제16조(투자대상: 상장부동산투자회사 주식 및 인프라투융자회사 지분),부동산투자회사법 제2조 및 퇴직연금감독규정 제12조 제1항 제1호 (상장 리츠 위험자산 70% 한도 편입 적격),상장 부동산투자회사(리츠) 및 인프라펀드 주식 편입 펀드로 퇴직연금 70% 위험자산 적격
461490,RISE 글로벌자산배분액티브,적격 공모 재간접,재간접형,70% (위험자산),투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_461490,투자설명서(신탁계약서) 제16조(투자대상: 공모 집합투자증권) 및 피투자펀드 주식/위험비중 60% 이상,퇴직연금감독규정 제12조 제1항 제6호 (피투자펀드 주식비중 60% 이상 공모 재간접 위험자산 70% 한도 적격),공모 펀드 및 ETF를 편입하는 재간접형 집합투자증권으로 퇴직연금 70% 위험자산 적격
160580,TIGER 구리실물,현물·실물 특별자산,특별자산,70% (위험자산),투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_160580,투자설명서(신탁계약서) 제16조(투자대상: 실물원자재/금·은현물 및 보관창고증권),퇴직연금감독규정 제12조 제1항 제1호 및 제9조 (파생상품이 아닌 실물·현물 기초 특별자산 위험자산 70% 한도 적격),실물 및 현물 기반 특별자산으로 파생 위험평가액 40% 제한에 저촉되지 않으며 위험자산 70% 적격
269540,PLUS 미국S&P500(H),적격 공모 재간접,재간접형,70% (위험자산),투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_269540,투자설명서(신탁계약서) 제16조(투자대상: 공모 집합투자증권) 및 피투자펀드 주식/위험비중 60% 이상,퇴직연금감독규정 제12조 제1항 제6호 (피투자펀드 주식비중 60% 이상 공모 재간접 위험자산 70% 한도 적격),공모 펀드 및 ETF를 편입하는 재간접형 집합투자증권으로 퇴직연금 70% 위험자산 적격
329670,KODEX TRF7030,적격 공모 재간접,재간접형,70% (위험자산),투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_329670,투자설명서(신탁계약서) 제16조(투자대상: 공모 집합투자증권) 및 피투자펀드 주식/위험비중 60% 이상,퇴직연금감독규정 제12조 제1항 제6호 (피투자펀드 주식비중 60% 이상 공모 재간접 위험자산 70% 한도 적격),공모 펀드 및 ETF를 편입하는 재간접형 집합투자증권으로 퇴직연금 70% 위험자산 적격
460960,ACE 글로벌인컴TOP10,적격 공모 재간접,재간접형,70% (위험자산),투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_460960,투자설명서(신탁계약서) 제16조(투자대상: 공모 집합투자증권) 및 피투자펀드 주식/위험비중 60% 이상,퇴직연금감독규정 제12조 제1항 제6호 (피투자펀드 주식비중 60% 이상 공모 재간접 위험자산 70% 한도 적격),공모 펀드 및 ETF를 편입하는 재간접형 집합투자증권으로 퇴직연금 70% 위험자산 적격
0049M0,ACE 미국배당퀄리티+커버드콜액티브,적격 공모 재간접,재간접형,70% (위험자산),투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_0049M0,투자설명서(신탁계약서) 제16조(투자대상: 공모 집합투자증권) 및 피투자펀드 주식/위험비중 60% 이상,퇴직연금감독규정 제12조 제1항 제6호 (피투자펀드 주식비중 60% 이상 공모 재간접 위험자산 70% 한도 적격),공모 펀드 및 ETF를 편입하는 재간접형 집합투자증권으로 퇴직연금 70% 위험자산 적격
0113D0,TIME 글로벌탑픽액티브,적격 공모 재간접,재간접형,70% (위험자산),투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_0113D0,투자설명서(신탁계약서) 제16조(투자대상: 공모 집합투자증권) 및 피투자펀드 주식/위험비중 60% 이상,퇴직연금감독규정 제12조 제1항 제6호 (피투자펀드 주식비중 60% 이상 공모 재간접 위험자산 70% 한도 적격),공모 펀드 및 ETF를 편입하는 재간접형 집합투자증권으로 퇴직연금 70% 위험자산 적격
0172V0,1Q 은액티브,현물·실물 특별자산,특별자산,70% (위험자산),투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_0172V0,투자설명서(신탁계약서) 제16조(투자대상: 실물원자재/금·은현물 및 보관창고증권),퇴직연금감독규정 제12조 제1항 제1호 및 제9조 (파생상품이 아닌 실물·현물 기초 특별자산 위험자산 70% 한도 적격),실물 및 현물 기반 특별자산으로 파생 위험평가액 40% 제한에 저촉되지 않으며 위험자산 70% 적격
0086B0,TIGER 리츠부동산인프라TOP10액티브,리츠·부동산인프라,부동산,70% (위험자산),투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_0086B0,투자설명서(신탁계약서) 제16조(투자대상: 상장부동산투자회사 주식 및 인프라투융자회사 지분),부동산투자회사법 제2조 및 퇴직연금감독규정 제12조 제1항 제1호 (상장 리츠 위험자산 70% 한도 편입 적격),상장 부동산투자회사(리츠) 및 인프라펀드 주식 편입 펀드로 퇴직연금 70% 위험자산 적격
0189B0,TIGER 은액티브,현물·실물 특별자산,특별자산,70% (위험자산),투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_0189B0,투자설명서(신탁계약서) 제16조(투자대상: 실물원자재/금·은현물 및 보관창고증권),퇴직연금감독규정 제12조 제1항 제1호 및 제9조 (파생상품이 아닌 실물·현물 기초 특별자산 위험자산 70% 한도 적격),실물 및 현물 기반 특별자산으로 파생 위험평가액 40% 제한에 저촉되지 않으며 위험자산 70% 적격
459750,RISE 글로벌주식분산액티브,적격 공모 재간접,재간접형,70% (위험자산),투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_459750,투자설명서(신탁계약서) 제16조(투자대상: 공모 집합투자증권) 및 피투자펀드 주식/위험비중 60% 이상,퇴직연금감독규정 제12조 제1항 제6호 (피투자펀드 주식비중 60% 이상 공모 재간접 위험자산 70% 한도 적격),공모 펀드 및 ETF를 편입하는 재간접형 집합투자증권으로 퇴직연금 70% 위험자산 적격
387270,TIGER 글로벌이노베이션액티브,적격 공모 재간접,재간접형,70% (위험자산),투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_387270,투자설명서(신탁계약서) 제16조(투자대상: 공모 집합투자증권) 및 피투자펀드 주식/위험비중 60% 이상,퇴직연금감독규정 제12조 제1항 제6호 (피투자펀드 주식비중 60% 이상 공모 재간접 위험자산 70% 한도 적격),공모 펀드 및 ETF를 편입하는 재간접형 집합투자증권으로 퇴직연금 70% 위험자산 적격
475380,RISE 글로벌리얼티인컴,리츠·부동산인프라,부동산,70% (위험자산),투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_475380,투자설명서(신탁계약서) 제16조(투자대상: 상장부동산투자회사 주식 및 인프라투융자회사 지분),부동산투자회사법 제2조 및 퇴직연금감독규정 제12조 제1항 제1호 (상장 리츠 위험자산 70% 한도 편입 적격),상장 부동산투자회사(리츠) 및 인프라펀드 주식 편입 펀드로 퇴직연금 70% 위험자산 적격
0153P0,ACE 리츠부동산인프라액티브,리츠·부동산인프라,부동산,70% (위험자산),투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_0153P0,투자설명서(신탁계약서) 제16조(투자대상: 상장부동산투자회사 주식 및 인프라투융자회사 지분),부동산투자회사법 제2조 및 퇴직연금감독규정 제12조 제1항 제1호 (상장 리츠 위험자산 70% 한도 편입 적격),상장 부동산투자회사(리츠) 및 인프라펀드 주식 편입 펀드로 퇴직연금 70% 위험자산 적격
341850,TIGER 리츠부동산인프라채권,리츠·부동산인프라,부동산,70% (위험자산),투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_341850,투자설명서(신탁계약서) 제16조(투자대상: 상장부동산투자회사 주식 및 인프라투융자회사 지분),부동산투자회사법 제2조 및 퇴직연금감독규정 제12조 제1항 제1호 (상장 리츠 위험자산 70% 한도 편입 적격),상장 부동산투자회사(리츠) 및 인프라펀드 주식 편입 펀드로 퇴직연금 70% 위험자산 적격
