statute_id,statute_name,article,title,effective_date,source_url,evidence_ref,excerpt,verified_at,recheck_due
PSR_ART11_1_4,퇴직연금감독규정,제11조 제1항 제4호,적립금 운용방법 등 (원리금보장 및 채권형 등 100% 안전자산),2023-11-16,https://www.law.go.kr/LSW//admRulInfoP.do?admRulSeq=2100000244795&chrClsCd=010201,data/regulatory/sources/statutes/퇴직연금감독규정_20260905.txt,4. 영 제25조제1항 각호에 따른 원리금보장 운용방법 및 제1호부터 제3호까지의 증권에만 투자하는 집합투자증권등,2026-09-05T15:15:00+09:00,2026-12-04
PSR_ART11_1_5,퇴직연금감독규정,제11조 제1항 제5호,적립금 운용방법 등 (주식 50% 미만 채권혼합형 100% 안전자산),2023-11-16,https://www.law.go.kr/LSW//admRulInfoP.do?admRulSeq=2100000244795&chrClsCd=010201,data/regulatory/sources/statutes/퇴직연금감독규정_20260905.txt,5. 약관 또는 정관상 주식의 투자한도가 집합투자기구 자산총액의 100분의 50 미만인 증권형집합투자증권등(투자적격등급 이외의 채무증권에 대한 투자한도가 100분의 30을 초과하는 것은 제외한다),2026-09-05T15:15:00+09:00,2026-12-04
PSR_ART11_1_6,퇴직연금감독규정,제11조 제1항 제6호,적립금 운용방법 등 (단기금융집합투자기구 MMF 100% 안전자산),2023-11-16,https://www.law.go.kr/LSW//admRulInfoP.do?admRulSeq=2100000244795&chrClsCd=010201,data/regulatory/sources/statutes/퇴직연금감독규정_20260905.txt,6. 「자본시장법」제229조제5호의 단기금융집합투자기구가 발행하는 집합투자증권,2026-09-05T15:15:00+09:00,2026-12-04
PSR_ART11_1_9,퇴직연금감독규정,제11조 제1항 제9호,적립금 운용방법 등 (적격 TDF 100% 안전자산),2023-11-16,https://www.law.go.kr/LSW//admRulInfoP.do?admRulSeq=2100000244795&chrClsCd=010201,data/regulatory/sources/statutes/퇴직연금감독규정_20260905.txt,9. 투자목표시점이 명시되어 있고 이와 연동하여 자산배분 등이 조정되도록 투자설명서 상 운용계획으로 명시되어 있는 집합투자기구로서 감독원장이 정한 기준을 충족한 집합투자증권,2026-09-05T15:15:00+09:00,2026-12-04
PSR_ART9_1_2,퇴직연금감독규정,제9조 제1항 제2호 마목,증권 및 기타 적립금 운용방법의 종류 등 (1배수 상장지수집합투자기구 파생위험평가액 100% 한도 허용),2023-11-16,https://www.law.go.kr/LSW//admRulInfoP.do?admRulSeq=2100000244795&chrClsCd=010201,data/regulatory/sources/statutes/퇴직연금감독규정_20260905.txt,"다만, 「자본시장법」제234조제1항에서 정하는 바에 따라 국내 증권시장에 상장된 상장지수집합투자기구(이하 ""상장지수집합투자기구""라 한다)의 집합투자증권(상장지수집합투자기구가 목표로 하는 지수의 변화에 1배를 초과하거나 음의 배율로 연동하여 운용하는 것은 제외한다)으로서 기초자산 중 증권의 가격 또는 지수에 연동하기 위하여 동법 제5조제3항에서 정하는 장외파생상품(이하, ""장외파생상품""이라 한다)을 중요한 운용수단으로 하는 경우에는 위험평가액이 집합투자기구 자산총액의 100분의 100을 초과하는 것으로 한다.",2026-09-05T15:15:00+09:00,2026-12-04
PSR_ART11_2,퇴직연금감독규정,제11조 제2항,적립금 운용방법 등 (DC 및 IRP 투자 불가 운용방법),2023-11-16,https://www.law.go.kr/LSW//admRulInfoP.do?admRulSeq=2100000244795&chrClsCd=010201,data/regulatory/sources/statutes/퇴직연금감독규정_20260905.txt,② 확정기여형퇴직연금 및 개인형퇴직연금의 경우 다음 각 호의 운용방법에는 투자할 수 없다.,2026-09-05T15:40:00+09:00,2026-12-04
MOEL_WRBA_RULE_ART10_1_2,근로자퇴직급여 보장법 시행규칙,제10조 제1항 제2호,위험자산의 범위 및 운용기준 (DC 및 IRP 위험자산 투자한도 70%),2022-07-12,https://www.law.go.kr/LSW/lsInfoP.do?lsiSeq=243903&chrClsCd=010202,data/regulatory/sources/statutes/근로자퇴직급여보장법시행규칙_20260905.txt,2. 확정기여형퇴직연금제도 및 개인형퇴직연금제도: 가입자별 전체 적립금의 100분의 70,2026-09-05T15:40:00+09:00,2026-12-04
ED_WRBA_ART26_1_2,근로자퇴직급여 보장법 시행령,제26조 제1항 제2호 가목,개인형퇴직연금제도의 적립금 운용방법 등 (위험자산 총투자한도 70% 제한 위임),2024-06-25,https://www.law.go.kr/LSW/lsInfoP.do?lsiSeq=258055&chrClsCd=010202,data/regulatory/sources/statutes/근로자퇴직급여보장법시행령_20260905.txt,가. 제1호 각 목에 따른 운용방법 중 제25조제1항 각 호에 따른 원리금보장 운용방법과 증권에 대한 분산투자 등으로 투자위험을 낮춘 운용방법으로서 금융위원회가 고시하는 운용방법을 제외한 운용방법에 대해서는 고용노동부령으로 정하는 총투자한도 내에서 운용할 것.,2026-09-05T15:17:00+09:00,2026-12-04
FSC_NOT_2023_56,금융위원회고시 제2023-56호,제11조 제1항 제5호 개정,퇴직연금감독규정 일부개정고시 (채권혼합형 주식 투자한도 40% 이하 -> 50% 미만 상향),2023-11-16,https://www.law.go.kr/LSW//admRulInfoP.do?admRulSeq=2100000228308&chrClsCd=010201,data/regulatory/sources/statutes/금융위원회고시_제2023-56호_20231116.txt,5. 약관 또는 정관상 주식의 투자한도가 집합투자기구 자산총액의 100분의 50 미만인 증권형집합투자증권등(투자적격등급 이외의 채무증권에 대한 투자한도가 100분의 30을 초과하는 것은 제외한다),2026-09-05T15:18:00+09:00,2026-12-04
FSC_NOT_2018_23,금융위원회고시 제2018-23호,제11조 제1항 제6호 신설 (현행 제9호),퇴직연금감독규정 일부개정고시 (적격 TDF 퇴직연금 편입 허용),2018-09-07,https://www.law.go.kr/LSW//admRulInfoP.do?admRulSeq=2100000154932&chrClsCd=010201,data/regulatory/sources/statutes/금융위원회고시_제2018-23호_20180907.txt,6. 투자목표시점이 명시되어 있고 이와 연동하여 자산배분 등이 조정되도록 투자설명서 상 운용계획으로 명시되어 있는 집합투자기구로서 감독원장이 정한 기준을 충족한 집합투자증권,2026-09-05T15:19:00+09:00,2026-12-04
