run_date,as_of_date,total_etfs,applicable,coverage_pct,excluded_derivative,excluded_synthetic,excluded_unknown,api_failed,anomaly_dominant,anomaly_drift,anomaly_safe_asset,max_drift_pct,max_drift_ticker
2026-09-08,2026-09-07,1167,891,76.3%,110,99,67,0,0,34,0,15.5,0218J0
2026-09-09,2026-09-07,1167,891,76.3%,110,99,67,0,0,34,0,15.5,0218J0
2026-09-10,2026-09-09,1167,891,76.3%,110,99,67,0,0,34,0,13.87,0218J0
2026-09-11,2026-09-10,1167,891,76.3%,110,99,67,0,0,33,0,15.01,0218J0
2026-09-12,2026-09-11,1168,891,76.3%,111,99,67,0,0,34,0,14.64,0218J0
2026-09-15,2026-09-14,1168,890,76.2%,112,99,67,0,0,35,0,14.58,0218J0
2026-09-16,2026-09-14,1168,6,0.5%,0,99,1,1160,0,0,0,0.0,
2026-09-17,2026-09-16,1171,893,76.3%,111,99,68,0,0,35,0,14.37,0218J0
2026-09-18,2026-09-17,1171,893,76.3%,111,99,68,0,0,35,0,14.03,0218J0
2026-09-19,2026-09-18,1171,893,76.3%,111,99,68,0,0,35,0,14.52,0218J0
2026-09-22,2026-09-21,1171,893,76.3%,111,99,68,0,0,35,0,14.93,0218J0
2026-09-23,2026-09-21,1171,893,76.3%,111,99,68,0,0,35,0,14.93,0218J0
2026-09-24,2026-09-23,1175,895,76.2%,113,99,68,0,0,36,0,14.77,0218J0
