etf_id,ticker,period,as_of_date,target_start_date,actual_start_date,actual_end_date,total_return_pct,net_total_return_pct,return_basis,calculation_status,distribution_event_count,blocking_event_ids,price_observation_count,calculation_version,calculated_at
KR70000D0009,0000D0,1d,2026-09-01,2026-08-31,2026-08-31,2026-09-01,-0.222965,-0.222965,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,2,1,2026-09-01T10:50:08+09:00
KR70000D0009,0000D0,1w,2026-09-01,2026-08-25,2026-08-25,2026-09-01,-0.444939,-0.444939,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,6,1,2026-09-01T10:50:08+09:00
KR70000D0009,0000D0,2w,2026-09-01,2026-08-18,2026-08-18,2026-09-01,-2.959991,-2.959991,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,11,1,2026-09-01T10:50:08+09:00
KR70000D0009,0000D0,1m,2026-09-01,2026-08-01,2026-07-31,2026-09-01,-1.377410,-1.377410,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,22,1,2026-09-01T10:50:08+09:00
KR70000D0009,0000D0,2m,2026-09-01,2026-07-01,2026-07-01,2026-09-01,-11.307105,-11.307105,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,43,1,2026-09-01T10:50:08+09:00
KR70000D0009,0000D0,3m,2026-09-01,2026-06-01,2026-06-01,2026-09-01,-9.687185,-9.687185,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,64,1,2026-09-01T10:50:08+09:00
KR70000D0009,0000D0,6m,2026-09-01,2026-03-01,2026-02-27,2026-09-01,-3.295516,-3.295516,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,126,1,2026-09-01T10:50:08+09:00
KR70000D0009,0000D0,1y,2026-09-01,2025-09-01,2025-09-01,2026-09-01,5.629647,5.629647,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,244,1,2026-09-01T10:50:08+09:00
KR70000D0009,0000D0,2y,2026-09-01,2024-09-01,,2026-09-01,,,market_price_tr_pre_tax_ex_date_reinvested,insufficient_price_history,0,,0,1,2026-09-01T10:50:08+09:00
KR70000D0009,0000D0,3y,2026-09-01,2023-09-01,,2026-09-01,,,market_price_tr_pre_tax_ex_date_reinvested,insufficient_price_history,0,,0,1,2026-09-01T10:50:08+09:00
KR70000D0009,0000D0,ytd,2026-09-01,2025-12-31,2025-12-30,2026-09-01,-1.410002,-1.410002,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,164,1,2026-09-01T10:50:08+09:00
KR70000H0005,0000H0,1d,2026-09-01,2026-08-31,2026-08-31,2026-09-01,0.000000,0.000000,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,2,1,2026-09-01T10:50:08+09:00
KR70000H0005,0000H0,1w,2026-09-01,2026-08-25,2026-08-25,2026-09-01,-0.807601,-0.807601,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,6,1,2026-09-01T10:50:08+09:00
KR70000H0005,0000H0,2w,2026-09-01,2026-08-18,2026-08-18,2026-09-01,-2.384292,-2.384292,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,11,1,2026-09-01T10:50:08+09:00
KR70000H0005,0000H0,1m,2026-09-01,2026-08-01,2026-07-31,2026-09-01,-3.243744,-3.243744,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,22,1,2026-09-01T10:50:08+09:00
KR70000H0005,0000H0,2m,2026-09-01,2026-07-01,2026-07-01,2026-09-01,-10.944298,-10.944298,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,43,1,2026-09-01T10:50:08+09:00
KR70000H0005,0000H0,3m,2026-09-01,2026-06-01,2026-06-01,2026-09-01,-6.359315,-6.359315,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,64,1,2026-09-01T10:50:08+09:00
KR70000H0005,0000H0,6m,2026-09-01,2026-03-01,2026-02-27,2026-09-01,-2.883721,-2.883721,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,126,1,2026-09-01T10:50:08+09:00
KR70000H0005,0000H0,1y,2026-09-01,2025-09-01,2025-09-01,2026-09-01,1.685010,1.685010,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,244,1,2026-09-01T10:50:08+09:00
KR70000H0005,0000H0,2y,2026-09-01,2024-09-01,,2026-09-01,,,market_price_tr_pre_tax_ex_date_reinvested,insufficient_price_history,0,,0,1,2026-09-01T10:50:08+09:00
KR70000H0005,0000H0,3y,2026-09-01,2023-09-01,,2026-09-01,,,market_price_tr_pre_tax_ex_date_reinvested,insufficient_price_history,0,,0,1,2026-09-01T10:50:08+09:00
KR70000H0005,0000H0,ytd,2026-09-01,2025-12-31,2025-12-30,2026-09-01,-4.848706,-4.848706,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,164,1,2026-09-01T10:50:08+09:00
KR70000J0003,0000J0,1d,2026-09-01,2026-08-31,2026-08-31,2026-09-01,-0.581097,-0.581097,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,2,1,2026-09-01T10:50:08+09:00
KR70000J0003,0000J0,1w,2026-09-01,2026-08-25,2026-08-25,2026-09-01,2.214022,2.214022,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,6,1,2026-09-01T10:50:08+09:00
