ticker,shares,nav,bas_dt
0000D0,6250000,8958.95,20260922
0000H0,1150000,10022.09,20260922
0000J0,4000000,27959.53,20260922
0000Y0,1210000,102000.69,20260922
0000Z0,5850000,8016.9,20260922
0001P0,1120000,8455.17,20260922
0002C0,1080000,10107.68,20260922
0004G0,1500000,8591.13,20260922
0005A0,21700000,9297.86,20260922
0005C0,650000,11228.21,20260922
0005D0,10500000,14443.79,20260922
0005G0,3450000,54445.04,20260922
0007F0,63850000,10182.28,20260922
0007G0,3050000,12959.07,20260922
0007N0,800000,112433.91,20260922
0008E0,750000,11513.14,20260922
0008S0,31600000,9508.18,20260922
0008T0,5650000,17379.67,20260922
0013P0,1100000,12278.79,20260922
0013R0,3600000,7782.54,20260922
0015B0,32200000,19492.45,20260922
0015E0,500000,10561.35,20260922
0015F0,1200000,10586.7,20260922
0015K0,700000,6917.44,20260922
0016X0,8212000,51474.51,20260922
0017Y0,869000,93737.19,20260922
0018C0,7600000,10469.14,20260922
0018Z0,1000000,18109.62,20260922
0019K0,43050000,13506.03,20260922
0020H0,2100000,22394.86,20260922
0022T0,5700000,12812.45,20260922
0023A0,17400000,24359.45,20260922
0023B0,2100000,16393.97,20260922
0025N0,65650000,11938.13,20260922
0026E0,1850000,11657.23,20260922
0026S0,27000000,12772.1,20260922
0028X0,1150000,11280.07,20260922
0035T0,4850000,19326.9,20260922
0036R0,5600000,20068.91,20260922
0036Z0,550000,12047.71,20260922
0038A0,18950000,15476.54,20260922
0040S0,2500000,23756.44,20260922
0040X0,18500000,9366.21,20260922
0040Y0,45200000,8005.49,20260922
0041D0,3800000,13979.63,20260922
0041E0,8600000,16278.62,20260922
0043B0,30708000,103716.18,20260922
0043Y0,17200000,19659.0,20260922
0046A0,39560000,9408.9,20260922
0046Y0,4300000,12355.75,20260922
0047A0,15100000,12643.56,20260922
0047N0,700000,9462.16,20260922
0047P0,1550000,14779.61,20260922
0047R0,1650000,15529.34,20260922
0048J0,67050000,13564.82,20260922
0048K0,17900000,7980.33,20260922
0049K0,2450000,11006.74,20260922
0049M0,7050000,11108.74,20260922
0050E0,500000,8235.19,20260922
0051A0,600000,24612.26,20260922
0051G0,12400000,12212.09,20260922
0052D0,21800000,15379.71,20260922
0052S0,28200000,11453.45,20260922
0052T0,1790000,50745.25,20260922
0053L0,26950000,9062.73,20260922
0053M0,450000,12875.21,20260922
0057H0,6800000,11534.45,20260922
0060H0,31400000,12583.36,20260922
0061Z0,14216000,51065.34,20260922
0064K0,13020000,12344.31,20260922
0065G0,2550000,8417.69,20260922
0066W0,7250000,12493.32,20260922
0067V0,2200000,9329.17,20260922
0067Y0,900000,9861.67,20260922
0068M0,900000,11725.23,20260922
0069M0,14400000,13701.29,20260922
0072R0,93350000,12611.31,20260922
0073X0,550000,8826.21,20260922
0074K0,7400000,17051.86,20260922
0078V0,500000,9078.44,20260922
0079X0,350000,9513.42,20260922
0080G0,35000000,10169.29,20260922
0080X0,7000000,10741.95,20260922
0080Y0,12700000,8305.6,20260922
0082F0,700000,10021.09,20260922
0082V0,16750000,11221.36,20260922
0083S0,2800000,11875.04,20260922
0084D0,800000,11310.28,20260922
0084E0,1450000,10035.96,20260922
0085N0,3600000,9624.55,20260922
0085P0,12100000,9535.04,20260922
0086B0,4900000,9519.77,20260922
0086C0,1750000,9828.45,20260922
0087F0,500000,11686.44,20260922
0088N0,1250000,11089.93,20260922
0089B0,2900000,11219.57,20260922
0089C0,3800000,11373.67,20260922
0089D0,16700000,13513.93,20260922
0090B0,1950000,6973.26,20260922
0091C0,19960000,9386.73,20260922
0091M0,12830000,10164.52,20260922
0091P0,35900000,18467.15,20260922
0092B0,8300000,16754.52,20260922
0092C0,4566000,50262.22,20260922
0093A0,5500000,35532.63,20260922
0093B0,850000,12851.47,20260922
0093D0,1300000,18379.87,20260922
0094K0,2806000,99455.86,20260922
0094L0,1400000,7023.39,20260922
0094M0,19950000,17452.5,20260922
0094X0,900000,8328.3,20260922
0097L0,1950000,12525.49,20260922
0098F0,17700000,17068.93,20260922
0098N0,6000000,12963.82,20260922
0098Z0,750000,95646.34,20260922
0099L0,1754000,99528.75,20260922
0100K0,6000000,6085.79,20260922
0101N0,31500000,21396.26,20260922
0102A0,8200000,8876.44,20260922
0102X0,600000,9004.69,20260922
0103T0,2950000,8263.1,20260922
0104G0,2350000,5588.27,20260922
0104H0,12200000,11967.2,20260922
0104N0,10300000,21455.95,20260922
0104P0,1700000,10962.78,20260922
0105D0,1900000,9201.91,20260922
0105E0,41250000,12858.76,20260922
0107F0,2550000,11073.58,20260922
0111J0,4350000,12206.17,20260922
0111P0,28600000,10809.19,20260922
0112X0,1000000,42061.59,20260922
0113D0,5750000,11880.55,20260922
0113G0,900000,11331.45,20260922
0113P0,518000,102574.77,20260922
0114X0,650000,9030.31,20260922
0115C0,2350000,10626.21,20260922
0115D0,25850000,7523.7,20260922
0115E0,4350000,14207.74,20260922
0117L0,85640000,10169.37,20260922
0117V0,53650000,19594.45,20260922
0118S0,4600000,10965.77,20260922
0118Z0,5950000,8818.58,20260922
0119H0,21270000,9905.31,20260922
0120J0,1250000,7672.15,20260922
0122W0,1994000,51062.22,20260922
0123G0,20700000,6137.36,20260922
0123S0,6200000,10201.55,20260922
0127M0,12000000,12087.57,20260922
0127P0,66350000,10582.34,20260922
0127R0,1350000,16879.35,20260922
0127T0,1200000,10920.66,20260922
0127V0,1250000,10791.33,20260922
0128D0,700000,6556.41,20260922
0131A0,550000,7323.39,20260922
0131V0,32600000,11001.71,20260922
0131W0,1349000,102254.32,20260922
0132D0,550000,9122.92,20260922
0132H0,5850000,7551.87,20260922
0132K0,13600000,7976.17,20260922
0133E0,1050000,8469.88,20260922
0135Y0,1107000,100206.69,20260922
0137V0,8950000,11556.12,20260922
0137W0,2600000,10328.64,20260922
0138D0,550000,13102.63,20260922
0138T0,3500000,9380.6,20260922
0138Y0,11100000,9684.93,20260922
0139F0,10578000,102242.3,20260922
0139P0,3700000,13326.98,20260922
0141S0,6300000,8657.52,20260922
0141T0,892000,50222.22,20260922
0142D0,9350000,10693.85,20260922
0144L0,36500000,9640.93,20260922
0144M0,2750000,6647.88,20260922
0148J0,67900000,9714.06,20260922
0150K0,2800000,10895.55,20260922
0151P0,9900000,15112.04,20260922
0151S0,13650000,16211.43,20260922
0152E0,2350000,10696.18,20260922
0153K0,12000000,12203.13,20260922
0153P0,1450000,9547.12,20260922
0153X0,1850000,10891.57,20260922
0154F0,2850000,12372.13,20260922
0154H0,550000,9199.59,20260922
0155M0,4500000,6469.45,20260922
0155N0,3900000,7790.08,20260922
0162L0,8000000,13622.83,20260922
0162M0,41820000,10038.09,20260922
0162Y0,34050000,7746.87,20260922
0162Z0,303200000,13901.32,20260922
0163Y0,49750000,9750.69,20260922
0164G0,2100000,12763.67,20260922
0166N0,3500000,8270.14,20260922
0166S0,5250000,11613.09,20260922
0166T0,650000,9346.91,20260922
0167A0,312300000,18564.53,20260922
0167B0,55200000,12098.92,20260922
0167Z0,45250000,7708.37,20260922
0168K0,21020000,5396.59,20260922
0172V0,7100000,8457.51,20260922
0172Y0,800000,9449.03,20260922
0173Y0,36100000,11323.36,20260922
0174B0,7350000,14760.82,20260922
0174J0,600000,8792.65,20260922
0174R0,850000,11400.21,20260922
0176E0,10550000,9723.43,20260922
0176P0,550000,13775.62,20260922
0177A0,2600000,9686.83,20260922
0177N0,107000000,14621.49,20260922
0177R0,73500000,11782.37,20260922
0177X0,10250000,9811.92,20260922
0178H0,4700000,10225.47,20260922
0180V0,19000000,8026.96,20260922
0181B0,12150000,9927.9,20260922
0181L0,8300000,7209.02,20260922
0182R0,31300000,11105.94,20260922
0182S0,18700000,12881.82,20260922
0183J0,147700000,7818.32,20260922
0183V0,22500000,12042.76,20260922
0184E0,3100000,11200.39,20260922
0184L0,1206000,100476.19,20260922
0184N0,1000000,8794.77,20260922
0184V0,1050000,5175.52,20260922
0185L0,6950000,7228.56,20260922
0186L0,2300000,9499.02,20260922
0186S0,5100000,8368.85,20260922
0189B0,5150000,8109.14,20260922
0189Z0,1000000,10372.95,20260922
0190C0,60300000,7740.19,20260922
0190G0,18900000,9457.06,20260922
0190M0,2400000,8616.78,20260922
0190Y0,8100000,8673.51,20260922
0191B0,200000,31592.11,20260922
0191M0,414000,100764.67,20260922
0191S0,740000,14114.31,20260922
0191W0,1101000,100779.03,20260922
0192L0,4000000,10037.73,20260922
0192M0,2575000,12218.13,20260922
0192S0,2200000,9593.13,20260922
0192T0,4300000,6823.44,20260922
0192Z0,1821000,100817.73,20260922
0193G0,18900000,8627.97,20260922
0193K0,1150000,13261.9,20260922
0193L0,1420000,8032.61,20260922
0193M0,2114000,50329.79,20260922
0193T0,207550000,11553.61,20260922
0193W0,119975000,13119.67,20260922
0194M0,3600000,12080.21,20260922
0194N0,775000,12076.79,20260922
0194R0,1350000,9571.29,20260922
0194T0,5550000,9872.19,20260922
0195R0,86400000,11917.27,20260922
0195S0,159325000,9809.57,20260922
0197W0,4550000,9673.27,20260922
0197X0,16325000,5609.72,20260922
0198A0,9200000,8617.7,20260922
0198B0,1480000,12429.32,20260922
0198D0,2520000,10213.4,20260922
0199C0,15100000,9221.34,20260922
0203D0,1300000,9089.75,20260922
0203R0,340000,50407.48,20260922
0203S0,3050000,8612.05,20260922
0204D0,33950000,5691.23,20260922
0204S0,4430000,7411.47,20260922
0206G0,2850000,7859.72,20260922
0207G0,5800000,7306.82,20260922
0207Z0,2150000,7213.1,20260922
0208N0,1650000,7797.14,20260922
0209D0,14550000,7904.08,20260922
0209Z0,3550000,7322.43,20260922
0210A0,53700000,7663.19,20260922
0210E0,9800000,7505.77,20260922
0214M0,850000,9360.84,20260922
0215T0,900000,9140.19,20260922
0216K0,1000000,8826.14,20260922
0216Z0,1250000,8861.09,20260922
0218J0,3350000,9137.22,20260922
0218K0,700000,10559.54,20260922
0219B0,800000,12336.79,20260922
0219E0,99000000,8597.88,20260922
0219Z0,800000,10485.76,20260922
0220A0,1400000,8867.83,20260922
0220B0,4350000,11288.01,20260922
