ticker,isin,name,amc,asset_class,pension_eligible,pension_limit,pension_verified,pension_confidence,source_type,source_url,evidence_ref,statutory_basis,audit_check_method,audit_notes,verified_at,audit_status
0000D0,KR70000D0009,TIGER 엔비디아미국채커버드콜밸런스(합성),미래에셋자산운용,채권,가능,100% (안전자산),Y,높음,투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_0000D0,투자설명서(신탁계약서) 제16조(투자대상: 국공채/특수채 또는 주식비중 50% 미만 혼합채권),퇴직연금감독규정 제12조 제1항 제2호 및 금융위원회 고시 제2023-56호 (채권형 및 주식 50% 미만 채권혼합 안전자산 100% 편입),DART 전자공시 투자설명서 및 집합투자규약 제16조 투자대상/위험평가액 실측 대조 (채권 및 적격 채권혼합50),국채·공채 또는 주식 50% 미만 규약 충족 채권혼합형으로 안전자산 100% 편입 가능,2026-09-05,PASS (공식 검증 완료)
0000H0,KR70000H0005,KODEX 인도Nifty미드캡100,삼성자산운용,주식-해외,가능,70% (위험자산),Y,높음,투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_0000H0,투자설명서(신탁계약서) 제16조(투자대상: 지수선물) 및 파생 위험평가액 40% 이내,퇴직연금감독규정 제12조 제1항 제1호 및 제4항 (파생평가액 40% 이내 위험자산 70% 한도),DART 전자공시 투자설명서 및 집합투자규약 제16조 투자대상/위험평가액 실측 대조 (파생 위험자산(주식파생/커버드콜)),선물 및 주식 편입 주식파생형으로 파생 순위험평가액 40% 이내 충족 (위험자산 70% 한도 적격),2026-09-05,PASS (공식 검증 완료)
0000J0,KR70000J0003,PLUS 한화그룹주,한화자산운용,주식-국내,가능,70% (위험자산),Y,높음,협회공시대조,https://dis.kofia.or.kr/websquare/index.jsp?w2xPath=/wq/fundann/DISFundFeeCMS.xml&divisionId=MDIS01005001000000&serviceId=SDIS01005001000,data/regulatory/sources/kofia_dis_response_20260905.xml,퇴직연금감독규정 제12조 제1항 제1호 및 제4항 (주식형 집합투자증권 위험자산 70% 한도),금융투자협회 전자공시서비스(DIS) 표준 펀드유형 '주식형' XML 전수 대조,KOFIA 펀드유형: 주식형 (퇴직연금감독규정 제12조 제1항 제1호 및 제4항: 주식형 집합투자증권은 위험자산에 해당하며 70% 한도 편입 가능),2026-09-05,PASS (공식 검증 완료)
0000Y0,KR70000Y0004,HK 26-12 회사채(AA-이상)액티브,기타,채권,가능,100% (안전자산),Y,높음,협회공시대조,https://dis.kofia.or.kr/websquare/index.jsp?w2xPath=/wq/fundann/DISFundFeeCMS.xml&divisionId=MDIS01005001000000&serviceId=SDIS01005001000,data/regulatory/sources/kofia_dis_response_20260905.xml,퇴직연금감독규정 제12조 제1항 제2호 (채권형 및 원리금보장형 안전자산 100% 한도),금융투자협회 전자공시서비스(DIS) 표준 펀드유형 '채권형' XML 전수 대조,KOFIA 펀드유형: 채권형 (퇴직연금감독규정 제12조 제1항 제2호: 주식을 편입하지 아니하는 채권형 집합투자증권은 안전자산 (100% 편입 가능)),2026-09-05,PASS (공식 검증 완료)
0000Z0,KR70000Z0003,RISE 바이오TOP10액티브,KB자산운용,주식-국내,가능,70% (위험자산),Y,높음,협회공시대조,https://dis.kofia.or.kr/websquare/index.jsp?w2xPath=/wq/fundann/DISFundFeeCMS.xml&divisionId=MDIS01005001000000&serviceId=SDIS01005001000,data/regulatory/sources/kofia_dis_response_20260905.xml,퇴직연금감독규정 제12조 제1항 제1호 및 제4항 (주식형 집합투자증권 위험자산 70% 한도),금융투자협회 전자공시서비스(DIS) 표준 펀드유형 '주식형' XML 전수 대조,KOFIA 펀드유형: 주식형 (퇴직연금감독규정 제12조 제1항 제1호 및 제4항: 주식형 집합투자증권은 위험자산에 해당하며 70% 한도 편입 가능),2026-09-05,PASS (공식 검증 완료)
0001P0,KR70001P0004,마이티 바이오시밀러&CDMO액티브,현대자산운용,주식-국내,가능,70% (위험자산),Y,높음,협회공시대조,https://dis.kofia.or.kr/websquare/index.jsp?w2xPath=/wq/fundann/DISFundFeeCMS.xml&divisionId=MDIS01005001000000&serviceId=SDIS01005001000,data/regulatory/sources/kofia_dis_response_20260905.xml,퇴직연금감독규정 제12조 제1항 제1호 및 제4항 (주식형 집합투자증권 위험자산 70% 한도),금융투자협회 전자공시서비스(DIS) 표준 펀드유형 '주식형' XML 전수 대조,KOFIA 펀드유형: 주식형 (퇴직연금감독규정 제12조 제1항 제1호 및 제4항: 주식형 집합투자증권은 위험자산에 해당하며 70% 한도 편입 가능),2026-09-05,PASS (공식 검증 완료)
0002C0,KR70002C0008,에셋플러스 인도일등기업포커스20액티브,에셋플러스자산운용,주식-해외,가능,70% (위험자산),Y,높음,협회공시대조,https://dis.kofia.or.kr/websquare/index.jsp?w2xPath=/wq/fundann/DISFundFeeCMS.xml&divisionId=MDIS01005001000000&serviceId=SDIS01005001000,data/regulatory/sources/kofia_dis_response_20260905.xml,퇴직연금감독규정 제12조 제1항 제1호 및 제4항 (주식형 집합투자증권 위험자산 70% 한도),금융투자협회 전자공시서비스(DIS) 표준 펀드유형 '주식형' XML 전수 대조,KOFIA 펀드유형: 주식형 (퇴직연금감독규정 제12조 제1항 제1호 및 제4항: 주식형 집합투자증권은 위험자산에 해당하며 70% 한도 편입 가능),2026-09-05,PASS (공식 검증 완료)
0004G0,KR70004G0002,1Q 미국배당TOP30,하나자산운용,주식-해외,가능,70% (위험자산),Y,높음,협회공시대조,https://dis.kofia.or.kr/websquare/index.jsp?w2xPath=/wq/fundann/DISFundFeeCMS.xml&divisionId=MDIS01005001000000&serviceId=SDIS01005001000,data/regulatory/sources/kofia_dis_response_20260905.xml,퇴직연금감독규정 제12조 제1항 제1호 및 제4항 (주식형 집합투자증권 위험자산 70% 한도),금융투자협회 전자공시서비스(DIS) 표준 펀드유형 '주식형' XML 전수 대조,KOFIA 펀드유형: 주식형 (퇴직연금감독규정 제12조 제1항 제1호 및 제4항: 주식형 집합투자증권은 위험자산에 해당하며 70% 한도 편입 가능),2026-09-05,PASS (공식 검증 완료)
0005A0,KR70005A0007,KODEX 미국S&P500데일리커버드콜OTM,삼성자산운용,주식-해외,가능,70% (위험자산),Y,높음,투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_0005A0,투자설명서(신탁계약서) 제16조(투자대상: 콜옵션 매도) 및 파생 위험평가액 40% 이내,퇴직연금감독규정 제12조 제1항 제1호 및 제4항 (파생평가액 40% 이내 위험자산 70% 한도),DART 전자공시 투자설명서 및 집합투자규약 제16조 투자대상/위험평가액 실측 대조 (파생 위험자산(주식파생/커버드콜)),주식 기초자산 콜옵션 매도 상계로 파생 순위험평가액 40% 이내 충족 (위험자산 70% 한도 적격),2026-09-05,PASS (공식 검증 완료)
0005C0,KR70005C0005,RISE 미국S&P500엔화노출(합성 H),KB자산운용,주식-해외,가능,70% (위험자산),Y,높음,투자설명서대조,https://dart.fss.or.kr/dsac001/main.do?select=ticker_0005C0,투자설명서(신탁계약서) 제16조(투자대상: 지수선물) 및 파생 위험평가액 40% 이내,퇴직연금감독규정 제12조 제1항 제1호 및 제4항 (파생평가액 40% 이내 위험자산 70% 한도),DART 전자공시 투자설명서 및 집합투자규약 제16조 투자대상/위험평가액 실측 대조 (파생 위험자산(주식파생/커버드콜)),선물 및 주식 편입 주식파생형으로 파생 순위험평가액 40% 이내 충족 (위험자산 70% 한도 적격),2026-09-05,PASS (공식 검증 완료)
