"ticker","etf_name","source_owner","distribution_per_share_krw","announced_at","pay_date","source_id","source_url"
"0005A0","KODEX 미국S&P500데일리커버드콜OTM ETF","KODEX","126",,"","issuer:kodex:notice:20260728:monthend",
"0089C0","KODEX 미국S&P500변동성확대시커버드콜 ETF","KODEX","9",,"","issuer:kodex:notice:20260728:monthend",
"0144L0","KODEX 미국성장커버드콜액티브 ETF","KODEX","99",,"","issuer:kodex:notice:20260728:monthend",
"0190G0","KODEX 반도체타겟위클리커버드콜 ETF","KODEX","66",,"","issuer:kodex:notice:20260728:monthend",
"0219E0","KODEX 200커버드콜액티브 ETF","KODEX","153",,"","issuer:kodex:notice:20260728:monthend",
"211900","KODEX 코리아배당성장 ETF","KODEX","24",,"","issuer:kodex:notice:20260728:monthend",
"279530","KODEX 고배당주 ETF","KODEX","76",,"","issuer:kodex:notice:20260728:monthend",
"321410","KODEX 멀티에셋하이인컴(H) ETF","KODEX","88",,"","issuer:kodex:notice:20260728:monthend",
"325020","KODEX 배당가치 ETF","KODEX","156",,"","issuer:kodex:notice:20260728:monthend",
"475080","KODEX 테슬라커버드콜채권혼합액티브 ETF","KODEX","79",,"","issuer:kodex:notice:20260728:monthend",
"483280","KODEX 미국AI테크TOP10타겟커버드콜 ETF","KODEX","117",,"","issuer:kodex:notice:20260728:monthend",
"483290","KODEX 미국배당다우존스타겟커버드콜 ETF","KODEX","133",,"","issuer:kodex:notice:20260728:monthend",
"487950","KODEX 대만테크고배당다우존스 ETF","KODEX","77",,"","issuer:kodex:notice:20260728:monthend",
"494300","KODEX 미국나스닥100데일리커버드콜OTM ETF","KODEX","166",,"","issuer:kodex:notice:20260728:monthend",
"498410","KODEX 금융고배당TOP10타겟위클리커버드콜 ETF","KODEX","154",,"","issuer:kodex:notice:20260728:monthend",
"0013R0","RISE 테슬라미국채타겟커버드콜혼합(합성)","RISE","102",,"","issuer:rise:notice:20260728:monthend",
"0094L0","RISE 차이나테크TOP10위클리타겟커버드콜","RISE","83",,"","issuer:rise:notice:20260728:monthend",
"266160","RISE 고배당","RISE","80",,"","issuer:rise:notice:20260728:monthend",
"270800","RISE KQ고배당","RISE","35",,"","issuer:rise:notice:20260728:monthend",
"281990","RISE 중소형고배당","RISE","32",,"","issuer:rise:notice:20260728:monthend",
"290080","RISE 200고배당커버드콜ATM","RISE","100",,"","issuer:rise:notice:20260728:monthend",
"460660","RISE 미국S&P배당킹","RISE","30",,"","issuer:rise:notice:20260728:monthend",
"472830","RISE 미국30년국채커버드콜(합성)","RISE","64",,"","issuer:rise:notice:20260728:monthend",
"475380","RISE 글로벌리얼티인컴","RISE","33",,"","issuer:rise:notice:20260728:monthend",
"475720","RISE 200위클리커버드콜","RISE","235",,"","issuer:rise:notice:20260728:monthend",
"490590","RISE 미국AI밸류체인데일리고정커버드콜","RISE","218",,"","issuer:rise:notice:20260728:monthend",
"491620","RISE 미국테크100데일리고정커버드콜","RISE","161",,"","issuer:rise:notice:20260728:monthend",
