"event_id","ticker","etf_name","distribution_per_share_krw","issuer_ex_date","krx_apply_date","ex_date","record_date","pay_date","issuer_source_id","krx_source_id","issuer_amount_verified","krx_ex_date_verified","verification_note"
"KR7441640000:legacy:2026-07-15:ordinary_cash:v1","441640","KODEX 미국배당커버드콜액티브","103","","","","2026-07-15","","legacy:e3aa6f873f12d7b0","","false","false","기존 원장에서 이관됨. 분배락일·지급일·원문 해시 확인 전 TR 계산 금지."
"KR7489030007:2026-07-30:ordinary_cash:v1","489030","PLUS 고배당주위클리커버드콜","103","2026-07-30","2026-07-30","2026-07-30","2026-07-31","2026-08-04","issuer:plus:489030:20260728:table","","true","false","운용사 공식 공지의 분배락일 및 KRX 적용일은 2026-07-30으로 대조됨. KIND 원문 연결 전에는 partial 유지."
"KR7490600004:legacy:2025-08-29:ordinary_cash:v1","490600","RISE 미국배당100데일리고정커버드콜","116","","","","2025-08-29","","legacy:4fe9e97fbe7f124e","","false","false","기존 원장에서 이관됨. 분배락일·지급일·원문 해시 확인 전 TR 계산 금지."
"KR7490600004:legacy:2025-09-30:ordinary_cash:v1","490600","RISE 미국배당100데일리고정커버드콜","120","","","","2025-09-30","","legacy:044a5ab6e296e753","","false","false","기존 원장에서 이관됨. 분배락일·지급일·원문 해시 확인 전 TR 계산 금지."
"KR7490600004:legacy:2025-10-31:ordinary_cash:v1","490600","RISE 미국배당100데일리고정커버드콜","130","","","","2025-10-31","","legacy:5f68e50df2d741cd","","false","false","기존 원장에서 이관됨. 분배락일·지급일·원문 해시 확인 전 TR 계산 금지."
"KR7490600004:legacy:2025-11-28:ordinary_cash:v1","490600","RISE 미국배당100데일리고정커버드콜","120","","","","2025-11-28","","legacy:34b6392dc39dcfbb","","false","false","기존 원장에서 이관됨. 분배락일·지급일·원문 해시 확인 전 TR 계산 금지."
"KR7490600004:legacy:2025-12-30:ordinary_cash:v1","490600","RISE 미국배당100데일리고정커버드콜","115","","","","2025-12-30","","legacy:77ef49c7a8af0a37","","false","false","기존 원장에서 이관됨. 분배락일·지급일·원문 해시 확인 전 TR 계산 금지."
"KR7490600004:legacy:2026-01-30:ordinary_cash:v1","490600","RISE 미국배당100데일리고정커버드콜","99","","","","2026-01-30","","legacy:0d4426e0cb52b6f7","","false","false","기존 원장에서 이관됨. 분배락일·지급일·원문 해시 확인 전 TR 계산 금지."
"KR7490600004:legacy:2026-02-27:ordinary_cash:v1","490600","RISE 미국배당100데일리고정커버드콜","103","","","","2026-02-27","","legacy:40a0763fd4e921a5","","false","false","기존 원장에서 이관됨. 분배락일·지급일·원문 해시 확인 전 TR 계산 금지."
"KR7490600004:legacy:2026-03-31:ordinary_cash:v1","490600","RISE 미국배당100데일리고정커버드콜","142","","","","2026-03-31","","legacy:5e22e6c392ad2588","","false","false","기존 원장에서 이관됨. 분배락일·지급일·원문 해시 확인 전 TR 계산 금지."
"KR7490600004:legacy:2026-04-15:ordinary_cash:v1","490600","RISE 미국배당100데일리고정커버드콜","114","","","","2026-04-15","","legacy:93f3145f4df087f9","","false","false","기존 원장에서 이관됨. 분배락일·지급일·원문 해시 확인 전 TR 계산 금지."
"KR7490600004:legacy:2026-05-15:ordinary_cash:v1","490600","RISE 미국배당100데일리고정커버드콜","157","","","","2026-05-15","","legacy:bc6924d582a21ca7","","false","false","기존 원장에서 이관됨. 분배락일·지급일·원문 해시 확인 전 TR 계산 금지."
"KR7490600004:legacy:2026-06-15:ordinary_cash:v1","490600","RISE 미국배당100데일리고정커버드콜","120","","","","2026-06-15","","legacy:0d5f7ca96d449dce","","false","false","기존 원장에서 이관됨. 분배락일·지급일·원문 해시 확인 전 TR 계산 금지."
"KR7490600004:legacy:2026-07-15:ordinary_cash:v1","490600","RISE 미국배당100데일리고정커버드콜","149","","","","2026-07-15","","legacy:df1bfb84d7763d2a","","false","false","기존 원장에서 이관됨. 분배락일·지급일·원문 해시 확인 전 TR 계산 금지."
